position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,18,False,False,False,105.944,0,1290,11328
2,1,18,False,False,False,106.134,0.19,1290,11328
3,3,21,False,False,False,106.416,0.472,1290,11328
4,44,16,False,False,False,106.691,0.747,1290,11328
5,6,20,False,False,False,106.714,0.77,1290,11328
6,81,11,False,False,False,106.926,0.982,1290,11328
7,43,20,False,False,False,107.147,1.203,1290,11328
8,63,20,False,False,False,107.229,1.285,1290,11328
9,41,20,False,False,False,107.294,1.35,1290,11328
10,30,16,False,False,False,107.434,1.49,1290,11328
11,16,18,False,False,False,107.468,1.524,1290,11328
12,87,16,False,False,False,107.792,1.848,1290,11328
13,5,17,False,False,False,107.952,2.008,1290,11328
14,31,19,False,False,False,107.958,2.014,1290,11328
15,23,19,False,False,False,108.019,2.075,1290,11328
16,55,19,False,False,False,108.256,2.312,1290,11328
17,27,16,False,False,False,108.333,2.389,1290,11328
18,10,15,False,False,False,108.955,3.011,1290,11328
19,77,19,False,False,False,109.199,3.255,1290,11328
20,11,20,False,False,False,109.596,3.652,1290,11328
21,18,17,False,False,False,111.131,5.187,1290,11328
22,14,19,False,False,False,111.418,5.474,1290,11328
