meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1290,11328,1,27,1,2,MEDIUM,0
1290,11328,1,10,1,5,MEDIUM,0
1290,11328,1,41,1,5,MEDIUM,0
1290,11328,1,30,1,2,MEDIUM,0
1290,11328,1,31,1,5,MEDIUM,0
1290,11328,1,5,1,5,MEDIUM,0
1290,11328,1,1,1,4,MEDIUM,1
1290,11328,1,6,1,5,MEDIUM,0
1290,11328,1,14,1,5,MEDIUM,0
1290,11328,2,27,3,4,MEDIUM,2
1290,11328,1,23,1,5,MEDIUM,0
1290,11328,1,18,1,5,MEDIUM,0
1290,11328,1,3,1,5,MEDIUM,0
1290,11328,1,12,1,5,MEDIUM,0
1290,11328,1,43,1,5,MEDIUM,0
1290,11328,1,63,1,5,MEDIUM,0
1290,11328,1,55,1,5,MEDIUM,0
1290,11328,1,44,1,5,MEDIUM,0
1290,11328,1,11,1,5,MEDIUM,0
1290,11328,1,16,1,5,MEDIUM,0
1290,11328,1,77,1,6,MEDIUM,0
1290,11328,2,63,6,8,MEDIUM,5
1290,11328,2,41,6,8,MEDIUM,0
1290,11328,2,31,6,8,MEDIUM,0
1290,11328,2,43,6,8,MEDIUM,5
1290,11328,1,87,1,5,MEDIUM,0
1290,11328,2,1,5,7,MEDIUM,5
1290,11328,2,55,6,8,MEDIUM,5
1290,11328,2,16,6,8,SOFT,0
1290,11328,2,3,6,8,SOFT,0
1290,11328,2,18,6,8,MEDIUM,5
1290,11328,2,14,6,9,MEDIUM,5
1290,11328,2,6,6,8,SOFT,0
1290,11328,2,10,6,10,MEDIUM,5
1290,11328,2,30,3,7,MEDIUM,2
1290,11328,1,81,1,3,MEDIUM,0
1290,11328,3,27,5,8,MEDIUM,4
1290,11328,2,23,6,9,SOFT,0
1290,11328,2,12,6,8,SOFT,0
1290,11328,2,5,6,9,MEDIUM,5
1290,11328,2,11,6,9,SOFT,0
1290,11328,3,63,9,11,SOFT,0
1290,11328,3,55,9,11,SOFT,0
1290,11328,3,1,8,10,SOFT,0
1290,11328,3,23,10,12,SOFT,4
1290,11328,2,77,7,11,SOFT,0
1290,11328,3,16,9,11,SOFT,3
1290,11328,2,44,6,10,SOFT,0
1290,11328,3,10,11,13,SOFT,0
1290,11328,3,43,9,13,SOFT,0
1290,11328,3,41,9,13,SOFT,0
1290,11328,2,81,4,6,SOFT,0
1290,11328,4,10,14,15,MEDIUM,10
1290,11328,3,31,9,14,SOFT,0
1290,11328,2,87,6,11,SOFT,0
1290,11328,3,77,12,14,MEDIUM,6
1290,11328,3,11,10,15,MEDIUM,5
1290,11328,4,43,14,15,MEDIUM,0
1290,11328,3,5,10,13,SOFT,0
1290,11328,4,27,9,12,SOFT,0
1290,11328,4,31,15,15,MEDIUM,8
1290,11328,3,87,12,12,SOFT,6
1290,11328,3,14,10,15,SOFT,0
1290,11328,3,18,9,13,SOFT,0
1290,11328,4,55,12,15,MEDIUM,8
1290,11328,3,30,8,12,SOFT,0
1290,11328,4,41,14,16,MEDIUM,8
1290,11328,4,16,12,14,MEDIUM,5
1290,11328,4,1,11,14,MEDIUM,8
1290,11328,4,23,13,15,MEDIUM,5
1290,11328,3,81,7,7,MEDIUM,3
1290,11328,3,44,11,12,MEDIUM,5
1290,11328,3,3,9,17,MEDIUM,5
1290,11328,3,6,9,16,MEDIUM,5
1290,11328,4,63,12,16,MEDIUM,8
1290,11328,3,12,9,14,MEDIUM,5
1290,11328,4,5,14,17,MEDIUM,9
1290,11328,4,87,13,16,SOFT,7
1290,11328,5,31,16,19,MEDIUM,9
1290,11328,4,14,16,19,SOFT,6
1290,11328,5,16,15,18,MEDIUM,8
1290,11328,5,41,17,20,MEDIUM,0
1290,11328,4,30,13,16,MEDIUM,7
1290,11328,5,55,16,19,SOFT,3
1290,11328,4,18,14,17,MEDIUM,8
1290,11328,4,44,13,16,MEDIUM,7
1290,11328,5,27,13,16,MEDIUM,8
1290,11328,5,23,16,19,MEDIUM,8
1290,11328,4,81,8,11,MEDIUM,0
1290,11328,4,3,18,21,SOFT,3
1290,11328,5,1,15,18,SOFT,3
1290,11328,4,6,17,20,SOFT,3
1290,11328,5,63,17,20,SOFT,3
1290,11328,4,11,16,20,SOFT,4
1290,11328,5,43,16,20,MEDIUM,0
1290,11328,4,77,15,19,MEDIUM,9
1290,11328,4,12,15,18,SOFT,3
