date,session_key,meeting_key,humidity,rainfall,track_temperature,air_temperature,wind_direction,pressure,wind_speed
2026-07-18T10:17:34.902000+00:00,11329,1290,64.1,0,33.2,19.2,133,969.0,0.5
2026-07-18T10:18:34.923000+00:00,11329,1290,64.0,0,32.5,19.1,301,969.0,2.3
2026-07-18T10:19:34.915000+00:00,11329,1290,65.4,0,31.6,19.2,260,968.9,1.8
2026-07-18T10:20:34.927000+00:00,11329,1290,62.7,0,33.4,19.3,119,969.0,1.6
2026-07-18T10:21:34.913000+00:00,11329,1290,63.4,0,33.7,19.3,151,968.9,2.5
2026-07-18T10:22:34.922000+00:00,11329,1290,62.7,0,33.2,19.3,193,968.9,0.4
2026-07-18T10:23:34.910000+00:00,11329,1290,63.3,0,33.9,19.2,172,968.9,1.7
2026-07-18T10:24:34.897000+00:00,11329,1290,63.6,0,34.3,19.2,106,969.0,1.3
2026-07-18T10:25:34.934000+00:00,11329,1290,63.6,0,34.3,19.2,106,969.0,1.3
2026-07-18T10:26:34.931000+00:00,11329,1290,61.5,0,34.8,19.4,28,969.0,0.6
2026-07-18T10:27:34.938000+00:00,11329,1290,61.3,0,35.5,19.5,346,968.9,1.3
2026-07-18T10:28:34.938000+00:00,11329,1290,62.1,0,35.5,19.5,354,968.9,1.7
2026-07-18T10:29:34.941000+00:00,11329,1290,62.4,0,35.5,19.4,15,968.9,1.6
2026-07-18T10:30:34.926000+00:00,11329,1290,62.0,0,35.4,19.3,17,968.9,1.7
2026-07-18T10:31:34.937000+00:00,11329,1290,62.3,0,35.6,19.3,153,968.9,0.4
2026-07-18T10:32:34.946000+00:00,11329,1290,63.5,0,35.4,19.3,319,968.9,1.9
2026-07-18T10:33:34.937000+00:00,11329,1290,63.0,0,34.3,19.4,317,968.8,2.1
2026-07-18T10:34:34.926000+00:00,11329,1290,63.0,0,34.3,19.4,317,968.8,2.1
2026-07-18T10:35:34.933000+00:00,11329,1290,61.1,0,33.9,19.6,359,968.9,0.9
2026-07-18T10:36:34.953000+00:00,11329,1290,61.1,0,33.9,19.6,359,968.9,0.9
2026-07-18T10:37:34.962000+00:00,11329,1290,63.7,0,32.7,19.6,167,968.9,0.6
2026-07-18T10:38:34.990000+00:00,11329,1290,63.1,0,32.3,19.7,155,968.9,1.6
