meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1290,11330,2026-07-18T14:00:00.036000+00:00,,,SessionStatus,,,,1,SESSION STARTED
1290,11330,2026-07-18T14:00:00+00:00,,,Flag,GREEN,Track,,1,GREEN LIGHT - PIT EXIT OPEN
1290,11330,2026-07-18T14:18:00.032000+00:00,,,SessionStatus,,,,1,SESSION FINISHED
1290,11330,2026-07-18T14:18:00+00:00,,,Flag,CHEQUERED,Track,,1,CHEQUERED FLAG
1290,11330,2026-07-18T14:18:10+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM)
1290,11330,2026-07-18T14:25:00.071000+00:00,,,SessionStatus,,,,2,SESSION STARTED
1290,11330,2026-07-18T14:25:00+00:00,,,Flag,GREEN,Track,,2,GREEN LIGHT - PIT EXIT OPEN
1290,11330,2026-07-18T14:39:54+00:00,,,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15
1290,11330,2026-07-18T14:40:00.044000+00:00,,,SessionStatus,,,,2,SESSION FINISHED
1290,11330,2026-07-18T14:40:00+00:00,,,Flag,CHEQUERED,Track,,2,CHEQUERED FLAG
1290,11330,2026-07-18T14:40:05+00:00,,,Flag,CLEAR,Sector,15,2,CLEAR IN TRACK SECTOR 15
1290,11330,2026-07-18T14:40:09+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI)
1290,11330,2026-07-18T14:41:53+00:00,,,Flag,DOUBLE YELLOW,Sector,11,2,DOUBLE YELLOW IN TRACK SECTOR 11
1290,11330,2026-07-18T14:41:57+00:00,,,Flag,YELLOW,Sector,10,2,YELLOW IN TRACK SECTOR 10
1290,11330,2026-07-18T14:42:23+00:00,,,Other,,,,,START OF Q3 WILL BE DELAYED
1290,11330,2026-07-18T14:43:04+00:00,,,Flag,CLEAR,Sector,10,2,CLEAR IN TRACK SECTOR 10
1290,11330,2026-07-18T14:43:10+00:00,,,Flag,DOUBLE YELLOW,Sector,13,2,DOUBLE YELLOW IN TRACK SECTOR 13
1290,11330,2026-07-18T14:43:23+00:00,,,Flag,DOUBLE YELLOW,Sector,14,2,DOUBLE YELLOW IN TRACK SECTOR 14
1290,11330,2026-07-18T14:43:27+00:00,,,Flag,CLEAR,Sector,11,2,CLEAR IN TRACK SECTOR 11
1290,11330,2026-07-18T14:43:40+00:00,,,Flag,CLEAR,Sector,13,2,CLEAR IN TRACK SECTOR 13
1290,11330,2026-07-18T14:43:51+00:00,,,Flag,CLEAR,Sector,14,2,CLEAR IN TRACK SECTOR 14
1290,11330,2026-07-18T14:43:53+00:00,,,Flag,DOUBLE YELLOW,Sector,15,2,DOUBLE YELLOW IN TRACK SECTOR 15
1290,11330,2026-07-18T14:44:50+00:00,,,Flag,DOUBLE YELLOW,Sector,16,2,DOUBLE YELLOW IN TRACK SECTOR 16
