meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1290,11334,1,63,1,1,MEDIUM,0
1290,11334,1,18,1,17,HARD,0
1290,11334,1,44,1,20,MEDIUM,0
1290,11334,1,14,1,19,HARD,0
1290,11334,1,55,1,14,SOFT,0
1290,11334,1,10,1,14,MEDIUM,0
1290,11334,1,81,1,20,MEDIUM,0
1290,11334,1,41,1,16,MEDIUM,0
1290,11334,1,30,1,15,MEDIUM,0
1290,11334,1,16,1,20,MEDIUM,0
1290,11334,1,87,1,1,MEDIUM,0
1290,11334,1,43,1,15,MEDIUM,0
1290,11334,1,5,1,20,MEDIUM,0
1290,11334,1,11,1,1,HARD,0
1290,11334,1,31,1,1,MEDIUM,0
1290,11334,1,6,1,1,HARD,0
1290,11334,1,77,1,1,SOFT,0
1290,11334,1,12,1,18,MEDIUM,0
1290,11334,1,1,1,30,HARD,0
1290,11334,1,27,1,20,MEDIUM,0
1290,11334,1,3,1,17,MEDIUM,0
1290,11334,1,23,1,18,MEDIUM,0
1290,11334,2,6,2,2,MEDIUM,0
1290,11334,2,87,2,20,HARD,0
1290,11334,2,11,2,12,SOFT,0
1290,11334,2,77,2,32,HARD,0
1290,11334,2,31,2,16,HARD,0
1290,11334,3,6,3,20,HARD,0
1290,11334,3,11,13,13,HARD,1
1290,11334,2,10,15,44,HARD,0
1290,11334,2,55,15,44,HARD,0
1290,11334,2,30,16,44,HARD,0
1290,11334,2,43,16,44,HARD,0
1290,11334,2,41,17,44,HARD,0
1290,11334,3,31,17,44,HARD,0
1290,11334,2,3,18,44,HARD,0
1290,11334,2,18,18,25,SOFT,0
1290,11334,2,12,19,44,HARD,0
1290,11334,2,23,19,44,HARD,0
1290,11334,2,14,20,31,SOFT,0
1290,11334,2,16,21,44,HARD,0
1290,11334,2,44,21,44,HARD,0
1290,11334,2,81,21,44,HARD,0
1290,11334,4,6,21,44,HARD,1
1290,11334,2,5,21,44,HARD,0
1290,11334,2,27,21,44,HARD,0
1290,11334,3,87,21,44,HARD,0
1290,11334,2,1,31,44,MEDIUM,0
1290,11334,3,14,32,42,HARD,0
1290,11334,3,77,33,43,SOFT,0
1290,11334,3,12,45,45,SOFT,3
