date,session_key,driver_number,meeting_key,pit_duration,stop_duration,lap_number,lane_duration
2026-07-19T13:06:46.970000+00:00,11334,6,1290,24.156,3.6,1,24.156
2026-07-19T13:06:48.812000+00:00,11334,87,1290,26.554,5.6,1,26.554
2026-07-19T13:06:49.762000+00:00,11334,11,1290,25.372,3.5,1,25.372
2026-07-19T13:06:58.031000+00:00,11334,77,1290,30.594,5.1,1,30.594
2026-07-19T13:07:06.712000+00:00,11334,31,1290,33.74,10.8,1,33.74
2026-07-19T13:09:26.425000+00:00,11334,6,1290,22.997,3.0,2,22.997
2026-07-19T13:30:09.549000+00:00,11334,11,1290,27.617,5.9,12,27.617
2026-07-19T13:33:19.807000+00:00,11334,10,1290,24.177,3.4,14,24.177
2026-07-19T13:33:42.400000+00:00,11334,55,1290,34.841,14.4,14,34.841
2026-07-19T13:35:10.555000+00:00,11334,30,1290,23.722,3.1,15,23.722
2026-07-19T13:35:14.306000+00:00,11334,43,1290,24.146,3.7,15,24.146
2026-07-19T13:37:02.469000+00:00,11334,41,1290,24.81,4.1,16,24.81
2026-07-19T13:37:26.226000+00:00,11334,31,1290,24.124,3.4,16,24.124
2026-07-19T13:38:36.203000+00:00,11334,3,1290,23.128,2.5,17,23.128
2026-07-19T13:40:00.392000+00:00,11334,18,1290,31.649,11.0,17,31.649
2026-07-19T13:40:35.827000+00:00,11334,12,1290,23.093,2.6,18,23.093
2026-07-19T13:41:12.806000+00:00,11334,23,1290,22.638,2.5,18,22.638
2026-07-19T13:43:52.834000+00:00,11334,14,1290,23.19,2.7,19,23.19
2026-07-19T13:44:36.129000+00:00,11334,16,1290,23.164,2.3,20,23.164
2026-07-19T13:44:45.881000+00:00,11334,81,1290,23.292,2.8,20,23.292
2026-07-19T13:44:50.764000+00:00,11334,44,1290,32.201,10.6,20,32.201
2026-07-19T13:45:02.530000+00:00,11334,6,1290,24.727,4.4,20,24.727
2026-07-19T13:45:05.930000+00:00,11334,5,1290,23.127,2.5,20,23.127
2026-07-19T13:45:12.467000+00:00,11334,27,1290,26.098,3.5,20,26.098
2026-07-19T13:45:28.693000+00:00,11334,87,1290,28.982,8.5,20,28.982
2026-07-19T14:03:34.566000+00:00,11334,1,1290,28.314,7.8,30,28.314
2026-07-19T14:07:43.290000+00:00,11334,14,1290,24.746,3.2,31,24.746
2026-07-19T14:08:56.694000+00:00,11334,77,1290,25.91,5.1,32,25.91
