meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1291,11335,50,1,,,39.494,28.076,210,205,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051]",
1291,11335,31,1,2026-07-24T11:30:09.003000+00:00,,39.436,29.073,231,207,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051]",
1291,11335,6,1,2026-07-24T11:30:10.595000+00:00,,41.665,31.453,246,160,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,25,1,2026-07-24T11:30:14.076000+00:00,,42.682,30.499,180,197,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,27,1,2026-07-24T11:30:23.145000+00:00,,36.746,32.784,233,179,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2064, 2064, 2064]",
1291,11335,11,1,2026-07-24T11:30:24.778000+00:00,,36.79,27.268,212,223,True,,"[2064, 2064, 2049, 2051, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2051, 2051, 2049, 2051, 2051, 2051]",
1291,11335,72,1,2026-07-24T11:30:26.298000+00:00,,36.72,25.876,216,215,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,5,1,2026-07-24T11:30:28.930000+00:00,,39.417,34.217,128,205,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064, 2064]",
1291,11335,61,1,2026-07-24T11:30:30.809000+00:00,,37.164,29.131,225,208,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049]",
1291,11335,16,1,2026-07-24T11:30:33.870000+00:00,,35.145,30.142,245,213,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051]",
1291,11335,23,1,2026-07-24T11:30:38.023000+00:00,,37.466,28.917,258,218,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2051, 2051]",
1291,11335,55,1,2026-07-24T11:30:39.939000+00:00,,36.207,27.551,257,218,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,14,1,2026-07-24T11:30:42.939000+00:00,,35.706,27.663,242,215,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,18,1,2026-07-24T11:30:46.267000+00:00,,34.034,28.954,241,216,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1291,11335,30,1,2026-07-24T11:30:50.549000+00:00,,34.972,25.792,233,211,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049]",
1291,11335,44,1,2026-07-24T11:30:53.584000+00:00,,37.281,31.746,196,204,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
