position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,19,False,False,False,79.075,0,1291,11335
2,3,25,False,False,False,79.559,0.484,1291,11335
3,44,23,False,False,False,79.618,0.543,1291,11335
4,6,25,False,False,False,79.997,0.922,1291,11335
5,63,21,False,False,False,80.066,0.991,1291,11335
6,5,30,False,False,False,80.36,1.285,1291,11335
7,72,24,False,False,False,80.467,1.392,1291,11335
8,27,29,False,False,False,80.623,1.548,1291,11335
9,41,28,False,False,False,80.76,1.685,1291,11335
10,30,28,False,False,False,80.866,1.791,1291,11335
11,1,26,False,False,False,81.024,1.949,1291,11335
12,31,24,False,False,False,81.051,1.976,1291,11335
13,14,20,False,False,False,81.55,2.475,1291,11335
14,10,29,False,False,False,81.704,2.629,1291,11335
15,23,28,False,False,False,81.819,2.744,1291,11335
16,67,29,False,False,False,81.89,2.815,1291,11335
17,50,25,False,False,False,82.001,2.926,1291,11335
18,11,22,False,False,False,82.089,3.014,1291,11335
19,61,28,False,False,False,82.168,3.093,1291,11335
20,25,28,False,False,False,83.118,4.043,1291,11335
21,18,11,False,False,False,83.471,4.396,1291,11335
22,55,23,False,False,False,83.734,4.659,1291,11335
