meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1291,11336,1,30,1,3,HARD,0
1291,11336,1,63,1,3,MEDIUM,0
1291,11336,1,87,1,3,MEDIUM,0
1291,11336,1,5,1,5,HARD,0
1291,11336,1,12,1,5,MEDIUM,0
1291,11336,1,81,1,7,MEDIUM,0
1291,11336,1,31,1,6,MEDIUM,0
1291,11336,2,5,6,8,HARD,0
1291,11336,2,12,6,8,MEDIUM,5
1291,11336,1,1,1,6,MEDIUM,0
1291,11336,1,27,1,9,HARD,0
1291,11336,1,3,1,5,MEDIUM,0
1291,11336,2,30,4,9,HARD,3
1291,11336,1,6,1,5,MEDIUM,0
1291,11336,1,41,1,9,HARD,0
1291,11336,1,11,1,8,MEDIUM,0
1291,11336,1,55,1,10,HARD,0
1291,11336,1,23,1,12,HARD,0
1291,11336,2,63,4,8,MEDIUM,3
1291,11336,1,43,1,9,MEDIUM,0
1291,11336,1,10,1,6,MEDIUM,0
1291,11336,2,81,8,10,MEDIUM,7
1291,11336,3,12,9,11,MEDIUM,8
1291,11336,1,44,1,9,MEDIUM,0
1291,11336,1,16,1,11,MEDIUM,0
1291,11336,1,14,1,8,MEDIUM,0
1291,11336,2,87,4,10,MEDIUM,0
1291,11336,2,27,10,12,SOFT,0
1291,11336,2,43,10,11,SOFT,0
1291,11336,3,5,9,10,HARD,8
1291,11336,1,77,1,13,MEDIUM,0
1291,11336,2,14,9,9,SOFT,0
1291,11336,4,12,12,13,SOFT,0
1291,11336,2,41,10,12,SOFT,0
1291,11336,3,30,10,12,SOFT,0
1291,11336,3,27,13,13,SOFT,3
1291,11336,2,10,7,8,MEDIUM,6
1291,11336,3,63,9,11,SOFT,0
1291,11336,3,81,11,12,SOFT,0
1291,11336,2,11,9,11,SOFT,0
1291,11336,2,16,12,13,SOFT,0
1291,11336,2,31,7,9,MEDIUM,6
1291,11336,2,1,7,10,SOFT,0
1291,11336,3,87,11,11,MEDIUM,0
1291,11336,2,44,10,10,SOFT,0
1291,11336,2,23,13,15,SOFT,0
1291,11336,2,55,11,13,SOFT,0
1291,11336,2,3,6,8,SOFT,0
1291,11336,2,77,14,16,SOFT,0
1291,11336,4,5,11,14,SOFT,0
1291,11336,5,12,14,15,SOFT,0
1291,11336,4,30,13,15,SOFT,3
1291,11336,3,31,10,12,SOFT,0
1291,11336,3,41,13,15,SOFT,3
1291,11336,4,27,14,16,SOFT,4
1291,11336,2,6,6,9,SOFT,0
1291,11336,3,11,12,14,SOFT,3
1291,11336,3,16,14,17,SOFT,2
1291,11336,4,81,13,16,SOFT,0
1291,11336,4,87,12,16,SOFT,0
1291,11336,6,12,16,18,MEDIUM,11
1291,11336,3,77,17,19,SOFT,3
1291,11336,3,10,9,14,SOFT,0
1291,11336,5,5,15,17,SOFT,4
1291,11336,3,44,11,16,SOFT,1
1291,11336,3,14,10,15,SOFT,1
1291,11336,3,3,9,17,MEDIUM,5
1291,11336,3,6,10,12,SOFT,0
1291,11336,3,1,11,23,MEDIUM,4
1291,11336,5,27,17,25,SOFT,0
1291,11336,3,55,14,27,HARD,10
1291,11336,3,23,16,29,HARD,12
1291,11336,4,63,12,26,MEDIUM,0
1291,11336,5,30,16,29,HARD,9
1291,11336,4,14,16,24,SOFT,0
1291,11336,4,55,28,31,SOFT,5
1291,11336,4,23,30,33,SOFT,3
1291,11336,4,31,13,26,MEDIUM,9
1291,11336,4,10,15,24,MEDIUM,8
1291,11336,4,1,24,30,SOFT,4
1291,11336,7,12,19,30,SOFT,4
1291,11336,6,27,26,30,HARD,0
1291,11336,5,81,17,28,MEDIUM,10
1291,11336,4,41,16,29,HARD,9
1291,11336,6,5,18,27,HARD,10
1291,11336,5,63,27,30,SOFT,3
1291,11336,5,87,17,28,MEDIUM,11
1291,11336,4,44,17,26,MEDIUM,9
1291,11336,4,3,18,27,SOFT,3
1291,11336,4,77,20,31,MEDIUM,13
1291,11336,4,11,15,28,MEDIUM,8
1291,11336,4,16,18,30,SOFT,6
1291,11336,4,6,13,20,MEDIUM,5
