position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,16,False,False,False,"[78.277, 77.456, 77.207]","[0.0, 0.0, 0.0]",1291,11338
2,44,15,False,False,False,"[78.73, 77.803, 77.219]","[0.453, 0.347, 0.012]",1291,11338
3,16,20,False,False,False,"[78.984, 77.626, 77.445]","[0.707, 0.17, 0.238]",1291,11338
4,12,20,False,False,False,"[78.726, 78.393, 77.479]","[0.449, 0.937, 0.272]",1291,11338
5,81,15,False,False,False,"[78.891, 77.928, 77.684]","[0.614, 0.472, 0.477]",1291,11338
6,3,18,False,False,False,"[78.656, 78.249, 77.725]","[0.379, 0.793, 0.518]",1291,11338
7,63,20,False,False,False,"[78.856, 78.445, 77.76]","[0.579, 0.989, 0.553]",1291,11338
8,6,14,False,False,False,"[78.754, 77.872, 77.856]","[0.477, 0.416, 0.649]",1291,11338
9,41,18,False,False,False,"[79.233, 78.36, 78.281]","[0.956, 0.904, 1.074]",1291,11338
10,27,18,False,False,False,"[78.796, 78.639, 78.686]","[0.519, 1.183, 1.479]",1291,11338
11,30,12,False,False,False,"[79.161, 78.765, None]","[0.884, 1.309, None]",1291,11338
12,10,12,False,False,False,"[79.741, 78.844, None]","[1.464, 1.388, None]",1291,11338
13,43,12,False,False,False,"[79.771, 79.027, None]","[1.494, 1.571, None]",1291,11338
14,5,11,False,False,False,"[79.069, 79.105, None]","[0.792, 1.649, None]",1291,11338
15,31,12,False,False,False,"[80.01, 79.734, None]","[1.733, 2.278, None]",1291,11338
16,14,15,False,False,False,"[80.126, 79.808, None]","[1.849, 2.352, None]",1291,11338
17,87,6,False,False,False,"[80.233, None, None]","[1.956, None, None]",1291,11338
18,55,9,False,False,False,"[80.621, None, None]","[2.344, None, None]",1291,11338
19,23,9,False,False,False,"[80.658, None, None]","[2.381, None, None]",1291,11338
20,18,8,False,False,False,"[80.659, None, None]","[2.382, None, None]",1291,11338
21,77,10,False,False,False,"[80.886, None, None]","[2.609, None, None]",1291,11338
22,11,9,False,False,False,"[81.322, None, None]","[3.045, None, None]",1291,11338
