meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1291,11338,2026-07-25T14:00:00.056000+00:00,,,SessionStatus,,,,1,SESSION STARTED
1291,11338,2026-07-25T14:00:00+00:00,,,Flag,GREEN,Track,,1,GREEN LIGHT - PIT EXIT OPEN
1291,11338,2026-07-25T14:03:20+00:00,,,Other,,,,,CAR 55 (SAI) TIME 1:23.576 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:02:17
1291,11338,2026-07-25T14:05:51+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:18.878 DELETED - TRACK LIMITS AT TURN 3 LAP 3 16:04:20
1291,11338,2026-07-25T14:10:07+00:00,,,Other,,,,,CAR 5 (BOR) TIME 1:19.476 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:08:40
1291,11338,2026-07-25T14:10:12+00:00,,,Other,,,,,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 4 16:08:19 (PIT)
1291,11338,2026-07-25T14:12:12+00:00,,,Other,,,,,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 4 16:09:25 (PIT)
1291,11338,2026-07-25T14:18:00.113000+00:00,,,SessionStatus,,,,1,SESSION FINISHED
1291,11338,2026-07-25T14:18:00+00:00,,,Flag,CHEQUERED,Track,,1,CHEQUERED FLAG
1291,11338,2026-07-25T14:18:26+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS)
1291,11338,2026-07-25T14:19:12+00:00,,,Other,,,,,CAR 12 (ANT) TIME 1:18.554 DELETED - TRACK LIMITS AT TURN 14 LAP 7 16:16:02
1291,11338,2026-07-25T14:19:15+00:00,,,Other,,,,,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP PIT)
1291,11338,2026-07-25T14:20:39+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1291,11338,2026-07-25T14:20:46+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1291,11338,2026-07-25T14:25:00.071000+00:00,,,SessionStatus,,,,2,SESSION STARTED
1291,11338,2026-07-25T14:25:00+00:00,,,Flag,GREEN,Track,,2,GREEN LIGHT - PIT EXIT OPEN
1291,11338,2026-07-25T14:30:07+00:00,,,Flag,DOUBLE YELLOW,Sector,16,2,DOUBLE YELLOW IN TRACK SECTOR 16
1291,11338,2026-07-25T14:30:09+00:00,,,Flag,YELLOW,Sector,16,2,YELLOW IN TRACK SECTOR 16
1291,11338,2026-07-25T14:30:23+00:00,,,Flag,CLEAR,Sector,16,2,CLEAR IN TRACK SECTOR 16
1291,11338,2026-07-25T14:30:23+00:00,,,Flag,CLEAR,Sector,15,2,CLEAR IN TRACK SECTOR 15
1291,11338,2026-07-25T14:30:49+00:00,,,Other,,,,,CAR 63 (RUS) TIME 1:42.565 DELETED - DOUBLE YELLOW AT TURN 12
1291,11338,2026-07-25T14:32:03+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 16 (LEC) NOTED - YELLOW FLAG INFRINGEMENT (16:30:18)
1291,11338,2026-07-25T14:34:06+00:00,,,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT (16:30:18)
1291,11338,2026-07-25T14:37:35+00:00,,,Other,,,,,CAR 12 (ANT) TIME 1:18.178 DELETED - TRACK LIMITS AT TURN 7 LAP 11 16:30:53
1291,11338,2026-07-25T14:40:00.099000+00:00,,,SessionStatus,,,,2,SESSION FINISHED
1291,11338,2026-07-25T14:40:00+00:00,,,Flag,CHEQUERED,Track,,2,CHEQUERED FLAG
1291,11338,2026-07-25T14:40:06+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM)
1291,11338,2026-07-25T14:41:34+00:00,,,Flag,DOUBLE YELLOW,Sector,16,2,DOUBLE YELLOW IN TRACK SECTOR 16
1291,11338,2026-07-25T14:44:48+00:00,,,Flag,CLEAR,Sector,16,2,CLEAR IN TRACK SECTOR 16
1291,11338,2026-07-25T14:47:00.054000+00:00,,,SessionStatus,,,,3,SESSION STARTED
1291,11338,2026-07-25T14:47:00+00:00,,,Flag,GREEN,Track,,3,GREEN LIGHT - PIT EXIT OPEN
1291,11338,2026-07-25T14:59:51+00:00,,,Flag,YELLOW,Sector,19,3,YELLOW IN TRACK SECTOR 19
1291,11338,2026-07-25T15:00:00.082000+00:00,,,SessionStatus,,,,3,SESSION FINISHED
1291,11338,2026-07-25T15:00:00+00:00,,,Flag,CHEQUERED,Track,,3,CHEQUERED FLAG
1291,11338,2026-07-25T15:00:01+00:00,,,Flag,CLEAR,Sector,19,3,CLEAR IN TRACK SECTOR 19
1291,11338,2026-07-25T15:00:16+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 3 (VER)
1291,11338,2026-07-25T15:00:26+00:00,,,Flag,YELLOW,Sector,3,3,YELLOW IN TRACK SECTOR 3
1291,11338,2026-07-25T15:00:29+00:00,,,Flag,DOUBLE YELLOW,Sector,3,3,DOUBLE YELLOW IN TRACK SECTOR 3
1291,11338,2026-07-25T15:00:35+00:00,,,Flag,YELLOW,Sector,2,3,YELLOW IN TRACK SECTOR 2
1291,11338,2026-07-25T15:01:33+00:00,,,Other,,,,,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 16 16:59:52 (PIT)
1291,11338,2026-07-25T15:04:00+00:00,,,Other,,,,,TURN 1 INCIDENT INVOLVING CARS 44 (HAM) AND 81 (PIA) NOTED - IMPEDING (16:59:46)
1291,11338,2026-07-25T15:05:46+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 12 (ANT) NOTED - YELLOW FLAG INFRINGEMENT (16:59:52)
