position,driver_number,lap_duration,meeting_key,session_key
1,1,77.207,1291,11338
2,16,77.445,1291,11338
3,81,77.684,1291,11338
4,3,77.725,1291,11338
5,44,77.219,1291,11338
6,63,77.76,1291,11338
7,12,77.479,1291,11338
8,6,77.856,1291,11338
9,41,78.281,1291,11338
10,27,78.686,1291,11338
11,30,78.765,1291,11338
12,10,78.844,1291,11338
13,43,79.027,1291,11338
14,5,79.105,1291,11338
15,31,79.734,1291,11338
16,14,79.808,1291,11338
17,87,80.233,1291,11338
18,55,80.621,1291,11338
19,23,80.658,1291,11338
20,18,80.659,1291,11338
21,77,80.886,1291,11338
22,11,81.322,1291,11338
