meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1291,11338,1,55,1,3,SOFT,0
1291,11338,1,23,1,3,SOFT,0
1291,11338,1,18,1,3,SOFT,0
1291,11338,1,14,1,3,SOFT,0
1291,11338,1,77,1,4,SOFT,0
1291,11338,1,11,1,3,SOFT,0
1291,11338,1,3,1,3,SOFT,0
1291,11338,1,12,1,4,SOFT,0
1291,11338,1,63,1,4,SOFT,0
1291,11338,2,55,4,6,SOFT,0
1291,11338,2,23,4,6,SOFT,0
1291,11338,1,16,1,5,MEDIUM,0
1291,11338,1,5,1,3,SOFT,0
1291,11338,1,31,1,3,SOFT,0
1291,11338,1,87,1,3,SOFT,0
1291,11338,1,41,1,3,SOFT,0
1291,11338,1,30,1,3,SOFT,0
1291,11338,1,27,1,3,SOFT,0
1291,11338,2,18,4,6,SOFT,0
1291,11338,2,77,5,7,SOFT,0
1291,11338,2,11,4,6,SOFT,0
1291,11338,2,14,4,6,SOFT,0
1291,11338,1,10,1,3,SOFT,0
1291,11338,1,43,1,3,SOFT,0
1291,11338,3,18,7,8,SOFT,0
1291,11338,3,55,7,9,SOFT,0
1291,11338,3,23,7,9,SOFT,0
1291,11338,2,87,4,6,SOFT,0
1291,11338,3,77,8,10,SOFT,0
1291,11338,3,11,7,9,SOFT,0
1291,11338,3,14,7,9,SOFT,0
1291,11338,2,3,4,6,SOFT,3
1291,11338,2,12,5,7,SOFT,4
1291,11338,2,63,5,7,SOFT,4
1291,11338,2,27,4,6,SOFT,0
1291,11338,1,6,1,3,SOFT,0
1291,11338,2,16,6,8,MEDIUM,5
1291,11338,2,5,4,6,SOFT,0
1291,11338,1,1,1,4,SOFT,0
1291,11338,2,30,4,6,SOFT,3
1291,11338,2,41,4,6,SOFT,3
1291,11338,1,81,1,4,SOFT,0
1291,11338,2,31,4,6,SOFT,0
1291,11338,2,10,4,6,SOFT,0
1291,11338,2,43,4,6,SOFT,0
1291,11338,1,44,1,3,MEDIUM,0
1291,11338,4,14,10,12,SOFT,3
1291,11338,2,6,4,5,SOFT,0
1291,11338,3,3,7,9,SOFT,0
1291,11338,5,14,13,15,SOFT,0
1291,11338,3,63,8,11,SOFT,0
1291,11338,2,81,5,7,SOFT,4
1291,11338,3,5,7,8,SOFT,0
1291,11338,3,27,7,9,SOFT,0
1291,11338,3,30,7,9,SOFT,0
1291,11338,2,1,5,7,SOFT,4
1291,11338,3,12,8,11,SOFT,0
1291,11338,3,41,7,9,SOFT,0
1291,11338,3,31,7,9,SOFT,3
1291,11338,3,10,7,9,SOFT,3
1291,11338,3,43,7,9,SOFT,3
1291,11338,3,16,9,11,SOFT,0
1291,11338,2,44,4,6,SOFT,0
1291,11338,4,5,9,11,SOFT,0
1291,11338,4,30,10,12,SOFT,0
1291,11338,4,31,10,12,SOFT,0
1291,11338,4,10,10,12,SOFT,0
1291,11338,4,43,10,12,SOFT,0
1291,11338,3,81,8,10,SOFT,0
1291,11338,4,3,10,12,SOFT,3
1291,11338,3,1,8,10,SOFT,0
1291,11338,3,6,6,8,SOFT,0
1291,11338,4,41,10,12,SOFT,0
1291,11338,4,27,10,12,SOFT,0
1291,11338,3,44,7,9,SOFT,3
1291,11338,4,16,12,14,SOFT,0
1291,11338,4,12,12,14,SOFT,4
1291,11338,4,63,12,14,SOFT,4
1291,11338,4,44,10,12,SOFT,0
1291,11338,5,16,15,17,SOFT,0
1291,11338,5,3,13,15,SOFT,0
1291,11338,5,12,15,17,SOFT,0
1291,11338,5,63,15,17,SOFT,0
1291,11338,5,41,13,15,SOFT,0
1291,11338,4,6,9,11,SOFT,3
1291,11338,5,27,13,15,SOFT,3
1291,11338,4,1,11,13,SOFT,0
1291,11338,4,81,11,13,SOFT,0
1291,11338,5,44,13,15,SOFT,0
1291,11338,5,81,14,15,SOFT,0
1291,11338,6,16,18,20,SOFT,0
1291,11338,6,12,18,20,SOFT,0
1291,11338,6,3,16,18,SOFT,0
1291,11338,6,63,18,20,SOFT,0
1291,11338,6,41,16,18,SOFT,0
1291,11338,5,6,12,14,SOFT,0
1291,11338,5,1,14,16,SOFT,0
1291,11338,6,27,16,18,SOFT,0
