date,session_key,meeting_key,position,driver_number
2026-07-25T13:46:57.213000+00:00,11338,1291,1,1
2026-07-25T13:46:57.213000+00:00,11338,1291,2,44
2026-07-25T13:46:57.213000+00:00,11338,1291,3,12
2026-07-25T13:46:57.213000+00:00,11338,1291,4,16
2026-07-25T13:46:57.213000+00:00,11338,1291,5,81
2026-07-25T13:46:57.213000+00:00,11338,1291,6,63
2026-07-25T13:46:57.213000+00:00,11338,1291,7,3
2026-07-25T13:46:57.213000+00:00,11338,1291,8,6
2026-07-25T13:46:57.213000+00:00,11338,1291,9,30
2026-07-25T13:46:57.213000+00:00,11338,1291,10,27
2026-07-25T13:46:57.213000+00:00,11338,1291,11,5
2026-07-25T13:46:57.213000+00:00,11338,1291,12,10
2026-07-25T13:46:57.213000+00:00,11338,1291,13,41
2026-07-25T13:46:57.213000+00:00,11338,1291,14,43
2026-07-25T13:46:57.213000+00:00,11338,1291,15,31
2026-07-25T13:46:57.213000+00:00,11338,1291,16,87
2026-07-25T13:46:57.213000+00:00,11338,1291,17,14
2026-07-25T13:46:57.213000+00:00,11338,1291,18,18
2026-07-25T13:46:57.213000+00:00,11338,1291,19,77
2026-07-25T13:46:57.213000+00:00,11338,1291,20,55
2026-07-25T13:46:57.213000+00:00,11338,1291,21,23
2026-07-25T13:46:57.213000+00:00,11338,1291,22,11
2026-07-25T14:03:06.445000+00:00,11338,1291,2,1
2026-07-25T14:03:06.445000+00:00,11338,1291,3,44
2026-07-25T14:03:06.445000+00:00,11338,1291,4,12
2026-07-25T14:03:06.445000+00:00,11338,1291,5,16
2026-07-25T14:03:06.445000+00:00,11338,1291,6,81
2026-07-25T14:03:06.445000+00:00,11338,1291,7,63
2026-07-25T14:03:06.445000+00:00,11338,1291,8,3
2026-07-25T14:03:06.445000+00:00,11338,1291,9,6
2026-07-25T14:03:06.445000+00:00,11338,1291,10,30
2026-07-25T14:03:06.445000+00:00,11338,1291,11,27
2026-07-25T14:03:06.445000+00:00,11338,1291,12,5
2026-07-25T14:03:06.445000+00:00,11338,1291,13,10
2026-07-25T14:03:06.445000+00:00,11338,1291,14,41
2026-07-25T14:03:06.445000+00:00,11338,1291,15,43
2026-07-25T14:03:06.445000+00:00,11338,1291,16,31
2026-07-25T14:03:06.445000+00:00,11338,1291,17,87
2026-07-25T14:03:06.445000+00:00,11338,1291,18,14
2026-07-25T14:03:06.445000+00:00,11338,1291,19,18
2026-07-25T14:03:06.445000+00:00,11338,1291,1,77
2026-07-25T14:03:10.438000+00:00,11338,1291,3,1
2026-07-25T14:03:10.438000+00:00,11338,1291,4,44
2026-07-25T14:03:10.438000+00:00,11338,1291,5,12
2026-07-25T14:03:10.438000+00:00,11338,1291,6,16
2026-07-25T14:03:10.438000+00:00,11338,1291,7,81
2026-07-25T14:03:10.438000+00:00,11338,1291,8,63
2026-07-25T14:03:10.438000+00:00,11338,1291,9,3
2026-07-25T14:03:10.438000+00:00,11338,1291,10,6
2026-07-25T14:03:10.438000+00:00,11338,1291,11,30
2026-07-25T14:03:10.438000+00:00,11338,1291,12,27
2026-07-25T14:03:10.438000+00:00,11338,1291,13,5
2026-07-25T14:03:10.438000+00:00,11338,1291,14,10
2026-07-25T14:03:10.438000+00:00,11338,1291,15,41
2026-07-25T14:03:10.438000+00:00,11338,1291,16,43
2026-07-25T14:03:10.438000+00:00,11338,1291,17,31
2026-07-25T14:03:10.438000+00:00,11338,1291,18,87
2026-07-25T14:03:10.438000+00:00,11338,1291,19,14
2026-07-25T14:03:10.438000+00:00,11338,1291,20,18
2026-07-25T14:03:10.438000+00:00,11338,1291,2,77
2026-07-25T14:03:10.438000+00:00,11338,1291,1,55
2026-07-25T14:03:17.252000+00:00,11338,1291,4,1
2026-07-25T14:03:17.252000+00:00,11338,1291,5,44
2026-07-25T14:03:17.252000+00:00,11338,1291,6,12
2026-07-25T14:03:17.252000+00:00,11338,1291,7,16
2026-07-25T14:03:17.252000+00:00,11338,1291,8,81
2026-07-25T14:03:17.252000+00:00,11338,1291,9,63
2026-07-25T14:03:17.252000+00:00,11338,1291,10,3
2026-07-25T14:03:17.252000+00:00,11338,1291,11,6
2026-07-25T14:03:17.252000+00:00,11338,1291,12,30
2026-07-25T14:03:17.252000+00:00,11338,1291,13,27
2026-07-25T14:03:17.252000+00:00,11338,1291,14,5
2026-07-25T14:03:17.252000+00:00,11338,1291,15,10
2026-07-25T14:03:17.252000+00:00,11338,1291,16,41
2026-07-25T14:03:17.252000+00:00,11338,1291,17,43
2026-07-25T14:03:17.252000+00:00,11338,1291,18,31
2026-07-25T14:03:17.252000+00:00,11338,1291,19,87
2026-07-25T14:03:17.252000+00:00,11338,1291,20,14
2026-07-25T14:03:17.252000+00:00,11338,1291,21,18
2026-07-25T14:03:17.252000+00:00,11338,1291,3,77
2026-07-25T14:03:17.252000+00:00,11338,1291,2,55
2026-07-25T14:03:17.252000+00:00,11338,1291,1,23
2026-07-25T14:03:22.182000+00:00,11338,1291,5,1
2026-07-25T14:03:22.182000+00:00,11338,1291,6,44
2026-07-25T14:03:22.182000+00:00,11338,1291,1,18
