meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1291,11342,1,11,1,1,MEDIUM,0
1291,11342,1,18,1,8,SOFT,0
1291,11342,1,44,1,13,SOFT,0
1291,11342,1,77,1,13,MEDIUM,0
1291,11342,1,3,1,14,MEDIUM,0
1291,11342,1,43,1,15,MEDIUM,0
1291,11342,1,81,1,16,MEDIUM,0
1291,11342,1,16,1,16,SOFT,3
1291,11342,1,10,1,16,MEDIUM,0
1291,11342,1,1,1,17,MEDIUM,0
1291,11342,1,31,1,17,MEDIUM,0
1291,11342,1,55,1,18,SOFT,0
1291,11342,1,6,1,19,MEDIUM,0
1291,11342,1,27,1,19,MEDIUM,0
1291,11342,1,41,1,20,MEDIUM,0
1291,11342,1,30,1,21,MEDIUM,0
1291,11342,1,12,1,22,MEDIUM,0
1291,11342,1,87,1,22,MEDIUM,0
1291,11342,1,23,1,26,MEDIUM,0
1291,11342,1,63,1,27,MEDIUM,0
1291,11342,1,5,1,29,SOFT,0
1291,11342,2,44,14,30,HARD,0
1291,11342,2,81,17,33,HARD,0
1291,11342,1,14,1,34,SOFT,0
1291,11342,2,31,18,35,HARD,0
1291,11342,2,16,17,36,HARD,0
1291,11342,2,18,9,37,MEDIUM,0
1291,11342,2,43,16,37,HARD,0
1291,11342,2,27,20,39,HARD,0
1291,11342,2,10,17,39,HARD,0
1291,11342,2,1,18,39,HARD,0
1291,11342,2,3,15,41,HARD,0
1291,11342,2,6,20,42,HARD,0
1291,11342,2,30,22,42,HARD,0
1291,11342,2,87,23,42,HARD,0
1291,11342,2,55,19,43,MEDIUM,0
1291,11342,2,11,2,46,MEDIUM,0
1291,11342,3,11,47,48,SOFT,0
1291,11342,2,12,23,53,HARD,0
1291,11342,2,63,28,54,HARD,0
1291,11342,3,81,34,55,HARD,0
1291,11342,2,23,27,54,HARD,0
1291,11342,3,1,40,56,,1
1291,11342,3,55,44,54,SOFT,3
1291,11342,3,44,31,56,HARD,0
1291,11342,3,16,37,56,HARD,0
1291,11342,3,10,40,55,HARD,0
1291,11342,2,14,35,55,MEDIUM,0
1291,11342,4,1,57,70,SOFT,3
1291,11342,3,43,38,68,HARD,0
1291,11342,3,31,36,68,HARD,0
1291,11342,3,3,42,70,SOFT,3
1291,11342,3,12,54,70,HARD,0
1291,11342,4,44,57,70,SOFT,3
1291,11342,4,16,57,70,SOFT,3
1291,11342,3,30,43,69,SOFT,0
1291,11342,3,27,40,69,SOFT,0
1291,11342,2,41,21,69,HARD,0
1291,11342,2,5,30,69,HARD,0
1291,11342,3,87,43,68,HARD,0
1291,11342,3,23,55,68,SOFT,0
1291,11342,4,55,55,68,SOFT,0
1291,11342,4,10,56,69,SOFT,0
1291,11342,3,6,43,70,HARD,0
1291,11342,3,63,55,70,HARD,0
1291,11342,3,18,38,69,SOFT,0
1291,11342,3,14,56,69,SOFT,3
