meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1291,11342,81,1,2026-07-26T13:03:18.360000+00:00,34.867,31.562,24.279,271,233,False,90.708,"[2048, 2049, 2049, 2049, 2051, 2051, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051]",264
1291,11342,1,1,2026-07-26T13:03:18.360000+00:00,35.153,32.05,24.383,278,236,False,91.586,"[None, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051]",255
1291,11342,3,1,2026-07-26T13:03:18.360000+00:00,35.503,32.608,24.284,284,241,False,92.395,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2049, 2049, 2049]",263
1291,11342,44,1,2026-07-26T13:03:18.360000+00:00,35.84,32.879,24.176,278,237,False,92.895,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049]",267
1291,11342,16,1,2026-07-26T13:03:18.360000+00:00,35.815,33.183,24.397,262,235,False,93.395,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",257
1291,11342,12,1,2026-07-26T13:03:18.360000+00:00,36.124,33.559,24.572,268,228,False,94.255,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",273
1291,11342,6,1,2026-07-26T13:03:18.360000+00:00,36.365,33.631,24.79,249,236,False,94.786,"[2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",276
1291,11342,30,1,2026-07-26T13:03:18.360000+00:00,36.665,33.708,25.085,248,239,False,95.458,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",279
1291,11342,41,1,2026-07-26T13:03:18.360000+00:00,36.956,33.794,25.083,261,238,False,95.833,"[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",277
1291,11342,27,1,2026-07-26T13:03:18.360000+00:00,37.446,33.708,25.054,286,232,False,96.208,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",266
