position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,36,False,False,False,72.949,0,1292,11343
2,1,30,False,False,False,73.07,0.121,1292,11343
3,63,37,False,False,False,73.074,0.125,1292,11343
4,44,34,False,False,False,73.139,0.19,1292,11343
5,16,39,False,False,False,73.238,0.289,1292,11343
6,81,35,False,False,False,73.608,0.659,1292,11343
7,27,34,False,False,False,73.784,0.835,1292,11343
8,10,28,False,False,False,73.911,0.962,1292,11343
9,5,29,False,False,False,73.992,1.043,1292,11343
10,41,37,False,False,False,74.285,1.336,1292,11343
11,3,25,False,False,False,74.325,1.376,1292,11343
12,14,25,False,False,False,74.511,1.562,1292,11343
13,43,31,False,False,False,74.826,1.877,1292,11343
14,30,30,False,False,False,74.861,1.912,1292,11343
15,87,32,False,False,False,74.874,1.925,1292,11343
16,31,31,False,False,False,74.897,1.948,1292,11343
17,22,35,False,False,False,75.11,2.161,1292,11343
18,18,24,False,False,False,75.199,2.25,1292,11343
19,23,33,False,False,False,75.357,2.408,1292,11343
20,77,28,False,False,False,75.58,2.631,1292,11343
21,11,28,False,False,False,75.7,2.751,1292,11343
22,55,32,False,False,False,76.345,3.396,1292,11343
