meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1292,11344,12,1,,,30.64,25.794,250,268,True,,"[2064, 2064, 2064, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",
1292,11344,63,1,2026-08-21T14:30:30.001000+00:00,,30.167,26.37,273,274,True,,"[2064, 2064, 2064, 2049, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051]",
1292,11344,11,1,2026-08-21T14:30:32.657000+00:00,,29.812,26.14,239,236,True,,"[2064, 2064, 2064, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049]",
1292,11344,16,1,2026-08-21T14:31:38.514000+00:00,,29.934,28.113,272,233,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11344,44,1,2026-08-21T14:31:43.316000+00:00,,29.04,26.047,267,226,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049]","[2049, 2051, 2049, 2051, 2049, 2049, 2049, 2051]",
1292,11344,31,1,2026-08-21T14:31:49.001000+00:00,,34.616,33.465,181,163,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11344,87,1,2026-08-21T14:31:52.312000+00:00,,32.715,35.851,274,182,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11344,12,2,2026-08-21T14:31:54.912000+00:00,30.628,30.851,26.838,246,236,False,88.317,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",268
1292,11344,63,2,2026-08-21T14:31:59.482000+00:00,29.165,33.063,26.962,190,232,False,89.19,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",251
1292,11344,11,2,2026-08-21T14:32:02.639000+00:00,26.56,33.943,29.009,231,211,False,89.512,"[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]",295
