meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1292,11344,1,12,1,3,MEDIUM,0
1292,11344,1,27,1,4,MEDIUM,0
1292,11344,1,31,1,3,MEDIUM,0
1292,11344,1,87,1,3,MEDIUM,0
1292,11344,1,55,1,4,MEDIUM,0
1292,11344,1,11,1,4,MEDIUM,0
1292,11344,1,18,1,5,MEDIUM,0
1292,11344,1,14,1,5,MEDIUM,0
1292,11344,2,87,4,6,MEDIUM,3
1292,11344,2,55,5,7,MEDIUM,4
1292,11344,1,77,1,7,MEDIUM,0
1292,11344,2,11,5,7,MEDIUM,4
1292,11344,2,27,5,7,MEDIUM,0
1292,11344,2,31,4,6,MEDIUM,3
1292,11344,1,23,1,7,MEDIUM,0
1292,11344,1,1,1,4,MEDIUM,0
1292,11344,1,81,1,4,MEDIUM,0
1292,11344,1,16,1,8,MEDIUM,0
1292,11344,1,44,1,7,MEDIUM,0
1292,11344,1,3,1,7,MEDIUM,0
1292,11344,1,30,1,7,MEDIUM,0
1292,11344,2,12,4,7,MEDIUM,3
1292,11344,1,63,1,9,MEDIUM,0
1292,11344,1,43,1,6,MEDIUM,0
1292,11344,1,22,1,7,MEDIUM,0
1292,11344,2,43,7,9,MEDIUM,0
1292,11344,1,41,1,7,MEDIUM,0
1292,11344,1,5,1,6,MEDIUM,0
1292,11344,3,27,8,10,MEDIUM,0
1292,11344,3,31,7,9,MEDIUM,0
1292,11344,1,10,1,6,MEDIUM,0
1292,11344,2,23,8,10,MEDIUM,7
1292,11344,3,23,11,12,MEDIUM,0
1292,11344,4,27,11,13,MEDIUM,0
1292,11344,4,31,10,12,MEDIUM,0
1292,11344,2,30,8,13,MEDIUM,0
1292,11344,2,22,8,11,MEDIUM,0
1292,11344,2,1,5,11,MEDIUM,0
1292,11344,3,12,8,11,MEDIUM,0
1292,11344,2,63,10,13,MEDIUM,0
1292,11344,2,16,9,12,MEDIUM,0
1292,11344,2,81,5,11,MEDIUM,0
1292,11344,2,44,8,11,MEDIUM,0
1292,11344,2,41,8,11,MEDIUM,0
1292,11344,2,3,8,11,MEDIUM,0
1292,11344,2,5,7,9,MEDIUM,0
1292,11344,2,10,7,9,MEDIUM,0
1292,11344,3,1,12,15,SOFT,0
1292,11344,4,12,12,15,SOFT,0
1292,11344,3,63,14,17,SOFT,0
1292,11344,3,16,13,16,SOFT,0
1292,11344,3,81,12,15,SOFT,0
1292,11344,3,5,10,12,SOFT,0
1292,11344,3,44,12,15,SOFT,0
1292,11344,3,41,12,15,SOFT,0
1292,11344,3,3,12,15,SOFT,0
1292,11344,3,10,10,12,SOFT,0
