date,session_key,driver_number,meeting_key,interval,gap_to_leader
2026-08-22T09:18:59.025000+00:00,11348,63,1292,0.0,0.0
2026-08-22T09:18:59.796000+00:00,11348,63,1292,0.0,0.0
2026-08-22T10:03:12.576000+00:00,11348,87,1292,0.631,
2026-08-22T10:03:12.935000+00:00,11348,18,1292,0.478,
2026-08-22T10:03:13.529000+00:00,11348,77,1292,0.638,
2026-08-22T10:03:15.936000+00:00,11348,1,1292,0.227,0.227
2026-08-22T10:03:16.086000+00:00,11348,16,1292,0.179,0.406
2026-08-22T10:03:16.151000+00:00,11348,81,1292,0.058,0.464
2026-08-22T10:03:16.391000+00:00,11348,3,1292,,0.71
2026-08-22T10:03:16.425000+00:00,11348,12,1292,0.27,0.734
2026-08-22T10:03:16.612000+00:00,11348,44,1292,0.233,0.943
2026-08-22T10:03:16.612000+00:00,11348,10,1292,,0.941
2026-08-22T10:03:16.875000+00:00,11348,5,1292,0.228,1.169
2026-08-22T10:03:17.084000+00:00,11348,41,1292,0.163,1.332
2026-08-22T10:03:17.139000+00:00,11348,22,1292,,1.458
2026-08-22T10:03:17.156000+00:00,11348,30,1292,0.133,1.465
2026-08-22T10:03:17.359000+00:00,11348,43,1292,0.21,1.668
2026-08-22T10:03:17.469000+00:00,11348,23,1292,,1.802
2026-08-22T10:03:17.469000+00:00,11348,31,1292,,1.801
2026-08-22T10:03:17.543000+00:00,11348,27,1292,0.195,1.863
2026-08-22T10:03:17.807000+00:00,11348,87,1292,0.307,2.109
2026-08-22T10:03:17.970000+00:00,11348,18,1292,0.192,2.301
2026-08-22T10:03:18.313000+00:00,11348,1,1292,0.238,0.238
2026-08-22T10:03:18.491000+00:00,11348,77,1292,0.503,2.804
2026-08-22T10:03:18.641000+00:00,11348,16,1292,0.266,0.504
2026-08-22T10:03:18.864000+00:00,11348,81,1292,0.212,0.716
2026-08-22T10:03:19.091000+00:00,11348,12,1292,0.11,0.826
2026-08-22T10:03:19.172000+00:00,11348,3,1292,0.104,0.93
2026-08-22T10:03:19.463000+00:00,11348,44,1292,0.25,1.18
2026-08-22T10:03:19.794000+00:00,11348,10,1292,0.281,1.461
2026-08-22T10:03:19.827000+00:00,11348,5,1292,0.021,1.482
2026-08-22T10:03:20.160000+00:00,11348,30,1292,0.348,1.83
2026-08-22T10:03:20.250000+00:00,11348,41,1292,0.276,1.758
2026-08-22T10:03:20.369000+00:00,11348,22,1292,0.214,2.044
2026-08-22T10:03:20.448000+00:00,11348,43,1292,0.069,2.113
2026-08-22T10:03:20.512000+00:00,11348,31,1292,0.073,2.186
2026-08-22T10:03:20.754000+00:00,11348,27,1292,,2.397
2026-08-22T10:03:20.763000+00:00,11348,23,1292,0.204,2.39
2026-08-22T10:03:20.912000+00:00,11348,87,1292,0.184,2.581
2026-08-22T10:03:21.251000+00:00,11348,18,1292,0.353,2.934
2026-08-22T10:03:21.458000+00:00,11348,77,1292,0.196,3.13
2026-08-22T10:03:23.582000+00:00,11348,1,1292,0.257,0.257
2026-08-22T10:03:24.014000+00:00,11348,16,1292,0.373,0.63
2026-08-22T10:03:24.269000+00:00,11348,12,1292,0.231,0.861
2026-08-22T10:03:24.412000+00:00,11348,81,1292,0.165,1.026
2026-08-22T10:03:24.612000+00:00,11348,3,1292,0.23,1.256
2026-08-22T10:03:24.849000+00:00,11348,44,1292,0.262,1.518
2026-08-22T10:03:25.106000+00:00,11348,10,1292,0.224,1.742
2026-08-22T10:03:25.306000+00:00,11348,5,1292,0.186,1.928
2026-08-22T10:03:25.526000+00:00,11348,41,1292,0.179,2.107
2026-08-22T10:03:25.569000+00:00,11348,30,1292,0.047,2.154
2026-08-22T10:03:25.840000+00:00,11348,43,1292,0.359,2.513
2026-08-22T10:03:25.972000+00:00,11348,22,1292,0.125,2.638
2026-08-22T10:03:26.212000+00:00,11348,1,1292,0.3,0.3
2026-08-22T10:03:26.241000+00:00,11348,31,1292,0.245,2.883
