meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1292,11348,2026-08-22T09:30:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1292,11348,2026-08-22T09:32:11+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - UNSAFE RELEASE (11:29:31)
1292,11348,2026-08-22T09:33:18+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) WILL BE INVESTIGATED AFTER THE SPRINT - UNSAFE RELEASE (11:29:31)
1292,11348,2026-08-22T09:35:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1292,11348,2026-08-22T09:39:33+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 77 (BOT) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:32:42)
1292,11348,2026-08-22T09:39:41+00:00,,1,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1292,11348,2026-08-22T09:39:56+00:00,,1,Flag,CLEAR,Sector,2,,CLEAR IN TRACK SECTOR 2
1292,11348,2026-08-22T09:40:48+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:56)
1292,11348,2026-08-22T09:42:37+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 77 (BOT) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:32:42)
1292,11348,2026-08-22T09:42:57+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:56)
1292,11348,2026-08-22T09:44:05+00:00,,1,Flag,DOUBLE YELLOW,Sector,11,,DOUBLE YELLOW IN TRACK SECTOR 11
1292,11348,2026-08-22T09:44:54+00:00,,1,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1292,11348,2026-08-22T09:45:14+00:00,,1,Other,,,,,RISK OF RAIN FOR THE F1 SPRINT IS 20%
1292,11348,2026-08-22T09:45:31+00:00,,1,Flag,CLEAR,Sector,18,,CLEAR IN TRACK SECTOR 18
1292,11348,2026-08-22T09:49:21+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 3 (VER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:26)
1292,11348,2026-08-22T09:51:21+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:12)
