meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1292,11348,1,27,1,5,MEDIUM,7
1292,11348,1,55,1,16,MEDIUM,7
1292,11348,1,63,1,24,MEDIUM,4
1292,11348,1,16,1,24,SOFT,4
1292,11348,1,77,1,23,MEDIUM,0
1292,11348,1,1,1,24,MEDIUM,4
1292,11348,1,12,1,24,MEDIUM,4
1292,11348,1,81,1,24,MEDIUM,4
1292,11348,1,3,1,24,MEDIUM,4
1292,11348,1,44,1,24,MEDIUM,7
1292,11348,2,27,6,7,MEDIUM,0
1292,11348,2,55,17,23,MEDIUM,0
1292,11348,1,10,1,24,MEDIUM,0
1292,11348,1,5,1,24,MEDIUM,6
1292,11348,1,41,1,24,MEDIUM,4
1292,11348,1,30,1,24,MEDIUM,6
1292,11348,1,43,1,24,MEDIUM,3
1292,11348,1,22,1,24,MEDIUM,4
1292,11348,1,11,1,21,MEDIUM,0
1292,11348,1,31,1,24,MEDIUM,6
1292,11348,1,87,1,24,SOFT,0
1292,11348,1,23,1,24,MEDIUM,5
1292,11348,1,18,1,24,MEDIUM,0
1292,11348,1,14,1,24,MEDIUM,0
