position,driver_number,lap_duration,meeting_key,session_key
1,1,71.163,1292,11349
2,63,71.265,1292,11349
3,12,71.296,1292,11349
4,81,71.305,1292,11349
5,44,71.494,1292,11349
6,16,71.558,1292,11349
7,3,71.618,1292,11349
8,30,71.733,1292,11349
9,5,72.079,1292,11349
10,41,72.185,1292,11349
11,10,72.616,1292,11349
12,22,72.627,1292,11349
13,27,72.797,1292,11349
14,43,72.8,1292,11349
15,31,73.137,1292,11349
16,23,73.182,1292,11349
17,55,73.574,1292,11349
18,14,73.65,1292,11349
19,18,73.818,1292,11349
20,87,73.826,1292,11349
21,77,74.371,1292,11349
22,11,74.6,1292,11349
