position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,21,False,False,False,"[72.695, 71.628, 71.163]","[0.085, 0.0, 0.0]",1292,11349
2,63,20,False,False,False,"[72.924, 71.959, 71.265]","[0.314, 0.331, 0.102]",1292,11349
3,12,21,False,False,False,"[73.022, 71.915, 71.296]","[0.412, 0.287, 0.133]",1292,11349
4,81,21,False,False,False,"[72.61, 71.641, 71.305]","[0.0, 0.013, 0.142]",1292,11349
5,44,25,False,False,False,"[72.673, 71.97, 71.494]","[0.063, 0.342, 0.331]",1292,11349
6,16,23,False,False,False,"[73.064, 71.91, 71.558]","[0.454, 0.282, 0.395]",1292,11349
7,3,22,False,False,False,"[73.29, 71.874, 71.618]","[0.68, 0.246, 0.455]",1292,11349
8,30,25,False,False,False,"[73.392, 72.301, 71.733]","[0.782, 0.673, 0.57]",1292,11349
9,5,22,False,False,False,"[73.142, 72.433, 72.079]","[0.532, 0.805, 0.916]",1292,11349
10,41,22,False,False,False,"[73.074, 72.525, 72.185]","[0.464, 0.897, 1.022]",1292,11349
11,10,14,False,False,False,"[73.115, 72.616, None]","[0.505, 0.988, None]",1292,11349
12,22,15,False,False,False,"[73.085, 72.627, None]","[0.475, 0.999, None]",1292,11349
13,27,19,False,False,False,"[73.188, 72.797, None]","[0.578, 1.169, None]",1292,11349
14,43,13,False,False,False,"[73.322, 72.8, None]","[0.712, 1.172, None]",1292,11349
15,31,17,False,False,False,"[73.544, 73.137, None]","[0.934, 1.509, None]",1292,11349
16,23,16,False,False,False,"[73.552, 73.182, None]","[0.942, 1.554, None]",1292,11349
17,55,10,False,False,False,"[73.574, None, None]","[0.964, None, None]",1292,11349
18,14,10,False,False,False,"[73.65, None, None]","[1.04, None, None]",1292,11349
19,18,10,False,False,False,"[73.818, None, None]","[1.208, None, None]",1292,11349
20,87,11,False,False,False,"[73.826, None, None]","[1.216, None, None]",1292,11349
21,77,10,False,False,False,"[74.371, None, None]","[1.761, None, None]",1292,11349
22,11,10,False,False,False,"[74.6, None, None]","[1.99, None, None]",1292,11349
