date,session_key,lane_duration,lap_number,meeting_key,driver_number,pit_duration,stop_duration
2026-08-22T14:00:02.645000+00:00,11349,,1,1292,27,,
2026-08-22T14:00:06.145000+00:00,11349,,1,1292,87,,
2026-08-22T14:00:10.598000+00:00,11349,,1,1292,31,,
2026-08-22T14:00:13.410000+00:00,11349,,1,1292,18,,
2026-08-22T14:00:19.317000+00:00,11349,,1,1292,22,,
2026-08-22T14:00:28.718000+00:00,11349,,1,1292,77,,
2026-08-22T14:00:33.452000+00:00,11349,,1,1292,11,,
2026-08-22T14:00:39.095000+00:00,11349,,1,1292,41,,
2026-08-22T14:00:42.142000+00:00,11349,,1,1292,55,,
2026-08-22T14:00:45.253000+00:00,11349,,1,1292,23,,
2026-08-22T14:00:46.521000+00:00,11349,,1,1292,14,,
2026-08-22T14:00:50.521000+00:00,11349,,1,1292,5,,
2026-08-22T14:00:54.079000+00:00,11349,,1,1292,16,,
2026-08-22T14:01:00.063000+00:00,11349,,1,1292,44,,
2026-08-22T14:01:07.063000+00:00,11349,,1,1292,30,,
2026-08-22T14:01:15.376000+00:00,11349,,1,1292,3,,
2026-08-22T14:02:05.762000+00:00,11349,,1,1292,10,,
2026-08-22T14:02:07.840000+00:00,11349,,1,1292,43,,
2026-08-22T14:03:22.896000+00:00,11349,,1,1292,1,,
2026-08-22T14:03:47.045000+00:00,11349,,1,1292,81,,
2026-08-22T14:03:53.675000+00:00,11349,,1,1292,12,,
2026-08-22T14:04:06.511000+00:00,11349,,1,1292,63,,
2026-08-22T14:04:54.224000+00:00,11349,22.4,4,1292,31,22.4,
2026-08-22T14:05:11.967000+00:00,11349,50.7,4,1292,87,50.7,
2026-08-22T14:05:36.896000+00:00,11349,90.7,4,1292,27,90.7,
2026-08-22T14:07:20.693000+00:00,11349,159.8,4,1292,22,159.8,
2026-08-22T14:07:27.378000+00:00,11349,153.7,4,1292,41,153.7,
2026-08-22T14:07:31.897000+00:00,11349,151.8,3,1292,10,151.8,
2026-08-22T14:07:34.297000+00:00,11349,134.8,4,1292,5,134.8,
2026-08-22T14:07:39.802000+00:00,11349,149.9,3,1292,43,149.9,
2026-08-22T14:07:47.083000+00:00,11349,97.3,5,1292,77,97.3,
2026-08-22T14:07:52.633000+00:00,11349,95.4,5,1292,11,95.4,
2026-08-22T14:07:57.402000+00:00,11349,115.2,5,1292,18,115.2,
2026-08-22T14:08:04.256000+00:00,11349,93.0,5,1292,55,93.0,
2026-08-22T14:08:09.801000+00:00,11349,86.5,5,1292,14,86.5,
2026-08-22T14:08:48.793000+00:00,11349,116.3,5,1292,23,116.3,
2026-08-22T14:13:05.826000+00:00,11349,208.2,5,1292,81,208.2,
2026-08-22T14:13:09.945000+00:00,11349,246.9,5,1292,1,246.9,
2026-08-22T14:13:20.889000+00:00,11349,179.0,7,1292,44,179.0,
2026-08-22T14:13:29.884000+00:00,11349,161.9,8,1292,31,161.9,
2026-08-22T14:13:31.677000+00:00,11349,152.1,8,1292,87,152.1,
2026-08-22T14:13:36.939000+00:00,11349,138.9,8,1292,27,138.9,
2026-08-22T14:14:12.691000+00:00,11349,114.9,8,1292,18,114.9,
2026-08-22T14:14:20.500000+00:00,11349,142.5,6,1292,10,142.5,
2026-08-22T14:14:21.852000+00:00,11349,129.6,6,1292,43,129.6,
2026-08-22T14:14:24.377000+00:00,11349,130.2,8,1292,77,130.2,
2026-08-22T14:14:27.279000+00:00,11349,131.3,8,1292,11,131.3,
2026-08-22T14:14:31.777000+00:00,11349,164.3,7,1292,41,164.3,
2026-08-22T14:14:45.042000+00:00,11349,121.1,8,1292,14,121.1,
2026-08-22T14:14:54.243000+00:00,11349,194.6,7,1292,22,194.6,
2026-08-22T14:15:04.782000+00:00,11349,273.1,7,1292,30,273.1,
2026-08-22T14:15:12.119000+00:00,11349,131.3,8,1292,23,131.3,
2026-08-22T14:15:23.992000+00:00,11349,115.3,8,1292,5,115.3,
2026-08-22T14:15:38.247000+00:00,11349,185.2,8,1292,55,185.2,
2026-08-22T14:15:53.395000+00:00,11349,369.4,5,1292,12,369.4,
2026-08-22T14:16:08.437000+00:00,11349,369.6,5,1292,63,369.6,
2026-08-22T14:25:02.320000+00:00,11349,801.7,8,1292,3,801.7,
2026-08-22T14:25:08.298000+00:00,11349,427.0,11,1292,27,427.0,
2026-08-22T14:25:14.825000+00:00,11349,301.5,8,1292,12,301.5,
2026-08-22T14:25:21.231000+00:00,11349,303.9,8,1292,63,303.9,
