meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1292,11349,2026-08-22T13:57:36+00:00,,,Flag,DOUBLE YELLOW,Sector,5,1,DOUBLE YELLOW IN TRACK SECTOR 5
1292,11349,2026-08-22T13:57:58+00:00,,,Flag,CLEAR,Sector,5,1,CLEAR IN TRACK SECTOR 5
1292,11349,2026-08-22T14:00:00.060000+00:00,,,SessionStatus,,,,1,SESSION STARTED
1292,11349,2026-08-22T14:00:00+00:00,,,Flag,GREEN,Track,,1,GREEN LIGHT - PIT EXIT OPEN
1292,11349,2026-08-22T14:04:59+00:00,,,Other,,,,,CAR 55 (SAI) TIME 1:25.773 DELETED - TRACK LIMITS AT TURN 3 LAP 3 16:02:37
1292,11349,2026-08-22T14:10:26+00:00,,,Other,,,,,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 7 16:08:57 (PIT)
1292,11349,2026-08-22T14:11:22+00:00,,,Other,,,,,CAR 18 (STR) TIME 1:14.225 DELETED - TRACK LIMITS AT TURN 13 LAP 7 16:10:35
1292,11349,2026-08-22T14:14:51+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 10 (GAS) NOTED - UNSAFE RELEASE (16:07:26)
1292,11349,2026-08-22T14:18:00.071000+00:00,,,SessionStatus,,,,1,SESSION FINISHED
1292,11349,2026-08-22T14:18:00+00:00,,,Flag,CHEQUERED,Track,,1,CHEQUERED FLAG
1292,11349,2026-08-22T14:18:12+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 5 (BOR)
1292,11349,2026-08-22T14:20:21+00:00,,,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 10 (GAS) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE (16:07:26)
1292,11349,2026-08-22T14:21:09+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1292,11349,2026-08-22T14:21:16+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1292,11349,2026-08-22T14:25:00.038000+00:00,,,SessionStatus,,,,2,SESSION STARTED
1292,11349,2026-08-22T14:25:00+00:00,,,Flag,GREEN,Track,,2,GREEN LIGHT - PIT EXIT OPEN
1292,11349,2026-08-22T14:39:40+00:00,,,Other,,,,,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 14 16:38:00 (PIT)
1292,11349,2026-08-22T14:40:00.070000+00:00,,,SessionStatus,,,,2,SESSION FINISHED
1292,11349,2026-08-22T14:40:01+00:00,,,Flag,CHEQUERED,Track,,2,CHEQUERED FLAG
1292,11349,2026-08-22T14:40:35+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 41 (LIN)
1292,11349,2026-08-22T14:42:19+00:00,,,Flag,DOUBLE YELLOW,Sector,16,2,DOUBLE YELLOW IN TRACK SECTOR 16
1292,11349,2026-08-22T14:42:25+00:00,,,Flag,CLEAR,Sector,16,2,CLEAR IN TRACK SECTOR 16
1292,11349,2026-08-22T14:47:00.039000+00:00,,,SessionStatus,,,,3,SESSION STARTED
1292,11349,2026-08-22T14:47:00+00:00,,,Flag,GREEN,Track,,3,GREEN LIGHT - PIT EXIT OPEN
1292,11349,2026-08-22T15:00:00.023000+00:00,,,SessionStatus,,,,3,SESSION FINISHED
