meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1292,11349,27,1,,,28.784,25.521,245,245,True,,"[2064, 2064, 2064, 2051, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",
1292,11349,87,1,,,31.208,26.732,246,227,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,31,1,2026-08-22T14:00:10.598000+00:00,,31.288,26.82,251,230,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,18,1,2026-08-22T14:00:13.348000+00:00,,29.327,25.542,267,236,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2051, 2051]","[2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]",
1292,11349,22,1,2026-08-22T14:00:19.254000+00:00,,28.818,25.259,238,231,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051]",
1292,11349,77,1,2026-08-22T14:00:28.668000+00:00,,31.262,26.906,267,217,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,11,1,2026-08-22T14:00:33.442000+00:00,,29.751,26.673,267,225,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",
1292,11349,41,1,2026-08-22T14:00:38.986000+00:00,,29.032,25.215,232,231,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051]",
1292,11349,55,1,2026-08-22T14:00:42.017000+00:00,,30.823,26.458,256,265,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,23,1,2026-08-22T14:00:45.196000+00:00,,30.475,27.874,230,275,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,14,1,2026-08-22T14:00:46.511000+00:00,,30.364,25.173,246,223,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2049]",
1292,11349,5,1,2026-08-22T14:00:50.521000+00:00,,30.743,24.999,234,249,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",
1292,11349,16,1,2026-08-22T14:00:53.970000+00:00,,30.566,28.029,271,228,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,44,1,2026-08-22T14:01:00.032000+00:00,,32.203,26.334,246,225,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,30,1,2026-08-22T14:01:07.001000+00:00,,31.02,25.648,246,232,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,3,1,2026-08-22T14:01:15.345000+00:00,,29.226,26.679,241,233,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",
1292,11349,27,2,2026-08-22T14:01:27.248000+00:00,27.946,28.14,25.357,249,238,False,81.443,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2048]","[2049, 2051, 2048, 2048, 2049, 2049, 2049]",276
1292,11349,87,2,2026-08-22T14:01:36.420000+00:00,29.845,30.293,25.574,275,223,False,85.712,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]",223
1292,11349,31,2,2026-08-22T14:01:43.019000+00:00,30.147,32.812,26.148,275,230,False,89.107,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]",228
1292,11349,18,2,2026-08-22T14:01:44.578000+00:00,30.061,32.941,29.949,263,232,False,92.951,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",221
1292,11349,22,2,2026-08-22T14:01:51.809000+00:00,25.69,26.283,22.314,291,286,False,74.287,"[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2051, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",309
1292,11349,77,2,2026-08-22T14:01:58.856000+00:00,27.398,30.273,28.02,294,203,False,85.691,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]",264
1292,11349,11,2,2026-08-22T14:02:02.199000+00:00,26.959,32.681,27.465,291,187,False,87.105,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]",268
1292,11349,10,1,2026-08-22T14:02:05.668000+00:00,,28.704,29.403,275,235,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1292,11349,41,2,2026-08-22T14:02:07.199000+00:00,25.732,26.468,22.42,297,287,False,74.62,"[2049, 2051, 2049, 2051, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2051, 2051, 2048, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",310
