meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1292,11353,1,3,1,1,SOFT,0
1292,11353,1,1,1,2,MEDIUM,0
1292,11353,1,12,1,2,MEDIUM,0
1292,11353,1,63,1,2,MEDIUM,0
1292,11353,1,16,1,2,SOFT,0
1292,11353,1,81,1,2,MEDIUM,0
1292,11353,1,44,1,2,SOFT,0
1292,11353,1,30,1,2,SOFT,3
1292,11353,1,41,1,2,SOFT,3
1292,11353,1,10,1,2,MEDIUM,0
1292,11353,1,43,1,2,MEDIUM,0
1292,11353,1,22,1,2,SOFT,0
1292,11353,1,27,1,2,SOFT,0
1292,11353,1,31,1,2,MEDIUM,0
1292,11353,1,23,1,2,SOFT,0
1292,11353,1,14,1,2,SOFT,0
1292,11353,1,87,1,2,SOFT,0
1292,11353,1,18,1,2,SOFT,0
1292,11353,1,5,1,2,SOFT,3
1292,11353,1,55,1,2,SOFT,0
1292,11353,1,11,1,2,SOFT,0
1292,11353,1,77,1,2,HARD,0
1292,11353,2,87,3,3,SOFT,3
1292,11353,2,41,3,5,MEDIUM,0
1292,11353,2,43,3,8,MEDIUM,0
1292,11353,2,5,3,11,SOFT,3
1292,11353,2,18,3,15,SOFT,0
1292,11353,2,31,3,16,SOFT,3
1292,11353,2,63,3,17,MEDIUM,2
1292,11353,2,81,3,18,HARD,0
1292,11353,2,10,3,18,MEDIUM,3
1292,11353,2,22,3,18,SOFT,3
1292,11353,2,27,3,19,SOFT,3
1292,11353,2,12,3,21,MEDIUM,2
1292,11353,2,1,3,21,SOFT,3
1292,11353,2,16,3,21,SOFT,0
1292,11353,2,30,3,21,SOFT,0
1292,11353,3,43,9,21,MEDIUM,0
1292,11353,2,44,3,25,SOFT,3
1292,11353,2,23,3,26,HARD,0
1292,11353,2,77,3,28,HARD,0
1292,11353,2,11,3,29,HARD,0
1292,11353,2,55,3,30,SOFT,0
1292,11353,2,14,3,34,SOFT,0
1292,11353,3,5,12,34,MEDIUM,0
1292,11353,3,18,16,35,HARD,0
1292,11353,3,41,6,36,MEDIUM,0
1292,11353,3,31,17,36,HARD,0
1292,11353,3,12,22,40,HARD,0
1292,11353,3,63,18,40,HARD,0
1292,11353,3,16,22,43,MEDIUM,0
1292,11353,3,81,19,44,HARD,0
1292,11353,3,22,19,44,HARD,0
1292,11353,4,43,22,45,HARD,0
1292,11353,4,18,36,45,HARD,0
1292,11353,3,1,22,47,HARD,0
1292,11353,3,10,19,46,HARD,0
1292,11353,3,30,22,47,MEDIUM,0
1292,11353,3,27,20,48,SOFT,0
1292,11353,3,23,27,49,HARD,0
1292,11353,3,77,29,51,HARD,0
1292,11353,4,31,37,52,HARD,0
1292,11353,3,11,30,52,HARD,0
1292,11353,4,5,35,53,HARD,0
1292,11353,3,44,26,55,HARD,0
1292,11353,4,16,44,55,HARD,0
1292,11353,4,81,45,55,SOFT,0
1292,11353,4,12,41,56,HARD,0
1292,11353,4,77,52,61,SOFT,0
1292,11353,3,55,31,65,HARD,0
1292,11353,4,23,50,66,MEDIUM,0
1292,11353,4,1,48,72,HARD,0
1292,11353,5,43,46,70,SOFT,0
1292,11353,5,12,57,72,SOFT,3
1292,11353,4,63,41,72,HARD,0
1292,11353,4,44,56,72,SOFT,0
1292,11353,5,16,56,72,SOFT,0
1292,11353,5,81,56,72,SOFT,0
1292,11353,4,27,49,71,HARD,0
1292,11353,3,14,35,71,HARD,0
1292,11353,4,10,47,71,MEDIUM,2
1292,11353,4,22,45,71,SOFT,0
1292,11353,4,11,53,70,SOFT,0
1292,11353,4,55,66,70,SOFT,2
1292,11353,4,41,37,71,HARD,0
1292,11353,5,5,54,71,SOFT,0
1292,11353,4,30,48,72,MEDIUM,0
