date,session_key,pit_duration,meeting_key,lap_number,driver_number,lane_duration,stop_duration
2026-09-04T10:30:08.301000+00:00,11354,,1293,1,36,,
2026-09-04T10:30:11.143000+00:00,11354,,1293,1,25,,
2026-09-04T10:30:16.547000+00:00,11354,,1293,1,31,,
2026-09-04T10:30:31.980000+00:00,11354,,1293,1,14,,
2026-09-04T10:30:33.383000+00:00,11354,,1293,1,87,,
2026-09-04T10:30:39.675000+00:00,11354,,1293,1,41,,
2026-09-04T10:30:42.235000+00:00,11354,,1293,1,12,,
2026-09-04T10:30:44.529000+00:00,11354,,1293,1,27,,
2026-09-04T10:30:50.866000+00:00,11354,,1293,1,63,,
2026-09-04T10:30:51.429000+00:00,11354,,1293,1,5,,
2026-09-04T10:30:53.648000+00:00,11354,,1293,1,61,,
2026-09-04T10:30:59.460000+00:00,11354,,1293,1,16,,
2026-09-04T10:31:02.179000+00:00,11354,,1293,1,55,,
2026-09-04T10:31:07.119000+00:00,11354,,1293,1,77,,
2026-09-04T10:31:10.653000+00:00,11354,,1293,1,46,,
2026-09-04T10:31:26.535000+00:00,11354,,1293,1,22,,
2026-09-04T10:31:37.620000+00:00,11354,,1293,1,1,,
2026-09-04T10:31:38.401000+00:00,11354,,1293,1,44,,
2026-09-04T10:31:42.995000+00:00,11354,,1293,1,30,,
2026-09-04T10:31:53.078000+00:00,11354,,1293,1,43,,
2026-09-04T10:31:55.891000+00:00,11354,,1293,1,81,,
2026-09-04T10:33:24.873000+00:00,11354,28.8,1293,2,61,28.8,
2026-09-04T10:33:38.967000+00:00,11354,,1293,1,18,,
2026-09-04T10:37:46.044000+00:00,11354,122.3,1293,4,87,122.3,
2026-09-04T10:38:36.882000+00:00,11354,353.8,1293,2,27,353.8,
2026-09-04T10:40:59.497000+00:00,11354,378.8,1293,3,46,378.8,
2026-09-04T10:41:24.165000+00:00,11354,34.6,1293,6,30,34.6,
2026-09-04T10:41:27.701000+00:00,11354,284.8,1293,5,36,284.8,
2026-09-04T10:41:52.599000+00:00,11354,457.0,1293,3,5,457.0,
2026-09-04T10:42:38.778000+00:00,11354,494.1,1293,3,25,494.1,
2026-09-04T10:43:07.316000+00:00,11354,423.9,1293,4,31,423.9,
2026-09-04T10:45:30.404000+00:00,11354,599.8,1293,3,61,599.8,
2026-09-04T10:46:22.565000+00:00,11354,641.3,1293,4,14,641.3,
2026-09-04T10:47:19.800000+00:00,11354,323.4,1293,7,12,323.4,
2026-09-04T10:56:02.480000+00:00,11354,846.0,1293,8,12,846.0,
2026-09-04T10:56:06.027000+00:00,11354,582.7,1293,9,63,582.7,
2026-09-04T10:56:08.433000+00:00,11354,1227.1,1293,6,14,1227.1,
2026-09-04T10:56:13.042000+00:00,11354,1209.5,1293,8,31,1209.5,
2026-09-04T10:56:17.149000+00:00,11354,1414.1,1293,8,27,1414.1,
2026-09-04T10:56:24.584000+00:00,11354,1303.9,1293,8,46,1303.9,
2026-09-04T10:56:33.803000+00:00,11354,1262.5,1293,6,61,1262.5,
2026-09-04T10:56:36.305000+00:00,11354,609.3,1293,9,30,609.3,
2026-09-04T10:56:37.945000+00:00,11354,1342.5,1293,7,5,1342.5,
2026-09-04T10:56:42.477000+00:00,11354,1258.6,1293,11,87,1258.6,
2026-09-04T10:56:49.352000+00:00,11354,456.9,1293,11,41,456.9,
2026-09-04T10:56:55.916000+00:00,11354,493.0,1293,10,22,493.0,
2026-09-04T10:56:59.294000+00:00,11354,488.0,1293,11,16,488.0,
2026-09-04T10:57:09.862000+00:00,11354,483.0,1293,10,43,483.0,
2026-09-04T10:58:42.654000+00:00,11354,653.7,1293,10,81,653.7,
2026-09-04T10:58:49.286000+00:00,11354,596.8,1293,10,1,596.8,
2026-09-04T10:58:59.364000+00:00,11354,582.8,1293,10,18,582.8,
2026-09-04T10:59:26.232000+00:00,11354,668.7,1293,10,44,668.7,
2026-09-04T10:59:42.263000+00:00,11354,690.0,1293,9,36,690.0,
2026-09-04T11:00:33.980000+00:00,11354,1133.0,1293,7,55,1133.0,
2026-09-04T11:01:21.902000+00:00,11354,25.9,1293,11,27,25.9,
