position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,29,False,False,False,83.008,0,1293,11354
2,44,26,False,False,False,83.181,0.173,1293,11354
3,63,27,False,False,False,83.312,0.304,1293,11354
4,30,26,False,False,False,83.433,0.425,1293,11354
5,12,27,False,False,False,83.644,0.636,1293,11354
6,1,26,False,False,False,83.719,0.711,1293,11354
7,41,29,False,False,False,83.802,0.794,1293,11354
8,5,21,False,False,False,84.006,0.998,1293,11354
9,43,27,False,False,False,84.028,1.02,1293,11354
10,61,23,False,False,False,84.177,1.169,1293,11354
11,81,26,False,False,False,84.184,1.176,1293,11354
12,22,27,False,False,False,84.571,1.563,1293,11354
13,27,27,False,False,False,84.626,1.618,1293,11354
14,87,28,False,False,False,84.646,1.638,1293,11354
15,46,25,False,False,False,84.74,1.732,1293,11354
16,55,25,False,False,False,84.827,1.819,1293,11354
17,36,24,False,False,False,84.873,1.865,1293,11354
18,31,26,False,False,False,85.852,2.844,1293,11354
19,77,27,False,False,False,85.984,2.976,1293,11354
20,18,23,False,False,False,86.066,3.058,1293,11354
21,14,21,False,False,False,86.072,3.064,1293,11354
22,25,5,False,False,False,89.922,6.914,1293,11354
