date,session_key,driver_number,position,meeting_key
2026-09-04T13:46:52.098000+00:00,11355,1,1,1293
2026-09-04T13:46:52.098000+00:00,11355,3,2,1293
2026-09-04T13:46:52.098000+00:00,11355,5,3,1293
2026-09-04T13:46:52.098000+00:00,11355,10,4,1293
2026-09-04T13:46:52.098000+00:00,11355,11,5,1293
2026-09-04T13:46:52.098000+00:00,11355,12,6,1293
2026-09-04T13:46:52.098000+00:00,11355,14,7,1293
2026-09-04T13:46:52.098000+00:00,11355,16,8,1293
2026-09-04T13:46:52.098000+00:00,11355,18,9,1293
2026-09-04T13:46:52.098000+00:00,11355,22,10,1293
2026-09-04T13:46:52.098000+00:00,11355,23,11,1293
2026-09-04T13:46:52.098000+00:00,11355,27,12,1293
2026-09-04T13:46:52.098000+00:00,11355,30,13,1293
2026-09-04T13:46:52.098000+00:00,11355,31,14,1293
2026-09-04T13:46:52.098000+00:00,11355,41,15,1293
2026-09-04T13:46:52.098000+00:00,11355,43,16,1293
2026-09-04T13:46:52.098000+00:00,11355,44,17,1293
2026-09-04T13:46:52.098000+00:00,11355,55,18,1293
2026-09-04T13:46:52.098000+00:00,11355,63,19,1293
2026-09-04T13:46:52.098000+00:00,11355,77,20,1293
2026-09-04T13:46:52.098000+00:00,11355,81,21,1293
2026-09-04T13:46:52.098000+00:00,11355,87,22,1293
2026-09-04T14:00:03.729000+00:00,11355,1,2,1293
2026-09-04T14:00:03.729000+00:00,11355,3,3,1293
2026-09-04T14:00:03.729000+00:00,11355,5,1,1293
2026-09-04T14:00:21.269000+00:00,11355,1,3,1293
2026-09-04T14:00:21.269000+00:00,11355,3,4,1293
2026-09-04T14:00:21.269000+00:00,11355,10,5,1293
2026-09-04T14:00:21.269000+00:00,11355,11,6,1293
2026-09-04T14:00:21.269000+00:00,11355,12,7,1293
2026-09-04T14:00:21.269000+00:00,11355,14,8,1293
2026-09-04T14:00:21.269000+00:00,11355,16,9,1293
2026-09-04T14:00:21.269000+00:00,11355,18,10,1293
