meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1293,11357,30,1,,,33.532,31.969,264,275,True,,"[None, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051]",198
1293,11357,18,1,2026-09-05T14:01:00.165000+00:00,,33.446,31.688,259,275,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",193
1293,11357,87,1,2026-09-05T14:01:02.947000+00:00,,34.156,32.147,285,272,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",190
1293,11357,55,1,2026-09-05T14:01:05.100000+00:00,,32.768,32.049,283,259,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",217
1293,11357,23,1,2026-09-05T14:01:06.345000+00:00,,32.163,32.372,261,264,True,,"[2064, 2064, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",210
1293,11357,14,1,2026-09-05T14:01:09.579000+00:00,,32.916,31.169,259,267,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049]",199
1293,11357,31,1,2026-09-05T14:01:12.101000+00:00,,32.727,32.585,259,262,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",201
1293,11357,11,1,2026-09-05T14:01:18.931000+00:00,,32.519,31.769,241,258,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",154
1293,11357,77,1,2026-09-05T14:01:21.344000+00:00,,33.492,32.928,263,278,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",186
1293,11357,16,1,2026-09-05T14:01:27.341000+00:00,,35.707,31.643,280,207,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",183
