meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1293,11357,2026-09-05T13:50:42+00:00,,,Flag,CLEAR,Sector,6,1,CLEAR IN TRACK SECTOR 6
1293,11357,2026-09-05T13:50:44+00:00,,,Flag,CLEAR,Sector,14,1,CLEAR IN TRACK SECTOR 14
1293,11357,2026-09-05T14:00:00.031000+00:00,,,SessionStatus,,,,1,SESSION STARTED
1293,11357,2026-09-05T14:00:00+00:00,,,Flag,GREEN,Track,,1,GREEN LIGHT - PIT EXIT OPEN
1293,11357,2026-09-05T14:05:08+00:00,,,Other,,,,,CAR 1 (NOR) TIME 1:39.935 DELETED - TRACK LIMITS AT TURN 1 LAP 3 16:03:30
1293,11357,2026-09-05T14:18:00.071000+00:00,,,SessionStatus,,,,1,SESSION FINISHED
1293,11357,2026-09-05T14:18:00+00:00,,,Flag,CHEQUERED,Track,,1,CHEQUERED FLAG
1293,11357,2026-09-05T14:18:07+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 41 (LIN)
1293,11357,2026-09-05T14:18:10+00:00,,,Other,,,,,CAR 81 (PIA) TIME 1:47.848 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:16:19
1293,11357,2026-09-05T14:20:16+00:00,,,Flag,YELLOW,Sector,8,1,YELLOW IN TRACK SECTOR 8
1293,11357,2026-09-05T14:20:16+00:00,,,Flag,YELLOW,Sector,7,1,YELLOW IN TRACK SECTOR 7
1293,11357,2026-09-05T14:20:19+00:00,,,Flag,CLEAR,Sector,7,1,CLEAR IN TRACK SECTOR 7
1293,11357,2026-09-05T14:20:32+00:00,,,Flag,YELLOW,Sector,3,1,YELLOW IN TRACK SECTOR 3
1293,11357,2026-09-05T14:20:32+00:00,,,Flag,YELLOW,Sector,2,1,YELLOW IN TRACK SECTOR 2
1293,11357,2026-09-05T14:20:34+00:00,,,Flag,CLEAR,Sector,2,1,CLEAR IN TRACK SECTOR 2
1293,11357,2026-09-05T14:20:37+00:00,,,Flag,YELLOW,Sector,4,1,YELLOW IN TRACK SECTOR 4
1293,11357,2026-09-05T14:21:32+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 12 (ANT) AND 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1293,11357,2026-09-05T14:21:44+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 12 (ANT) AND 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1293,11357,2026-09-05T14:21:59+00:00,,,Flag,CLEAR,Sector,4,1,CLEAR IN TRACK SECTOR 4
