position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,10,18,False,False,False,"[82.612, 82.077, 81.786]","[0.0, 0.195, 0.0]",1293,11357
2,63,17,False,False,False,"[82.779, 82.161, 81.846]","[0.167, 0.279, 0.06]",1293,11357
3,81,18,False,False,False,"[82.924, 82.017, 81.966]","[0.312, 0.135, 0.18]",1293,11357
4,16,18,False,False,False,"[82.902, 82.509, 82.004]","[0.29, 0.627, 0.218]",1293,11357
5,44,15,False,False,False,"[82.847, 82.516, 82.011]","[0.235, 0.634, 0.225]",1293,11357
6,3,17,False,False,False,"[82.631, 82.188, 82.07]","[0.019, 0.306, 0.284]",1293,11357
7,12,18,False,False,False,"[82.758, 81.882, 82.093]","[0.146, 0.0, 0.307]",1293,11357
8,43,18,False,False,False,"[82.662, 82.4, 82.22]","[0.05, 0.518, 0.434]",1293,11357
9,1,19,False,False,False,"[82.659, 82.067, 82.256]","[0.047, 0.185, 0.47]",1293,11357
10,41,18,False,False,False,"[82.727, 82.345, 82.286]","[0.115, 0.463, 0.5]",1293,11357
11,5,12,False,False,False,"[82.946, 82.517, None]","[0.334, 0.635, None]",1293,11357
12,87,15,False,False,False,"[82.906, 82.756, None]","[0.294, 0.874, None]",1293,11357
13,27,12,False,False,False,"[83.44, 82.779, None]","[0.828, 0.897, None]",1293,11357
14,30,17,False,False,False,"[82.989, 82.821, None]","[0.377, 0.939, None]",1293,11357
15,55,15,False,False,False,"[83.616, 83.453, None]","[1.004, 1.571, None]",1293,11357
16,31,15,False,False,False,"[83.466, 83.454, None]","[0.854, 1.572, None]",1293,11357
17,22,6,False,False,False,"[83.755, None, None]","[1.143, None, None]",1293,11357
18,23,6,False,False,False,"[84.356, None, None]","[1.744, None, None]",1293,11357
19,77,9,False,False,False,"[84.364, None, None]","[1.752, None, None]",1293,11357
20,11,9,False,False,False,"[84.595, None, None]","[1.983, None, None]",1293,11357
21,14,6,False,False,False,"[85.15, None, None]","[2.538, None, None]",1293,11357
22,18,9,False,False,False,"[85.222, None, None]","[2.61, None, None]",1293,11357
