position,driver_number,lap_duration,meeting_key,session_key
1,10,81.786,1293,11357
2,63,81.846,1293,11357
3,16,82.004,1293,11357
4,44,82.011,1293,11357
5,3,82.07,1293,11357
6,81,81.966,1293,11357
7,43,82.22,1293,11357
8,1,82.256,1293,11357
9,41,82.286,1293,11357
10,5,82.517,1293,11357
11,87,82.756,1293,11357
12,27,82.779,1293,11357
13,55,83.453,1293,11357
14,31,83.454,1293,11357
15,22,83.755,1293,11357
16,77,84.364,1293,11357
17,11,84.595,1293,11357
18,14,85.15,1293,11357
19,18,85.222,1293,11357
20,12,82.093,1293,11357
21,30,82.821,1293,11357
22,23,84.356,1293,11357
