meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1293,11361,2026-09-06T12:19:26+00:00,,1,Flag,CLEAR,Sector,1,,CLEAR IN TRACK SECTOR 1
1293,11361,2026-09-06T12:20:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1293,11361,2026-09-06T12:23:44+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:20:30)
1293,11361,2026-09-06T12:27:54+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:20:30)
1293,11361,2026-09-06T12:30:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1293,11361,2026-09-06T12:31:54+00:00,,1,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1293,11361,2026-09-06T12:31:55+00:00,,1,Flag,YELLOW,Sector,5,,YELLOW IN TRACK SECTOR 5
1293,11361,2026-09-06T12:32:01+00:00,,1,Flag,YELLOW,Sector,3,,YELLOW IN TRACK SECTOR 3
1293,11361,2026-09-06T12:32:03+00:00,,1,Flag,YELLOW,Sector,8,,YELLOW IN TRACK SECTOR 8
1293,11361,2026-09-06T12:32:04+00:00,,1,Flag,YELLOW,Sector,9,,YELLOW IN TRACK SECTOR 9
1293,11361,2026-09-06T12:32:09+00:00,,1,Flag,YELLOW,Sector,11,,YELLOW IN TRACK SECTOR 11
1293,11361,2026-09-06T12:33:20+00:00,,1,Flag,YELLOW,Sector,7,,YELLOW IN TRACK SECTOR 7
1293,11361,2026-09-06T12:34:34+00:00,,1,Flag,CLEAR,Sector,5,,CLEAR IN TRACK SECTOR 5
1293,11361,2026-09-06T12:35:06+00:00,,1,Flag,CLEAR,Sector,8,,CLEAR IN TRACK SECTOR 8
1293,11361,2026-09-06T12:35:11+00:00,,1,Flag,CLEAR,Sector,7,,CLEAR IN TRACK SECTOR 7
1293,11361,2026-09-06T12:35:32+00:00,,1,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1293,11361,2026-09-06T12:36:18+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 43 (COL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:27:01)
1293,11361,2026-09-06T12:37:39+00:00,,1,Flag,YELLOW,Sector,13,,YELLOW IN TRACK SECTOR 13
1293,11361,2026-09-06T12:39:22+00:00,,1,Flag,CLEAR,Sector,9,,CLEAR IN TRACK SECTOR 9
