meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1293,11361,10,1,2026-09-06T13:03:30.936000+00:00,29.872,29.996,28.927,287,298,False,88.795,"[2048, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2049, 2049, 2049, 2051]",288
1293,11361,63,1,2026-09-06T13:03:30.936000+00:00,30.235,29.938,28.989,302,313,False,89.162,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",296
1293,11361,16,1,2026-09-06T13:03:30.936000+00:00,30.854,30.166,28.675,295,309,False,89.695,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2048]",295
1293,11361,3,1,2026-09-06T13:03:30.936000+00:00,31.102,30.147,28.647,298,320,False,89.896,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",286
1293,11361,81,1,2026-09-06T13:03:30.936000+00:00,31.047,30.557,28.741,306,328,False,90.345,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]",292
1293,11361,43,1,2026-09-06T13:03:30.936000+00:00,31.512,30.866,28.596,302,316,False,90.974,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",275
1293,11361,1,1,2026-09-06T13:03:30.936000+00:00,31.82,31.558,28.638,315,314,False,92.016,"[2048, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",263
1293,11361,41,1,2026-09-06T13:03:30.936000+00:00,31.909,31.818,28.968,315,322,False,92.695,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]",263
1293,11361,87,1,2026-09-06T13:03:30.936000+00:00,32.579,31.593,28.962,301,320,False,93.134,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",266
1293,11361,44,1,2026-09-06T13:03:30.936000+00:00,32.525,32.087,29.022,299,311,False,93.634,"[2048, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",297
