position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,53,25.0,False,False,False,6675.281,0,1293,11361
2,63,53,18.0,False,False,False,6679.138,3.857,1293,11361
3,3,53,15.0,False,False,False,6689.999,14.718,1293,11361
4,1,53,12.0,False,False,False,6694.337,19.056,1293,11361
5,81,53,10.0,False,False,False,6694.534,19.253,1293,11361
6,44,53,8.0,False,False,False,6699.936,24.655,1293,11361
7,10,53,6.0,False,False,False,6702.632,27.351,1293,11361
8,41,53,4.0,False,False,False,6720.417,45.136,1293,11361
9,43,53,2.0,False,False,False,6722.634,47.353,1293,11361
10,22,53,1.0,False,False,False,6733.468,58.187,1293,11361
11,5,53,0.0,False,False,False,6740.468,65.187,1293,11361
12,27,53,0.0,False,False,False,6741.468,66.187,1293,11361
13,55,53,0.0,False,False,False,6749.398,74.117,1293,11361
14,30,53,0.0,False,False,False,6750.89,75.609,1293,11361
15,87,53,0.0,False,False,False,6754.239,78.958,1293,11361
16,31,52,0.0,False,False,False,,+1 LAP,1293,11361
17,23,52,0.0,False,False,False,,+1 LAP,1293,11361
18,11,52,0.0,False,False,False,,+1 LAP,1293,11361
19,77,51,0.0,False,False,False,,+2 LAPS,1293,11361
,18,26,0.0,True,False,False,,,1293,11361
,14,23,0.0,True,False,False,,,1293,11361
,16,1,0.0,True,False,False,,,1293,11361
