position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,28,False,False,False,94.077,0,1294,11362
2,12,27,False,False,False,94.363,0.286,1294,11362
3,16,27,False,False,False,94.536,0.459,1294,11362
4,44,27,False,False,False,94.62,0.543,1294,11362
5,3,25,False,False,False,94.703,0.626,1294,11362
6,1,27,False,False,False,94.947,0.87,1294,11362
7,41,28,False,False,False,95.033,0.956,1294,11362
8,81,22,False,False,False,95.148,1.071,1294,11362
9,27,26,False,False,False,95.529,1.452,1294,11362
10,30,26,False,False,False,95.539,1.462,1294,11362
11,5,27,False,False,False,95.652,1.575,1294,11362
12,31,25,False,False,False,95.834,1.757,1294,11362
13,43,24,False,False,False,95.933,1.856,1294,11362
14,10,23,False,False,False,96.244,2.167,1294,11362
15,14,27,False,False,False,96.473,2.396,1294,11362
16,87,24,False,False,False,96.853,2.776,1294,11362
17,55,30,False,False,False,96.87,2.793,1294,11362
18,22,16,False,False,False,96.939,2.862,1294,11362
19,18,26,False,False,False,97.254,3.177,1294,11362
20,23,25,False,False,False,97.591,3.514,1294,11362
21,11,26,False,False,False,98.15,4.073,1294,11362
22,77,25,False,False,False,98.818,4.741,1294,11362
