date,session_key,pit_duration,stop_duration,lap_number,driver_number,meeting_key,lane_duration
2026-09-11T15:00:05.242000+00:00,11363,,,1,31,1294,
2026-09-11T15:00:08.289000+00:00,11363,,,1,87,1294,
2026-09-11T15:00:13.927000+00:00,11363,,,1,63,1294,
2026-09-11T15:00:17.596000+00:00,11363,,,1,22,1294,
2026-09-11T15:00:26.655000+00:00,11363,,,1,43,1294,
2026-09-11T15:00:30.949000+00:00,11363,,,1,16,1294,
2026-09-11T15:00:32.980000+00:00,11363,,,1,77,1294,
2026-09-11T15:00:36.257000+00:00,11363,,,1,11,1294,
2026-09-11T15:00:46.358000+00:00,11363,,,1,44,1294,
2026-09-11T15:00:48.715000+00:00,11363,,,1,81,1294,
2026-09-11T15:00:55.520000+00:00,11363,,,1,12,1294,
2026-09-11T15:00:57.490000+00:00,11363,,,1,30,1294,
2026-09-11T15:01:14.668000+00:00,11363,,,1,27,1294,
2026-09-11T15:01:21.121000+00:00,11363,,,1,1,1294,
2026-09-11T15:01:27.831000+00:00,11363,,,1,41,1294,
2026-09-11T15:01:31.131000+00:00,11363,,,1,10,1294,
2026-09-11T15:01:33.229000+00:00,11363,,,1,55,1294,
2026-09-11T15:01:37.151000+00:00,11363,,,1,5,1294,
2026-09-11T15:01:49.025000+00:00,11363,,,1,3,1294,
2026-09-11T15:04:01.416000+00:00,11363,,,1,18,1294,
2026-09-11T15:04:12.659000+00:00,11363,,,1,23,1294,
2026-09-11T15:06:41.678000+00:00,11363,35.4,,4,63,1294,35.4
2026-09-11T15:08:11.825000+00:00,11363,25.6,,4,5,1294,25.6
2026-09-11T15:08:25.428000+00:00,11363,63.0,,4,55,1294,63.0
2026-09-11T15:10:24.228000+00:00,11363,72.9,,5,12,1294,72.9
2026-09-11T15:11:29.498000+00:00,11363,43.1,,6,77,1294,43.1
2026-09-11T15:12:12.921000+00:00,11363,36.1,,6,30,1294,36.1
2026-09-11T15:12:19.884000+00:00,11363,47.5,,6,44,1294,47.5
2026-09-11T15:12:21.914000+00:00,11363,37.3,,6,5,1294,37.3
2026-09-11T15:12:38.644000+00:00,11363,41.4,,6,41,1294,41.4
2026-09-11T15:13:11.493000+00:00,11363,38.0,,7,87,1294,38.0
2026-09-11T15:15:20.802000+00:00,11363,69.5,,7,12,1294,69.5
2026-09-11T15:17:05.495000+00:00,11363,185.0,,6,23,1294,185.0
2026-09-11T15:18:07.232000+00:00,11363,37.9,,9,22,1294,37.9
2026-09-11T15:19:39.555000+00:00,11363,39.8,,10,31,1294,39.8
2026-09-11T15:19:50.297000+00:00,11363,37.4,,10,87,1294,37.4
2026-09-11T15:23:57.153000+00:00,11363,397.5,,9,81,1294,397.5
2026-09-11T15:24:01.206000+00:00,11363,,,1,14,1294,
2026-09-11T15:24:18.932000+00:00,11363,389.9,,9,30,1294,389.9
2026-09-11T15:24:27.796000+00:00,11363,381.8,,9,3,1294,381.8
2026-09-11T15:24:46.942000+00:00,11363,411.0,,9,11,1294,411.0
2026-09-11T15:25:22.355000+00:00,11363,150.1,,11,55,1294,150.1
2026-09-11T15:25:28.108000+00:00,11363,432.9,,10,16,1294,432.9
2026-09-11T15:25:33.859000+00:00,11363,196.7,,11,41,1294,196.7
2026-09-11T15:25:39.785000+00:00,11363,277.2,,10,12,1294,277.2
2026-09-11T15:26:05.404000+00:00,11363,319.8,,11,63,1294,319.8
2026-09-11T15:26:08.709000+00:00,11363,276.7,,10,18,1294,276.7
2026-09-11T15:26:18.993000+00:00,11363,513.8,,9,44,1294,513.8
2026-09-11T15:26:30.013000+00:00,11363,664.0,,8,43,1294,664.0
2026-09-11T15:27:40.029000+00:00,11363,35.1,,11,23,1294,35.1
2026-09-11T15:28:21.134000+00:00,11363,547.2,,10,77,1294,547.2
2026-09-11T15:28:28.978000+00:00,11363,290.7,,12,22,1294,290.7
2026-09-11T15:28:34.936000+00:00,11363,560.1,,10,27,1294,560.1
2026-09-11T15:28:41.725000+00:00,11363,218.3,,13,31,1294,218.3
2026-09-11T15:28:45.295000+00:00,11363,205.3,,13,87,1294,205.3
2026-09-11T15:30:05.801000+00:00,11363,40.6,,13,63,1294,40.6
2026-09-11T15:30:49.052000+00:00,11363,38.8,,12,30,1294,38.8
2026-09-11T15:31:08.901000+00:00,11363,386.8,,12,5,1294,386.8
2026-09-11T15:31:34.233000+00:00,11363,25.5,,13,16,1294,25.5
2026-09-11T15:31:44.251000+00:00,11363,946.0,,8,10,1294,946.0
2026-09-11T15:31:47.696000+00:00,11363,49.8,,12,11,1294,49.8
2026-09-11T15:32:16.648000+00:00,11363,40.1,,14,41,1294,40.1
2026-09-11T15:32:39.507000+00:00,11363,56.4,,13,12,1294,56.4
2026-09-11T15:33:11.340000+00:00,11363,38.7,,14,22,1294,38.7
2026-09-11T15:33:52.238000+00:00,11363,36.6,,11,43,1294,36.6
2026-09-11T15:34:02.855000+00:00,11363,67.8,,6,14,1294,67.8
2026-09-11T15:47:05.392000+00:00,11363,1867.0,,11,10,1294,1867.0
2026-09-11T15:47:07.507000+00:00,11363,1345.3,,15,5,1294,1345.3
2026-09-11T15:47:11.946000+00:00,11363,747.9,,16,31,1294,747.9
2026-09-11T15:47:13.471000+00:00,11363,738.1,,16,87,1294,738.1
2026-09-11T15:47:18.870000+00:00,11363,777.0,,13,27,1294,777.0
2026-09-11T15:47:25.131000+00:00,11363,891.8,,16,22,1294,891.8
2026-09-11T15:47:32.567000+00:00,11363,877.5,,7,14,1294,877.5
2026-09-11T15:47:34.127000+00:00,11363,1700.1,,14,77,1294,1700.1
2026-09-11T15:47:37.925000+00:00,11363,1000.0,,14,11,1294,1000.0
2026-09-11T15:47:39.300000+00:00,11363,863.6,,12,43,1294,863.6
2026-09-11T15:47:47.110000+00:00,11363,998.3,,16,16,1294,998.3
2026-09-11T15:47:51.770000+00:00,11363,1070.1,,12,3,1294,1070.1
2026-09-11T15:47:55.682000+00:00,11363,1835.9,,15,81,1294,1835.9
2026-09-11T15:47:57.342000+00:00,11363,1505.1,,16,55,1294,1505.1
2026-09-11T15:48:04.313000+00:00,11363,981.2,,15,12,1294,981.2
2026-09-11T15:48:11.700000+00:00,11363,1126.4,,16,63,1294,1126.4
2026-09-11T15:48:14.832000+00:00,11363,1084.5,,15,30,1294,1084.5
2026-09-11T15:48:17.398000+00:00,11363,1272.4,,15,23,1294,1272.4
2026-09-11T15:48:21.653000+00:00,11363,1609.6,,15,18,1294,1609.6
2026-09-11T15:48:37.218000+00:00,11363,1852.1,,14,44,1294,1852.1
2026-09-11T15:55:47.930000+00:00,11363,50.3,,17,27,1294,50.3
2026-09-11T15:58:47.348000+00:00,11363,310.0,,18,30,1294,310.0
2026-09-11T15:59:02.138000+00:00,11363,33.5,,22,55,1294,33.5
2026-09-11T15:59:47.477000+00:00,11363,32.7,,22,5,1294,32.7
