meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1294,11363,2026-09-11T14:45:15+00:00,,,Other,,,,,RISK OF RAIN FOR F1 FREE PRACTICE 2 IS 0%
1294,11363,2026-09-11T14:47:18+00:00,,,Other,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1294,11363,2026-09-11T15:00:00.023000+00:00,,,SessionStatus,,,,,SESSION STARTED
1294,11363,2026-09-11T15:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1294,11363,2026-09-11T15:04:40+00:00,,,Other,,,,,CAR 11 (PER) TIME 1:37.800 DELETED - TRACK LIMITS AT TURN 5 LAP 3 17:03:07
1294,11363,2026-09-11T15:05:38+00:00,,,Other,,,,,CAR 12 (ANT) TIME 2:01.053 DELETED - TRACK LIMITS AT TURN 5 LAP 3 17:03:29
1294,11363,2026-09-11T15:05:39+00:00,,,Other,,,,,CAR 81 (PIA) TIME 2:14.516 DELETED - TRACK LIMITS AT TURN 5 LAP 3 17:03:24
1294,11363,2026-09-11T15:06:15+00:00,,,Other,,,,,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 18 LAP 3 17:04:45 (PIT)
1294,11363,2026-09-11T15:09:30+00:00,,,Other,,,,,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 4 17:05:52 (PIT)
1294,11363,2026-09-11T15:10:00+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:35.242 DELETED - TRACK LIMITS AT TURN 17 LAP 5 17:07:40
1294,11363,2026-09-11T15:10:02+00:00,,,Other,,,,,CAR 77 (BOT) TIME 1:39.771 DELETED - TRACK LIMITS AT TURN 17 LAP 5 17:07:47
1294,11363,2026-09-11T15:10:50+00:00,,,Other,,,,,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 3 17:04:32
1294,11363,2026-09-11T15:11:16+00:00,,,Other,,,,,CAR 27 (HUL) TIME 1:36.663 DELETED - TRACK LIMITS AT TURN 17 LAP 5 17:08:25
1294,11363,2026-09-11T15:13:39+00:00,,,Other,,,,,CAR 55 (SAI) TIME 2:56.548 DELETED - TRACK LIMITS AT TURN 5 LAP 5 17:08:49
