meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1294,11363,31,1,,,40.238,36.295,175,224,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",171
1294,11363,87,1,2026-09-11T15:00:08.086000+00:00,,40.958,36.557,165,214,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",187
1294,11363,63,1,2026-09-11T15:00:13.833000+00:00,,38.799,36.601,176,236,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]",229
1294,11363,22,1,2026-09-11T15:00:17.411000+00:00,,39.931,34.316,172,222,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",188
1294,11363,43,1,2026-09-11T15:00:26.509000+00:00,,46.678,35.739,192,233,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",217
1294,11363,16,1,2026-09-11T15:00:30.730000+00:00,,42.212,36.976,174,212,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",219
1294,11363,77,1,2026-09-11T15:00:32.857000+00:00,,42.306,39.644,180,211,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",182
1294,11363,11,1,2026-09-11T15:00:36.156000+00:00,,39.209,44.399,175,224,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",177
1294,11363,44,1,2026-09-11T15:00:46.257000+00:00,,42.645,40.663,163,225,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",191
1294,11363,81,1,2026-09-11T15:00:48.500000+00:00,,39.384,39.751,166,218,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",159
1294,11363,12,1,2026-09-11T15:00:55.395000+00:00,,42.02,40.344,171,221,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",185
1294,11363,30,1,2026-09-11T15:00:57.286000+00:00,,43.453,42.012,172,195,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",191
1294,11363,27,1,2026-09-11T15:01:14.559000+00:00,,39.102,40.247,170,230,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",175
1294,11363,1,1,2026-09-11T15:01:21.027000+00:00,,38.241,44.431,182,229,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",192
1294,11363,41,1,2026-09-11T15:01:27.696000+00:00,,39.871,44.536,175,223,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]",217
1294,11363,10,1,2026-09-11T15:01:30.931000+00:00,,43.108,41.309,179,204,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",215
1294,11363,55,1,2026-09-11T15:01:33.209000+00:00,,39.17,47.242,170,216,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",192
1294,11363,5,1,2026-09-11T15:01:36.968000+00:00,,39.194,40.512,173,216,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",196
1294,11363,3,1,2026-09-11T15:01:48.915000+00:00,,50.387,39.237,181,222,True,,"[2064, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",240
