position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,19,False,False,False,"[93.469, 92.873, 91.824]","[0.258, 0.442, 0.0]",1294,11365
2,12,20,False,False,False,"[93.267, 92.591, 91.835]","[0.056, 0.16, 0.011]",1294,11365
3,3,18,False,False,False,"[93.381, 92.431, 91.964]","[0.17, 0.0, 0.14]",1294,11365
4,44,21,False,False,False,"[93.531, 92.71, 92.013]","[0.32, 0.279, 0.189]",1294,11365
5,16,21,False,False,False,"[93.532, 92.755, 92.019]","[0.321, 0.324, 0.195]",1294,11365
6,63,22,False,False,False,"[93.211, 92.85, 92.149]","[0.0, 0.419, 0.325]",1294,11365
7,81,22,False,False,False,"[93.829, 93.204, 92.294]","[0.618, 0.773, 0.47]",1294,11365
8,30,18,False,False,False,"[93.31, 92.78, 92.316]","[0.099, 0.349, 0.492]",1294,11365
9,43,17,False,False,False,"[93.963, 93.038, 92.903]","[0.752, 0.607, 1.079]",1294,11365
10,41,21,False,False,False,"[94.34, 93.204, 93.041]","[1.129, 0.773, 1.217]",1294,11365
11,27,13,False,False,False,"[94.417, 93.223, None]","[1.206, 0.792, None]",1294,11365
12,5,12,False,False,False,"[93.986, 93.388, None]","[0.775, 0.957, None]",1294,11365
13,31,11,False,False,False,"[94.667, 93.667, None]","[1.456, 1.236, None]",1294,11365
14,10,11,False,False,False,"[94.246, 93.753, None]","[1.035, 1.322, None]",1294,11365
15,22,15,False,False,False,"[94.311, 94.084, None]","[1.1, 1.653, None]",1294,11365
16,23,14,False,False,False,"[95.307, 95.532, None]","[2.096, 3.101, None]",1294,11365
17,55,9,False,False,False,"[95.312, None, None]","[2.101, None, None]",1294,11365
18,14,9,False,False,False,"[95.388, None, None]","[2.177, None, None]",1294,11365
19,11,9,False,False,False,"[95.913, None, None]","[2.702, None, None]",1294,11365
20,77,8,False,False,False,"[98.011, None, None]","[4.8, None, None]",1294,11365
