meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1294,11365,1,18,1,2,SOFT,0
1294,11365,1,77,1,3,SOFT,0
1294,11365,1,12,1,3,SOFT,0
1294,11365,1,55,1,3,SOFT,0
1294,11365,1,63,1,3,SOFT,0
1294,11365,1,23,1,3,SOFT,0
1294,11365,1,11,1,3,SOFT,0
1294,11365,1,27,1,3,SOFT,0
1294,11365,1,5,1,3,SOFT,0
1294,11365,1,1,1,4,SOFT,0
1294,11365,2,77,4,5,SOFT,0
1294,11365,2,12,4,5,SOFT,0
1294,11365,2,55,4,6,SOFT,0
1294,11365,1,30,1,3,SOFT,0
1294,11365,1,14,1,6,SOFT,0
1294,11365,2,23,4,6,SOFT,0
1294,11365,1,41,1,6,SOFT,0
1294,11365,2,27,4,5,SOFT,0
1294,11365,1,22,1,6,SOFT,0
1294,11365,1,31,1,3,SOFT,0
1294,11365,1,10,1,3,SOFT,0
1294,11365,1,43,1,3,SOFT,0
1294,11365,2,11,4,6,SOFT,0
1294,11365,2,63,4,7,SOFT,0
1294,11365,3,55,7,9,SOFT,0
1294,11365,2,14,7,9,SOFT,0
1294,11365,3,77,6,8,SOFT,0
1294,11365,3,11,7,9,SOFT,0
1294,11365,3,12,6,8,SOFT,0
1294,11365,1,16,1,6,MEDIUM,0
1294,11365,3,63,8,10,SOFT,0
1294,11365,1,44,1,6,MEDIUM,0
1294,11365,3,23,7,9,SOFT,0
1294,11365,2,41,7,9,SOFT,0
1294,11365,2,43,4,6,SOFT,0
1294,11365,2,10,4,6,SOFT,0
1294,11365,3,27,6,7,SOFT,0
1294,11365,2,22,7,9,SOFT,0
1294,11365,2,1,5,7,SOFT,0
1294,11365,1,3,1,6,MEDIUM,0
1294,11365,2,30,4,6,SOFT,0
1294,11365,1,81,1,10,SOFT,0
1294,11365,2,5,4,6,SOFT,0
1294,11365,2,31,4,5,SOFT,0
1294,11365,3,10,7,8,SOFT,0
1294,11365,4,12,9,11,SOFT,0
1294,11365,4,27,8,10,SOFT,0
1294,11365,3,43,7,8,SOFT,0
1294,11365,3,5,7,9,SOFT,0
1294,11365,4,63,11,13,SOFT,0
1294,11365,2,3,7,9,SOFT,0
1294,11365,3,1,8,10,SOFT,0
1294,11365,3,41,10,12,SOFT,0
1294,11365,3,31,6,8,SOFT,0
1294,11365,3,22,10,12,SOFT,0
1294,11365,3,30,7,9,SOFT,0
1294,11365,2,81,11,13,SOFT,0
1294,11365,4,23,10,12,SOFT,0
1294,11365,4,10,9,11,SOFT,0
1294,11365,5,27,11,13,SOFT,0
1294,11365,4,5,10,12,SOFT,0
1294,11365,5,23,13,14,SOFT,0
1294,11365,4,22,13,15,SOFT,0
1294,11365,4,31,9,11,SOFT,0
1294,11365,5,12,12,14,SOFT,0
1294,11365,5,63,14,16,SOFT,0
1294,11365,4,43,9,11,SOFT,0
1294,11365,4,1,11,13,SOFT,0
1294,11365,2,16,7,15,SOFT,0
1294,11365,2,44,7,15,SOFT,0
1294,11365,4,41,13,15,SOFT,0
1294,11365,4,30,10,12,SOFT,0
1294,11365,3,81,14,16,SOFT,0
1294,11365,3,3,10,12,SOFT,0
1294,11365,6,12,15,17,SOFT,0
1294,11365,5,43,12,14,SOFT,0
1294,11365,6,63,17,19,SOFT,0
1294,11365,3,16,16,18,SOFT,0
1294,11365,5,41,16,18,SOFT,0
1294,11365,3,44,16,18,SOFT,0
1294,11365,5,30,13,15,SOFT,0
1294,11365,5,1,14,16,SOFT,0
1294,11365,4,81,17,19,SOFT,0
1294,11365,4,3,13,15,SOFT,0
1294,11365,7,12,18,20,SOFT,0
1294,11365,7,63,20,22,SOFT,0
1294,11365,6,43,15,17,SOFT,0
1294,11365,6,41,19,21,SOFT,0
1294,11365,4,16,19,21,SOFT,0
1294,11365,4,44,19,21,SOFT,0
1294,11365,6,30,16,18,SOFT,0
1294,11365,6,1,17,19,SOFT,0
1294,11365,5,81,20,22,SOFT,0
1294,11365,5,3,16,18,SOFT,0
