date,session_key,lap_number,driver_number,pit_duration,stop_duration,meeting_key,lane_duration
2026-09-12T14:00:03.061000+00:00,11365,1,77,,,1294,
2026-09-12T14:00:08.326000+00:00,11365,1,11,,,1294,
2026-09-12T14:00:17.761000+00:00,11365,1,12,,,1294,
2026-09-12T14:00:20.714000+00:00,11365,1,63,,,1294,
2026-09-12T14:00:27.558000+00:00,11365,1,3,,,1294,
2026-09-12T14:00:34.371000+00:00,11365,1,14,,,1294,
2026-09-12T14:00:44.070000+00:00,11365,1,55,,,1294,
2026-09-12T14:00:53.647000+00:00,11365,1,22,,,1294,
2026-09-12T14:00:57.229000+00:00,11365,1,41,,,1294,
2026-09-12T14:01:00.702000+00:00,11365,1,16,,,1294,
2026-09-12T14:01:04.518000+00:00,11365,1,44,,,1294,
2026-09-12T14:01:10.332000+00:00,11365,1,23,,,1294,
2026-09-12T14:01:12.627000+00:00,11365,1,18,,,1294,
2026-09-12T14:01:22.135000+00:00,11365,1,27,,,1294,
2026-09-12T14:01:25.570000+00:00,11365,1,5,,,1294,
2026-09-12T14:01:33.268000+00:00,11365,1,1,,,1294,
2026-09-12T14:01:39.533000+00:00,11365,1,81,,,1294,
2026-09-12T14:03:58.239000+00:00,11365,1,30,,,1294,
2026-09-12T14:04:55.409000+00:00,11365,1,31,,,1294,
2026-09-12T14:05:04.939000+00:00,11365,1,10,,,1294,
2026-09-12T14:05:08.720000+00:00,11365,1,43,,,1294,
2026-09-12T14:05:56.401000+00:00,11365,4,77,32.6,,1294,32.6
2026-09-12T14:06:12.366000+00:00,11365,4,12,26.5,,1294,26.5
2026-09-12T14:06:59.752000+00:00,11365,4,55,36.7,,1294,36.7
2026-09-12T14:07:08.092000+00:00,11365,4,63,62.6,,1294,62.6
2026-09-12T14:07:27.602000+00:00,11365,4,23,35.7,,1294,35.7
2026-09-12T14:07:32.131000+00:00,11365,4,11,117.3,,1294,117.3
2026-09-12T14:07:37.205000+00:00,11365,4,27,26.2,,1294,26.2
2026-09-12T14:07:59.636000+00:00,11365,4,5,34.9,,1294,34.9
2026-09-12T14:10:28.028000+00:00,11365,5,1,67.4,,1294,67.4
2026-09-12T14:13:05.910000+00:00,11365,6,77,211.2,,1294,211.2
2026-09-12T14:13:11.285000+00:00,11365,6,12,197.8,,1294,197.8
2026-09-12T14:13:23.479000+00:00,11365,7,55,49.6,,1294,49.6
2026-09-12T14:13:25.526000+00:00,11365,4,30,239.6,,1294,239.6
2026-09-12T14:13:31.835000+00:00,11365,7,14,124.3,,1294,124.3
2026-09-12T14:13:37.242000+00:00,11365,7,23,41.7,,1294,41.7
2026-09-12T14:13:41.072000+00:00,11365,7,41,63.6,,1294,63.6
2026-09-12T14:13:47.479000+00:00,11365,6,27,148.4,,1294,148.4
2026-09-12T14:13:52.494000+00:00,11365,7,22,83.6,,1294,83.6
2026-09-12T14:13:58.345000+00:00,11365,4,31,223.7,,1294,223.7
2026-09-12T14:14:09.189000+00:00,11365,4,10,210.1,,1294,210.1
2026-09-12T14:14:15.314000+00:00,11365,4,43,206.9,,1294,206.9
2026-09-12T14:14:42.975000+00:00,11365,7,11,102.3,,1294,102.3
2026-09-12T14:16:14.635000+00:00,11365,8,63,86.0,,1294,86.0
2026-09-12T14:25:04.393000+00:00,11365,9,12,391.4,,1294,391.4
2026-09-12T14:25:10.573000+00:00,11365,11,63,220.5,,1294,220.5
2026-09-12T14:25:14.589000+00:00,11365,7,16,753.5,,1294,753.5
2026-09-12T14:25:18.412000+00:00,11365,7,44,741.8,,1294,741.8
2026-09-12T14:25:23.650000+00:00,11365,10,23,376.5,,1294,376.5
2026-09-12T14:25:26.887000+00:00,11365,10,41,374.6,,1294,374.6
2026-09-12T14:25:35.124000+00:00,11365,7,43,340.3,,1294,340.3
2026-09-12T14:25:40.388000+00:00,11365,7,10,352.8,,1294,352.8
2026-09-12T14:25:49.751000+00:00,11365,8,27,484.7,,1294,484.7
2026-09-12T14:25:56.822000+00:00,11365,10,22,386.1,,1294,386.1
2026-09-12T14:26:02.930000+00:00,11365,8,1,603.6,,1294,603.6
2026-09-12T14:26:10.314000+00:00,11365,7,3,849.6,,1294,849.6
2026-09-12T14:26:19.906000+00:00,11365,7,30,439.2,,1294,439.2
2026-09-12T14:26:24.665000+00:00,11365,11,81,296.1,,1294,296.1
2026-09-12T14:26:46.023000+00:00,11365,7,5,794.8,,1294,794.8
2026-09-12T14:27:08.173000+00:00,11365,6,31,560.8,,1294,560.8
2026-09-12T14:35:35.789000+00:00,11365,12,12,310.4,,1294,310.4
2026-09-12T14:35:40.489000+00:00,11365,9,10,344.2,,1294,344.2
2026-09-12T14:35:46.413000+00:00,11365,11,27,252.3,,1294,252.3
2026-09-12T14:35:53.994000+00:00,11365,9,43,377.7,,1294,377.7
2026-09-12T14:35:56.345000+00:00,11365,10,5,215.3,,1294,215.3
2026-09-12T14:36:04.087000+00:00,11365,14,63,329.7,,1294,329.7
2026-09-12T14:36:12.391000+00:00,11365,10,3,257.4,,1294,257.4
2026-09-12T14:36:18.047000+00:00,11365,11,1,272.6,,1294,272.6
2026-09-12T14:36:24.969000+00:00,11365,13,41,314.4,,1294,314.4
2026-09-12T14:36:31.311000+00:00,11365,13,22,289.9,,1294,289.9
2026-09-12T14:36:34.952000+00:00,11365,9,31,244.4,,1294,244.4
2026-09-12T14:36:39.285000+00:00,11365,10,30,276.7,,1294,276.7
2026-09-12T14:36:47.744000+00:00,11365,14,81,274.4,,1294,274.4
2026-09-12T14:38:02.391000+00:00,11365,13,23,419.0,,1294,419.0
2026-09-12T14:47:04.205000+00:00,11365,15,12,367.1,,1294,367.1
2026-09-12T14:47:08.592000+00:00,11365,17,63,325.9,,1294,325.9
2026-09-12T14:47:16.414000+00:00,11365,12,43,344.9,,1294,344.9
2026-09-12T14:47:22.528000+00:00,11365,14,1,331.5,,1294,331.5
2026-09-12T14:47:27.560000+00:00,11365,16,16,293.5,,1294,293.5
2026-09-12T14:47:31.497000+00:00,11365,16,44,272.9,,1294,272.9
2026-09-12T14:47:36.876000+00:00,11365,16,41,341.0,,1294,341.0
2026-09-12T14:47:42.076000+00:00,11365,13,30,325.2,,1294,325.2
2026-09-12T14:48:19.678000+00:00,11365,17,81,327.8,,1294,327.8
2026-09-12T14:48:28.562000+00:00,11365,13,3,400.3,,1294,400.3
2026-09-12T14:55:58.205000+00:00,11365,18,12,217.9,,1294,217.9
2026-09-12T14:56:01.078000+00:00,11365,20,63,211.3,,1294,211.3
2026-09-12T14:56:04.954000+00:00,11365,15,43,190.9,,1294,190.9
2026-09-12T14:56:08.700000+00:00,11365,19,41,179.4,,1294,179.4
2026-09-12T14:56:10.038000+00:00,11365,19,16,188.9,,1294,188.9
2026-09-12T14:56:20.569000+00:00,11365,19,44,194.7,,1294,194.7
2026-09-12T14:56:26.578000+00:00,11365,16,30,186.5,,1294,186.5
2026-09-12T14:57:03.447000+00:00,11365,17,1,248.6,,1294,248.6
2026-09-12T14:57:10.722000+00:00,11365,20,81,214.6,,1294,214.6
2026-09-12T14:57:29.606000+00:00,11365,16,3,232.6,,1294,232.6
