meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1294,11369,1,1,2026-09-13T13:04:04.248000+00:00,33.032,36.257,32.846,201,251,False,102.135,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2051, 2051, 2051]","[2051, 2051, 2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051]",298
1294,11369,3,1,2026-09-13T13:04:04.248000+00:00,33.201,36.843,33.385,180,237,False,103.429,"[2048, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051, 2048]",264
1294,11369,12,1,2026-09-13T13:04:04.248000+00:00,33.195,37.541,33.612,192,230,False,104.348,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305
1294,11369,44,1,2026-09-13T13:04:04.248000+00:00,33.405,37.709,33.663,189,232,False,104.777,"[2048, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",253
1294,11369,16,1,2026-09-13T13:04:04.248000+00:00,33.952,37.764,33.836,187,239,False,105.552,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",247
1294,11369,63,1,2026-09-13T13:04:04.248000+00:00,34.56,37.47,33.928,180,221,False,105.958,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",238
1294,11369,43,1,2026-09-13T13:04:04.248000+00:00,35.051,37.611,34.122,189,231,False,106.784,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",238
1294,11369,30,1,2026-09-13T13:04:04.248000+00:00,35.365,37.796,34.431,191,229,False,107.592,"[2048, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",228
1294,11369,41,1,2026-09-13T13:04:04.248000+00:00,35.77,37.854,34.533,196,228,False,108.157,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",240
1294,11369,81,1,2026-09-13T13:04:04.248000+00:00,36.215,37.908,34.54,190,217,False,108.663,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",220
1294,11369,31,1,2026-09-13T13:04:04.248000+00:00,36.229,38.487,34.548,187,227,False,109.264,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",227
1294,11369,27,1,2026-09-13T13:04:04.248000+00:00,36.409,38.486,34.737,186,206,False,109.632,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",213
1294,11369,10,1,2026-09-13T13:04:04.248000+00:00,36.811,38.59,35.142,184,218,False,110.543,"[2048, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",245
1294,11369,23,1,2026-09-13T13:04:04.248000+00:00,37.036,38.989,35.344,182,215,False,111.369,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",228
1294,11369,5,1,2026-09-13T13:04:04.248000+00:00,37.252,39.171,35.308,185,200,False,111.731,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",236
1294,11369,11,1,2026-09-13T13:04:04.248000+00:00,37.861,39.169,35.004,180,203,False,112.034,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",233
1294,11369,22,1,2026-09-13T13:04:04.248000+00:00,38.197,39.288,35.411,184,214,False,112.896,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",219
1294,11369,55,1,2026-09-13T13:04:04.248000+00:00,38.746,39.512,35.143,176,206,False,113.401,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",224
1294,11369,18,1,2026-09-13T13:04:04.248000+00:00,39.73,38.881,35.455,182,208,False,114.066,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",213
1294,11369,14,1,2026-09-13T13:04:04.248000+00:00,40.89,38.431,35.306,171,214,False,114.627,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",226
1294,11369,77,1,2026-09-13T13:04:04.248000+00:00,41.027,39.314,35.235,168,228,False,115.576,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",220
1294,11369,87,1,2026-09-13T13:04:04.248000+00:00,45.927,37.389,33.916,204,240,False,117.232,"[None, 2064, 2064, 2064, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",252
1294,11369,1,2,2026-09-13T13:05:46.383000+00:00,30.504,35.647,33.253,218,247,False,99.404,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2051]","[2051, 2051, 2051, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2051, 2048, 2048]",295
1294,11369,3,2,2026-09-13T13:05:47.677000+00:00,30.477,36.361,33.287,207,244,False,100.125,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2051, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048, 2048]",269
1294,11369,12,2,2026-09-13T13:05:48.596000+00:00,30.295,36.511,33.445,209,246,False,100.251,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",278
