date,session_key,air_temperature,humidity,track_temperature,wind_direction,wind_speed,pressure,meeting_key,rainfall
2026-09-13T12:06:39.877000+00:00,11369,28.7,30.3,50.1,67,4.0,946.0,1294,0
2026-09-13T12:07:39.903000+00:00,11369,28.8,30.1,49.6,36,2.6,946.1,1294,0
2026-09-13T12:08:39.925000+00:00,11369,28.8,29.9,50.6,287,2.0,946.2,1294,0
2026-09-13T12:09:39.921000+00:00,11369,28.8,29.8,50.8,67,2.7,946.1,1294,0
2026-09-13T12:10:39.915000+00:00,11369,28.7,29.5,50.9,67,1.9,946.0,1294,0
2026-09-13T12:11:39.921000+00:00,11369,28.7,29.7,51.5,0,0.0,946.0,1294,0
2026-09-13T12:12:39.909000+00:00,11369,28.8,29.5,51.7,0,0.0,946.0,1294,0
2026-09-13T12:13:39.916000+00:00,11369,28.9,29.0,51.5,91,1.1,946.0,1294,0
2026-09-13T12:14:39.941000+00:00,11369,29.1,28.7,51.6,61,3.4,946.0,1294,0
2026-09-13T12:15:39.966000+00:00,11369,29.1,28.4,51.7,80,2.0,945.9,1294,0
2026-09-13T12:16:39.967000+00:00,11369,29.1,28.3,50.8,43,3.1,946.0,1294,0
2026-09-13T12:17:39.991000+00:00,11369,29.0,28.4,50.5,13,0.9,946.0,1294,0
2026-09-13T12:18:40.024000+00:00,11369,28.9,28.8,51.5,69,2.2,946.0,1294,0
2026-09-13T12:19:40.008000+00:00,11369,29.0,28.9,51.5,21,0.9,945.9,1294,0
2026-09-13T12:20:40.018000+00:00,11369,29.0,28.7,51.7,61,1.7,945.9,1294,0
2026-09-13T12:21:40.002000+00:00,11369,29.1,28.5,51.8,51,1.4,946.0,1294,0
2026-09-13T12:22:40.008000+00:00,11369,29.2,29.0,51.9,0,0.0,945.9,1294,0
2026-09-13T12:23:40.011000+00:00,11369,29.4,28.6,52.1,290,3.5,945.9,1294,0
2026-09-13T12:24:40.020000+00:00,11369,29.4,27.4,52.0,96,1.3,945.8,1294,0
2026-09-13T12:25:40.018000+00:00,11369,29.6,27.4,51.8,91,0.4,945.9,1294,0
2026-09-13T12:26:40.004000+00:00,11369,29.7,27.9,52.1,277,1.0,945.9,1294,0
2026-09-13T12:27:40.015000+00:00,11369,29.8,27.4,52.5,328,1.0,945.9,1294,0
2026-09-13T12:28:40.013000+00:00,11369,29.9,27.0,51.6,207,0.5,945.8,1294,0
2026-09-13T12:29:40.020000+00:00,11369,29.9,27.1,51.8,0,0.0,945.8,1294,0
2026-09-13T12:30:40.007000+00:00,11369,29.8,27.0,50.8,331,0.8,945.8,1294,0
2026-09-13T12:31:40.013000+00:00,11369,29.8,26.9,52.6,35,0.3,945.7,1294,0
2026-09-13T12:32:40.020000+00:00,11369,29.8,27.0,52.5,0,0.0,945.8,1294,0
2026-09-13T12:33:40.029000+00:00,11369,29.8,26.8,52.7,120,1.1,945.8,1294,0
2026-09-13T12:34:40.029000+00:00,11369,29.8,26.0,52.6,91,2.4,945.7,1294,0
2026-09-13T12:35:40.051000+00:00,11369,29.9,26.6,52.5,89,0.4,945.8,1294,0
2026-09-13T12:36:40.074000+00:00,11369,29.9,25.4,52.3,47,3.3,945.6,1294,0
2026-09-13T12:37:40.055000+00:00,11369,29.9,24.9,51.7,49,1.2,945.9,1294,0
2026-09-13T12:38:40.070000+00:00,11369,29.8,24.7,52.3,97,0.9,945.7,1294,0
2026-09-13T12:39:40.085000+00:00,11369,30.0,25.0,52.7,308,3.6,945.7,1294,0
2026-09-13T12:40:40.121000+00:00,11369,30.1,24.7,52.3,289,2.2,945.8,1294,0
2026-09-13T12:41:40.125000+00:00,11369,30.0,24.7,52.8,352,0.4,945.7,1294,0
2026-09-13T12:42:40.109000+00:00,11369,29.9,24.8,52.3,316,1.5,945.7,1294,0
2026-09-13T12:43:40.150000+00:00,11369,30.0,24.4,52.6,294,2.8,945.6,1294,0
2026-09-13T12:44:40.113000+00:00,11369,30.1,24.1,52.3,59,2.8,945.7,1294,0
2026-09-13T12:45:40.114000+00:00,11369,30.1,24.3,52.7,276,1.4,945.6,1294,0
2026-09-13T12:46:40.113000+00:00,11369,30.3,24.2,52.8,316,1.4,945.6,1294,0
2026-09-13T12:47:40.118000+00:00,11369,30.2,24.7,52.8,339,2.7,945.6,1294,0
2026-09-13T12:48:40.117000+00:00,11369,30.3,24.6,52.7,52,1.4,945.6,1294,0
2026-09-13T12:49:40.128000+00:00,11369,30.2,24.7,52.9,289,0.8,945.5,1294,0
2026-09-13T12:50:40.134000+00:00,11369,30.4,25.0,53.0,286,4.1,945.7,1294,0
2026-09-13T12:51:40.129000+00:00,11369,30.3,24.2,52.7,279,2.6,945.6,1294,0
2026-09-13T12:52:40.135000+00:00,11369,30.1,24.5,52.9,287,0.6,945.6,1294,0
2026-09-13T12:53:40.142000+00:00,11369,30.1,24.0,53.1,245,0.4,945.6,1294,0
2026-09-13T12:54:40.139000+00:00,11369,30.2,24.3,53.3,283,1.4,945.6,1294,0
2026-09-13T12:55:40.149000+00:00,11369,30.3,24.2,52.9,278,2.5,945.5,1294,0
2026-09-13T12:56:40.167000+00:00,11369,30.1,24.0,53.1,279,1.4,945.6,1294,0
2026-09-13T12:57:40.162000+00:00,11369,30.1,24.5,53.2,12,1.8,945.6,1294,0
2026-09-13T12:58:40.164000+00:00,11369,30.0,24.8,53.4,110,0.8,945.5,1294,0
2026-09-13T12:59:40.190000+00:00,11369,30.0,24.7,53.3,276,1.3,945.5,1294,0
2026-09-13T13:00:40.189000+00:00,11369,30.1,24.8,53.5,334,0.5,945.5,1294,0
2026-09-13T13:01:40.198000+00:00,11369,30.2,24.5,53.7,280,1.0,945.5,1294,0
2026-09-13T13:02:40.208000+00:00,11369,30.3,24.1,54.2,249,0.9,945.5,1294,0
2026-09-13T13:03:40.235000+00:00,11369,30.4,23.5,54.3,276,0.9,945.5,1294,0
2026-09-13T13:04:40.238000+00:00,11369,30.5,23.3,54.5,0,0.0,945.4,1294,0
2026-09-13T13:05:40.263000+00:00,11369,30.6,22.3,54.0,31,2.4,945.6,1294,0
2026-09-13T13:06:40.280000+00:00,11369,30.6,22.0,53.3,207,0.7,945.4,1294,0
2026-09-13T13:07:40.263000+00:00,11369,30.6,22.9,53.6,295,1.5,945.5,1294,0
2026-09-13T13:08:40.273000+00:00,11369,30.7,22.4,54.0,278,0.9,945.5,1294,0
2026-09-13T13:09:40.289000+00:00,11369,30.5,22.6,53.6,52,0.7,945.5,1294,0
2026-09-13T13:10:40.299000+00:00,11369,30.3,23.3,53.6,51,1.6,945.4,1294,0
2026-09-13T13:11:40.291000+00:00,11369,30.2,23.4,53.6,63,0.9,945.4,1294,0
2026-09-13T13:12:40.290000+00:00,11369,30.1,23.6,53.9,253,2.0,945.4,1294,0
2026-09-13T13:13:40.310000+00:00,11369,30.1,23.0,53.8,312,0.6,945.2,1294,0
2026-09-13T13:14:40.304000+00:00,11369,30.0,23.6,54.0,64,0.9,945.3,1294,0
2026-09-13T13:15:40.319000+00:00,11369,30.1,23.4,54.1,59,1.0,945.3,1294,0
2026-09-13T13:16:40.295000+00:00,11369,30.3,22.9,53.9,66,1.8,945.3,1294,0
2026-09-13T13:17:40.295000+00:00,11369,30.5,22.9,53.7,329,0.3,945.2,1294,0
2026-09-13T13:18:40.302000+00:00,11369,30.8,23.0,54.2,262,1.7,945.3,1294,0
2026-09-13T13:19:40.298000+00:00,11369,30.8,22.0,54.0,276,3.1,945.3,1294,0
2026-09-13T13:20:40.316000+00:00,11369,30.7,22.3,53.5,285,3.4,945.2,1294,0
2026-09-13T13:21:40.328000+00:00,11369,30.7,22.0,53.7,342,1.1,945.3,1294,0
2026-09-13T13:22:40.305000+00:00,11369,30.7,22.0,53.5,0,0.0,945.1,1294,0
