meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1295,11371,2026-09-24T12:00:00.083000+00:00,,,SessionStatus,,,,,SESSION STARTED
1295,11371,2026-09-24T12:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1295,11371,2026-09-24T12:03:03+00:00,,,Other,,,,,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 2 16:00:36
1295,11371,2026-09-24T12:15:41+00:00,,,Other,,,,,CAR 44 (HAM) TIME 2:10.489 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:12:28
1295,11371,2026-09-24T12:16:55+00:00,,,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1295,11371,2026-09-24T12:16:55+00:00,,,Flag,YELLOW,Sector,13,,YELLOW IN TRACK SECTOR 13
1295,11371,2026-09-24T12:16:56+00:00,,,Flag,DOUBLE YELLOW,Sector,14,,DOUBLE YELLOW IN TRACK SECTOR 14
1295,11371,2026-09-24T12:16:59+00:00,,,Flag,CLEAR,Sector,14,,CLEAR IN TRACK SECTOR 14
1295,11371,2026-09-24T12:16:59+00:00,,,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14
1295,11371,2026-09-24T12:17:04+00:00,,,Flag,CLEAR,Sector,13,,CLEAR IN TRACK SECTOR 13
1295,11371,2026-09-24T12:17:36+00:00,,,Other,,,,,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 7 16:15:01 (PIT)
1295,11371,2026-09-24T12:18:14+00:00,,,Flag,YELLOW,Sector,5,,YELLOW IN TRACK SECTOR 5
1295,11371,2026-09-24T12:18:15+00:00,,,Flag,YELLOW,Sector,4,,YELLOW IN TRACK SECTOR 4
1295,11371,2026-09-24T12:18:25+00:00,,,Flag,DOUBLE YELLOW,Sector,5,,DOUBLE YELLOW IN TRACK SECTOR 5
1295,11371,2026-09-24T12:18:31+00:00,,,Flag,CLEAR,Sector,5,,CLEAR IN TRACK SECTOR 5
1295,11371,2026-09-24T12:18:32+00:00,,,Flag,CLEAR,Sector,4,,CLEAR IN TRACK SECTOR 4
1295,11371,2026-09-24T12:18:41+00:00,,,Flag,YELLOW,Sector,10,,YELLOW IN TRACK SECTOR 10
1295,11371,2026-09-24T12:18:41+00:00,,,Flag,YELLOW,Sector,11,,YELLOW IN TRACK SECTOR 11
1295,11371,2026-09-24T12:18:57.343000+00:00,,,SessionStatus,,,,,SESSION ABORTED
1295,11371,2026-09-24T12:18:57+00:00,,,Flag,RED,Track,,,RED FLAG
1295,11371,2026-09-24T12:18:57+00:00,,,Flag,CLEAR,Sector,10,,CLEAR IN TRACK SECTOR 10
1295,11371,2026-09-24T12:18:57+00:00,,,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1295,11371,2026-09-24T12:19:08+00:00,,,Flag,YELLOW,Sector,10,,YELLOW IN TRACK SECTOR 10
1295,11371,2026-09-24T12:19:08+00:00,,,Flag,YELLOW,Sector,9,,YELLOW IN TRACK SECTOR 9
1295,11371,2026-09-24T12:19:51+00:00,,,Flag,DOUBLE YELLOW,Sector,11,,DOUBLE YELLOW IN TRACK SECTOR 11
1295,11371,2026-09-24T12:19:51+00:00,,,Flag,DOUBLE YELLOW,Sector,10,,DOUBLE YELLOW IN TRACK SECTOR 10
1295,11371,2026-09-24T12:21:31+00:00,,,Flag,CLEAR,Track,,,TRACK CLEAR
1295,11371,2026-09-24T12:21:35+00:00,,,Flag,DOUBLE YELLOW,Sector,11,,DOUBLE YELLOW IN TRACK SECTOR 11
1295,11371,2026-09-24T12:21:35+00:00,,,Flag,DOUBLE YELLOW,Sector,10,,DOUBLE YELLOW IN TRACK SECTOR 10
1295,11371,2026-09-24T12:21:39+00:00,,,Other,,,,,CAR 23 (ALB) LAP DELETED - DOUBLE YELLOW AT TURN 14 LAP 9 16:16:55 (PIT)
1295,11371,2026-09-24T12:22:14+00:00,,,Flag,YELLOW,Sector,9,,YELLOW IN TRACK SECTOR 9
1295,11371,2026-09-24T12:22:39+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:52.546 DELETED - DOUBLE YELLOW AT TURN 14 LAP 8 16:16:56
1295,11371,2026-09-24T12:22:48+00:00,,,Other,,,,,CAR 5 (BOR) TIME 2:26.624 DELETED - DOUBLE YELLOW AT TURN 14 LAP 9 16:16:58
1295,11371,2026-09-24T12:24:08+00:00,,,Other,,,,,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 16:17:00 (PIT)
1295,11371,2026-09-24T12:24:18+00:00,,,Other,,,,,CAR 5 (BOR) LAP DELETED - DOUBLE YELLOW AT TURN 3 LAP 10 16:18:25 (PIT)
1295,11371,2026-09-24T12:24:24+00:00,,,Other,,,,,CAR 55 (SAI) LAP DELETED - DOUBLE YELLOW AT TURN 3 LAP 6 16:18:25 (PIT)
1295,11371,2026-09-24T12:25:02+00:00,,,Other,,,,,OVERTAKE ENABLED
1295,11371,2026-09-24T12:25:38+00:00,,,Flag,DOUBLE YELLOW,Sector,9,,DOUBLE YELLOW IN TRACK SECTOR 9
1295,11371,2026-09-24T12:26:40+00:00,,,Flag,CLEAR,Sector,9,,CLEAR IN TRACK SECTOR 9
1295,11371,2026-09-24T12:26:48+00:00,,,Flag,YELLOW,Sector,9,,YELLOW IN TRACK SECTOR 9
1295,11371,2026-09-24T12:26:48+00:00,,,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1295,11371,2026-09-24T12:27:11+00:00,,,Flag,CLEAR,Sector,9,,CLEAR IN TRACK SECTOR 9
1295,11371,2026-09-24T12:27:16+00:00,,,Flag,CLEAR,Sector,10,,CLEAR IN TRACK SECTOR 10
1295,11371,2026-09-24T12:28:33+00:00,,,Other,,,,,SESSION WILL RESUME AT 16:29
1295,11371,2026-09-24T12:29:00.093000+00:00,,,SessionStatus,,,,,SESSION STARTED
1295,11371,2026-09-24T12:29:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1295,11371,2026-09-24T12:30:30+00:00,,,Flag,YELLOW,Sector,3,,YELLOW IN TRACK SECTOR 3
1295,11371,2026-09-24T12:30:30+00:00,,,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1295,11371,2026-09-24T12:31:27+00:00,,,Flag,CLEAR,Sector,3,,CLEAR IN TRACK SECTOR 3
1295,11371,2026-09-24T12:31:27+00:00,,,Flag,CLEAR,Sector,2,,CLEAR IN TRACK SECTOR 2
1295,11371,2026-09-24T12:33:52+00:00,,,Flag,YELLOW,Sector,5,,YELLOW IN TRACK SECTOR 5
1295,11371,2026-09-24T12:33:52+00:00,,,Flag,YELLOW,Sector,4,,YELLOW IN TRACK SECTOR 4
1295,11371,2026-09-24T12:34:01+00:00,,,Flag,CLEAR,Sector,5,,CLEAR IN TRACK SECTOR 5
1295,11371,2026-09-24T12:34:03+00:00,,,Flag,CLEAR,Sector,4,,CLEAR IN TRACK SECTOR 4
1295,11371,2026-09-24T12:35:13+00:00,,,Other,,,,,TURN 19 INCIDENT INVOLVING CAR 44 (HAM) NOTED - IMPEDING (16:33:21)
1295,11371,2026-09-24T12:35:45+00:00,,,Other,,,,,CAR 10 (GAS) TIME 2:16.194 DELETED - TRACK LIMITS AT TURN 3 LAP 11 16:33:52
1295,11371,2026-09-24T12:38:30+00:00,,,Other,,,,,CAR 55 (SAI) TIME 2:32.711 DELETED - TRACK LIMITS AT TURN 15 LAP 10 16:37:36
1295,11371,2026-09-24T12:40:29+00:00,,,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1295,11371,2026-09-24T12:40:30+00:00,,,Flag,YELLOW,Sector,1,,YELLOW IN TRACK SECTOR 1
1295,11371,2026-09-24T12:40:33+00:00,,,Flag,CLEAR,Sector,2,,CLEAR IN TRACK SECTOR 2
1295,11371,2026-09-24T12:40:44+00:00,,,Flag,CLEAR,Sector,1,,CLEAR IN TRACK SECTOR 1
1295,11371,2026-09-24T12:41:05+00:00,,,Other,,,,,FIA STEWARDS: TURN 19 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING (16:33:21)
1295,11371,2026-09-24T12:41:08+00:00,,,Other,,,,,CAR 63 (RUS) TIME 2:13.440 DELETED - TRACK LIMITS AT TURN 1 LAP 14 16:38:55
1295,11371,2026-09-24T12:43:04+00:00,,,Other,,,,,CAR 5 (BOR) TIME 2:24.397 DELETED - TRACK LIMITS AT TURN 1 LAP 15 16:40:28
1295,11371,2026-09-24T12:49:51+00:00,,,Flag,YELLOW,Sector,15,,YELLOW IN TRACK SECTOR 15
1295,11371,2026-09-24T12:49:51+00:00,,,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1295,11371,2026-09-24T12:50:09+00:00,,,Flag,DOUBLE YELLOW,Sector,15,,DOUBLE YELLOW IN TRACK SECTOR 15
