date,session_key,position,driver_number,meeting_key
2026-09-24T11:45:49.913000+00:00,11371,1,1,1295
2026-09-24T11:45:49.913000+00:00,11371,2,3,1295
2026-09-24T11:45:49.913000+00:00,11371,3,5,1295
2026-09-24T11:45:49.913000+00:00,11371,4,6,1295
2026-09-24T11:45:49.913000+00:00,11371,5,10,1295
2026-09-24T11:45:49.913000+00:00,11371,6,11,1295
2026-09-24T11:45:49.913000+00:00,11371,7,12,1295
2026-09-24T11:45:49.913000+00:00,11371,8,14,1295
2026-09-24T11:45:49.913000+00:00,11371,9,16,1295
2026-09-24T11:45:49.913000+00:00,11371,10,18,1295
2026-09-24T11:45:49.913000+00:00,11371,11,23,1295
2026-09-24T11:45:49.913000+00:00,11371,12,27,1295
2026-09-24T11:45:49.913000+00:00,11371,13,30,1295
2026-09-24T11:45:49.913000+00:00,11371,14,31,1295
2026-09-24T11:45:49.913000+00:00,11371,15,41,1295
2026-09-24T11:45:49.913000+00:00,11371,16,43,1295
2026-09-24T11:45:49.913000+00:00,11371,17,44,1295
2026-09-24T11:45:49.913000+00:00,11371,18,55,1295
2026-09-24T11:45:49.913000+00:00,11371,19,63,1295
2026-09-24T11:45:49.913000+00:00,11371,20,77,1295
2026-09-24T11:45:49.913000+00:00,11371,21,81,1295
2026-09-24T11:45:49.913000+00:00,11371,22,87,1295
2026-09-24T12:00:04.845000+00:00,11371,2,1,1295
2026-09-24T12:00:04.845000+00:00,11371,3,3,1295
2026-09-24T12:00:04.845000+00:00,11371,4,5,1295
2026-09-24T12:00:04.845000+00:00,11371,5,6,1295
2026-09-24T12:00:04.845000+00:00,11371,1,10,1295
2026-09-24T12:00:06.607000+00:00,11371,3,1,1295
2026-09-24T12:00:06.607000+00:00,11371,4,3,1295
2026-09-24T12:00:06.607000+00:00,11371,5,5,1295
2026-09-24T12:00:06.607000+00:00,11371,6,6,1295
2026-09-24T12:00:06.607000+00:00,11371,7,11,1295
2026-09-24T12:00:06.607000+00:00,11371,8,12,1295
2026-09-24T12:00:06.607000+00:00,11371,9,14,1295
2026-09-24T12:00:06.607000+00:00,11371,10,16,1295
2026-09-24T12:00:06.607000+00:00,11371,11,18,1295
