meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1295,11371,1,87,1,9,MEDIUM,0
1295,11371,1,14,1,9,SOFT,0
1295,11371,1,41,1,4,MEDIUM,0
1295,11371,1,63,1,7,MEDIUM,0
1295,11371,1,77,1,8,MEDIUM,0
1295,11371,1,43,1,7,HARD,0
1295,11371,1,11,1,6,MEDIUM,0
1295,11371,1,10,1,7,MEDIUM,0
1295,11371,2,87,10,10,SOFT,0
1295,11371,1,31,1,9,MEDIUM,0
1295,11371,1,23,1,8,MEDIUM,0
1295,11371,1,30,1,9,MEDIUM,0
1295,11371,1,55,1,5,MEDIUM,0
1295,11371,1,3,1,7,MEDIUM,0
1295,11371,1,6,1,6,SOFT,0
1295,11371,1,16,1,8,MEDIUM,0
1295,11371,1,27,1,3,MEDIUM,0
1295,11371,1,18,1,8,SOFT,0
1295,11371,1,81,1,6,HARD,0
1295,11371,1,1,1,6,HARD,0
1295,11371,2,63,8,8,SOFT,0
1295,11371,1,44,1,8,MEDIUM,0
1295,11371,1,5,1,9,MEDIUM,0
1295,11371,2,27,4,8,MEDIUM,3
1295,11371,2,77,9,14,SOFT,0
1295,11371,2,30,10,14,SOFT,0
1295,11371,2,3,8,12,SOFT,0
1295,11371,2,23,9,13,SOFT,0
1295,11371,2,1,7,11,SOFT,0
1295,11371,2,11,7,12,SOFT,0
1295,11371,2,31,10,14,SOFT,0
1295,11371,2,81,7,11,SOFT,0
1295,11371,2,6,7,11,SOFT,0
1295,11371,2,43,8,14,SOFT,0
1295,11371,2,10,8,14,SOFT,0
1295,11371,2,55,6,12,SOFT,0
1295,11371,2,5,10,15,SOFT,0
1295,11371,2,18,9,15,SOFT,0
1295,11371,3,63,9,15,SOFT,1
1295,11371,2,16,9,15,SOFT,0
1295,11371,2,44,9,14,SOFT,0
1295,11371,1,12,1,8,SOFT,0
1295,11371,3,27,9,13,SOFT,0
1295,11371,3,43,15,23,HARD,7
1295,11371,3,5,16,24,SOFT,6
1295,11371,3,23,14,24,SOFT,5
1295,11371,3,10,15,23,MEDIUM,7
1295,11371,3,30,15,25,MEDIUM,9
1295,11371,3,1,12,22,SOFT,0
1295,11371,3,3,13,23,SOFT,5
1295,11371,4,27,14,20,MEDIUM,0
1295,11371,3,11,13,23,SOFT,6
1295,11371,4,63,16,24,MEDIUM,7
1295,11371,2,12,9,16,MEDIUM,0
1295,11371,3,55,13,22,MEDIUM,5
1295,11371,3,16,16,24,SOFT,7
1295,11371,3,18,16,24,SOFT,7
1295,11371,3,44,15,23,SOFT,6
1295,11371,3,6,12,21,SOFT,5
1295,11371,3,77,15,26,SOFT,0
1295,11371,3,31,15,25,SOFT,5
1295,11371,3,81,12,22,SOFT,0
