date,session_key,lap_number,pit_duration,lane_duration,meeting_key,stop_duration,driver_number
2026-09-24T12:00:04.928000+00:00,11371,1,,,1295,,10
2026-09-24T12:00:06.687000+00:00,11371,1,,,1295,,77
2026-09-24T12:00:10.667000+00:00,11371,1,,,1295,,43
2026-09-24T12:00:13.970000+00:00,11371,1,,,1295,,30
2026-09-24T12:00:15.837000+00:00,11371,1,,,1295,,11
2026-09-24T12:00:23.284000+00:00,11371,1,,,1295,,63
2026-09-24T12:00:26.169000+00:00,11371,1,,,1295,,31
2026-09-24T12:00:30.918000+00:00,11371,1,,,1295,,87
2026-09-24T12:00:46.013000+00:00,11371,1,,,1295,,14
2026-09-24T12:01:01.021000+00:00,11371,1,,,1295,,5
2026-09-24T12:01:01.982000+00:00,11371,1,,,1295,,23
2026-09-24T12:01:11.011000+00:00,11371,1,,,1295,,1
2026-09-24T12:01:16.850000+00:00,11371,1,,,1295,,3
2026-09-24T12:01:22.868000+00:00,11371,1,,,1295,,81
2026-09-24T12:03:28.149000+00:00,11371,1,,,1295,,18
2026-09-24T12:03:46.916000+00:00,11371,1,,,1295,,16
2026-09-24T12:04:12.215000+00:00,11371,1,,,1295,,44
2026-09-24T12:04:16.424000+00:00,11371,1,,,1295,,6
2026-09-24T12:04:56.934000+00:00,11371,1,,,1295,,27
2026-09-24T12:10:08.521000+00:00,11371,1,,,1295,,55
2026-09-24T12:11:10.908000+00:00,11371,1,,,1295,,41
2026-09-24T12:18:54.920000+00:00,11371,8,270.2,270.2,1295,,63
2026-09-24T12:29:02.584000+00:00,11371,9,736.9,736.9,1295,,77
2026-09-24T12:29:10.089000+00:00,11371,8,819.4,819.4,1295,,43
2026-09-24T12:29:13.023000+00:00,11371,7,971.8,971.8,1295,,11
2026-09-24T12:29:15.534000+00:00,11371,8,877.4,877.4,1295,,10
2026-09-24T12:29:17.932000+00:00,11371,10,,,1295,,87
2026-09-24T12:29:20.262000+00:00,11371,10,,,1295,,31
2026-09-24T12:29:27.314000+00:00,11371,9,702.4,702.4,1295,,23
2026-09-24T12:29:30.895000+00:00,11371,10,,,1295,,30
2026-09-24T12:29:38.646000+00:00,11371,6,,,1295,,55
2026-09-24T12:29:45.245000+00:00,11371,8,855.8,855.8,1295,,3
2026-09-24T12:29:53.280000+00:00,11371,1,,,1295,,12
2026-09-24T12:29:57.711000+00:00,11371,7,746.1,746.1,1295,,6
2026-09-24T12:30:04.506000+00:00,11371,9,,,1295,,16
2026-09-24T12:30:21.140000+00:00,11371,4,1157.9,1157.9,1295,,27
2026-09-24T12:30:25.323000+00:00,11371,9,,,1295,,18
2026-09-24T12:30:30.834000+00:00,11371,7,993.6,993.6,1295,,81
2026-09-24T12:30:33.742000+00:00,11371,7,1057.0,1057.0,1295,,1
2026-09-24T12:30:55.786000+00:00,11371,9,991.0,991.0,1295,,63
2026-09-24T12:31:18.068000+00:00,11371,9,,,1295,,44
2026-09-24T12:31:48.952000+00:00,11371,10,,,1295,,5
2026-09-24T12:40:43.483000+00:00,11371,9,22.3,22.3,1295,,27
2026-09-24T12:44:27.488000+00:00,11371,15,211.1,211.1,1295,,77
2026-09-24T12:44:54.671000+00:00,11371,15,303.9,303.9,1295,,30
2026-09-24T12:45:08.619000+00:00,11371,13,307.9,307.9,1295,,3
2026-09-24T12:45:11.566000+00:00,11371,14,300.4,300.4,1295,,23
2026-09-24T12:45:16.120000+00:00,11371,12,290.4,290.4,1295,,1
2026-09-24T12:45:18.956000+00:00,11371,13,253.9,253.9,1295,,11
2026-09-24T12:45:20.717000+00:00,11371,15,311.7,311.7,1295,,31
2026-09-24T12:45:46.173000+00:00,11371,12,297.8,297.8,1295,,81
2026-09-24T12:48:10.181000+00:00,11371,12,472.8,472.8,1295,,6
2026-09-24T12:48:13.939000+00:00,11371,15,268.3,268.3,1295,,43
2026-09-24T12:48:18.439000+00:00,11371,15,256.9,256.9,1295,,10
2026-09-24T12:48:24.058000+00:00,11371,13,245.7,245.7,1295,,55
2026-09-24T12:49:03.786000+00:00,11371,16,263.6,263.6,1295,,5
2026-09-24T12:49:13.463000+00:00,11371,16,276.4,276.4,1295,,18
2026-09-24T12:49:25.239000+00:00,11371,16,279.2,279.2,1295,,63
2026-09-24T12:49:50.550000+00:00,11371,16,326.7,326.7,1295,,16
2026-09-24T12:49:58.750000+00:00,11371,15,387.2,387.2,1295,,44
2026-09-24T12:52:04.425000+00:00,11371,9,311.4,311.4,1295,,12
2026-09-24T12:53:02.649000+00:00,11371,14,143.6,143.6,1295,,27
