position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,26,False,False,False,"[103.615, 103.462, 102.526]","[0.0, 0.0, 0.0]",1295,11373
2,16,23,False,False,False,"[104.36, 103.78, 103.363]","[0.745, 0.318, 0.837]",1295,11373
3,81,22,False,False,False,"[105.014, 103.814, 103.364]","[1.399, 0.352, 0.838]",1295,11373
4,6,21,False,False,False,"[104.161, 103.88, 103.5]","[0.546, 0.418, 0.974]",1295,11373
5,1,21,False,False,False,"[104.571, 104.02, 103.672]","[0.956, 0.558, 1.146]",1295,11373
6,44,22,False,False,False,"[104.26, 104.037, 103.858]","[0.645, 0.575, 1.332]",1295,11373
7,10,20,False,False,False,"[104.489, 104.106, 104.047]","[0.874, 0.644, 1.521]",1295,11373
8,3,24,False,False,False,"[104.041, 103.706, 104.081]","[0.426, 0.244, 1.555]",1295,11373
9,55,25,False,False,False,"[105.104, 104.629, 104.566]","[1.489, 1.167, 2.04]",1295,11373
10,43,21,False,False,False,"[105.106, 104.683, 104.963]","[1.491, 1.221, 2.437]",1295,11373
11,87,17,False,False,False,"[105.228, 104.775, None]","[1.613, 1.313, None]",1295,11373
12,30,18,False,False,False,"[105.535, 104.86, None]","[1.92, 1.398, None]",1295,11373
13,23,17,False,False,False,"[105.031, 105.001, None]","[1.416, 1.539, None]",1295,11373
14,31,18,False,False,False,"[105.039, 105.016, None]","[1.424, 1.554, None]",1295,11373
15,41,16,False,False,False,"[105.381, 105.106, None]","[1.766, 1.644, None]",1295,11373
16,12,5,False,False,False,"[105.504, None, None]","[1.889, None, None]",1295,11373
17,5,10,False,False,False,"[105.799, None, None]","[2.184, None, None]",1295,11373
18,27,10,False,False,False,"[105.92, None, None]","[2.305, None, None]",1295,11373
19,14,9,False,False,False,"[106.593, None, None]","[2.978, None, None]",1295,11373
20,11,9,False,False,False,"[106.658, None, None]","[3.043, None, None]",1295,11373
21,18,9,False,False,False,"[107.337, None, None]","[3.722, None, None]",1295,11373
22,77,10,False,False,False,"[108.29, None, None]","[4.675, None, None]",1295,11373
