event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,3,1,3.000225,0.168,0.288,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.9048,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,12,K ANTONELLI,Mercedes,2,2,3.21275,0.12991,0.24729,0.392,0.0629,0.4,1.0,0.0629,0.357,0.9524,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,44,L HAMILTON,Ferrari,1,3,4.0379,0.10045,0.21234,0.392,0.0614,0.4,1.0,0.0614,0.346,1.0,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,1,L NORRIS,McLaren,6,4,4.48805,0.07768,0.18233,0.38948,0.0599,0.4,1.0,0.0599,0.335,0.7619,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,16,C LECLERC,Ferrari,4,5,4.6099,0.06006,0.15656,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.8571,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,6,I HADJAR,Red Bull Racing,8,6,6.303225,0.04644,0.13443,0.36966,0.0621,0.4,1.0,0.0621,0.3515,0.6667,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,63,G RUSSELL,Mercedes,5,7,6.86375,0.03591,0.11543,0.34994,0.0629,0.4,1.0,0.0629,0.357,0.8095,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,81,O PIASTRI,McLaren,7,8,8.16805,0.02777,0.09912,0.32017,0.0599,0.4,1.0,0.0599,0.335,0.7143,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,30,L LAWSON,Racing Bulls,9,9,9.7202,0.02147,0.08511,0.27882,0.0826,0.4,1.0,0.0826,0.5,0.619,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,5,G BORTOLETO,Audi,12,10,9.7723,0.0166,0.07308,0.2276,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,10,P GASLY,Alpine,11,11,9.9141,0.01284,0.06275,0.1724,0.0857,0.4,1.0,0.0857,0.522,0.5238,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,stable_baseline,41,A LINDBLAD,Racing Bulls,10,12,10.6312,0.00993,0.05388,0.12118,0.0826,0.4,1.0,0.0826,0.5,0.5714,2026-07-05T22:28:24Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
