event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,1,L NORRIS,McLaren,6,1,2.19425,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,7,2,2.926825,0.20591,0.38842,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.7143,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,6,I HADJAR,Red Bull Racing,5,3,3.329825,0.16282,0.33797,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.8095,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,12,K ANTONELLI,Mercedes,1,4,4.02935,0.12875,0.29407,0.60369,0.0662,0.62,1.0,0.0662,0.357,1.0,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,16,C LECLERC,Ferrari,2,5,4.2963,0.10181,0.25588,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.9524,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,38,D BEGANOVIC,Ferrari,,6,5.9683,0.0805,0.22264,0.57297,0.0646,0.62,1.0,0.0646,0.346,0.2857,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,5,G BORTOLETO,Audi,11,7,6.6703,0.06366,0.19372,0.5424,0.079,0.62,1.0,0.079,0.478,0.5238,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,44,L HAMILTON,Ferrari,3,8,6.8743,0.05034,0.16856,0.49626,0.0646,0.62,1.0,0.0646,0.346,0.9048,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,14,F ALONSO,Aston Martin,21,9,7.57775,0.0398,0.14667,0.43218,0.079,0.62,1.0,0.079,0.445,0.0476,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,63,G RUSSELL,Mercedes,4,10,7.73035,0.03147,0.12762,0.35278,0.0662,0.62,1.0,0.0662,0.357,0.8571,2026-07-24T03:49:40Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
