event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,1,L NORRIS,McLaren,2,1,2.09404,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,0.9545,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,16,C LECLERC,Ferrari,3,2,4.01604,0.14114,0.25975,0.392,0.0614,0.4,1.0,0.0614,0.346,0.9091,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,6,I HADJAR,Red Bull Racing,5,3,4.509435,0.11858,0.23428,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.8182,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,6,4,4.806435,0.09962,0.2113,0.38948,0.0621,0.4,1.0,0.0621,0.3515,0.7727,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,12,K ANTONELLI,Mercedes,5,5,5.01904,0.0837,0.19058,0.38201,0.0629,0.4,1.0,0.0629,0.357,0.8182,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,63,G RUSSELL,Mercedes,1,6,5.52004,0.07032,0.17189,0.36966,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,25,C HERTA,Cadillac,,7,6.4398,0.05907,0.15503,0.34994,0.075,0.4,1.0,0.075,0.478,0.4545,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,36,A IWASA,Red Bull Racing,,8,6.879435,0.04963,0.13982,0.32017,0.0621,0.4,1.0,0.0621,0.3515,0.2273,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,38,D BEGANOVIC,Ferrari,,9,7.15804,0.0417,0.12611,0.27882,0.0614,0.4,1.0,0.0614,0.346,0.1818,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,34,J CRAWFORD,Aston Martin,,10,7.45725,0.03503,0.11374,0.2276,0.075,0.4,1.0,0.075,0.445,0.2727,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,81,O PIASTRI,McLaren,4,11,7.72404,0.02943,0.10259,0.1724,0.0599,0.4,1.0,0.0599,0.335,0.8636,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,5,G BORTOLETO,Audi,9,12,7.9798,0.02473,0.09252,0.12118,0.075,0.4,1.0,0.075,0.478,0.6364,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,10,P GASLY,Alpine,8,13,8.12267,0.02077,0.08345,0.07983,0.0857,0.4,1.0,0.0857,0.522,0.6818,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,44,L HAMILTON,Ferrari,7,14,8.39404,0.01745,0.07527,0.05006,0.0614,0.4,1.0,0.0614,0.346,0.7273,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,control_room_overlay,67,L FORNAROLI,McLaren,,15,9.72004,0.01466,0.06788,0.03034,0.0599,0.4,1.0,0.0599,0.335,-0.1818,2026-08-23T18:22:21Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
