event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,1,L NORRIS,McLaren,8,1,2.50433,0.3024,0.5184,0.7056,0.063,0.72,1.0,0.063,0.335,0.6818,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,5,2,2.897289,0.25259,0.46595,0.7056,0.0654,0.72,1.0,0.0654,0.3515,0.8182,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,16,C LECLERC,Ferrari,3,3,5.046636,0.21098,0.41881,0.7056,0.0646,0.72,1.0,0.0646,0.346,0.9091,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,6,I HADJAR,Red Bull Racing,21,4,5.200289,0.17622,0.37644,0.70106,0.0654,0.72,1.0,0.0654,0.3515,0.0909,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,12,K ANTONELLI,Mercedes,19,5,6.169942,0.14719,0.33835,0.68762,0.0662,0.72,1.0,0.0662,0.357,0.1818,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,5,G BORTOLETO,Audi,10,6,6.35294,0.12295,0.30412,0.66538,0.079,0.72,1.0,0.079,0.478,0.5909,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,10,P GASLY,Alpine,1,7,7.077532,0.10269,0.27335,0.62988,0.0902,0.72,1.0,0.0902,0.522,1.0,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,36,A IWASA,Red Bull Racing,,8,8.030289,0.08578,0.24569,0.5763,0.0654,0.72,1.0,0.0654,0.3515,0.2273,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,11,S PEREZ,Cadillac,17,9,8.10894,0.07165,0.22083,0.50188,0.079,0.72,1.0,0.079,0.478,0.2727,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,38,D BEGANOVIC,Ferrari,,10,8.268636,0.05984,0.19849,0.40968,0.0646,0.72,1.0,0.0646,0.346,0.1818,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,14,F ALONSO,Aston Martin,21,11,8.54039,0.04999,0.17841,0.31032,0.079,0.72,1.0,0.079,0.445,0.0909,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,25,C HERTA,Cadillac,,12,8.87294,0.04175,0.16036,0.21812,0.079,0.72,1.0,0.079,0.478,0.4545,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,18,L STROLL,Aston Martin,18,13,8.94439,0.03487,0.14413,0.1437,0.079,0.72,1.0,0.079,0.445,0.2273,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,30,L LAWSON,Red Bull Racing,22,14,9.174289,0.02913,0.12955,0.09012,0.0654,0.72,1.0,0.0654,0.3515,0.0455,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,34,J CRAWFORD,Aston Martin,,15,9.61039,0.02433,0.11644,0.05462,0.079,0.72,1.0,0.079,0.445,0.2727,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_fp3,experimental_challenger,44,L HAMILTON,Ferrari,4,16,9.724636,0.02032,0.10466,0.03238,0.0646,0.72,1.0,0.0646,0.346,0.8636,2026-09-12T12:44:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
