event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,1,L NORRIS,McLaren,2,1,2.08805,0.21,0.36,0.49,0.0599,0.5,1.0,0.0599,0.335,0.9545,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,16,C LECLERC,Ferrari,3,2,4.0099,0.17541,0.32358,0.49,0.0614,0.5,1.0,0.0614,0.346,0.9091,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,6,3,4.800225,0.14651,0.29084,0.49,0.0621,0.5,1.0,0.0621,0.3515,0.7727,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,12,K ANTONELLI,Mercedes,5,4,5.01275,0.12238,0.26141,0.48684,0.0629,0.5,1.0,0.0629,0.357,0.8182,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,63,G RUSSELL,Mercedes,1,5,5.51375,0.10222,0.23497,0.47751,0.0629,0.5,1.0,0.0629,0.357,1.0,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,6,I HADJAR,Red Bull Racing,8,6,6.303225,0.08538,0.21119,0.46207,0.0621,0.5,1.0,0.0621,0.3515,0.6818,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,25,C HERTA,Cadillac,,7,6.4323,0.07132,0.18983,0.43742,0.075,0.5,1.0,0.075,0.478,0.4545,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,36,A IWASA,Red Bull Racing,,8,6.873225,0.05957,0.17062,0.40021,0.0621,0.5,1.0,0.0621,0.3515,0.2273,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,34,J CRAWFORD,Aston Martin,,9,7.44975,0.04975,0.15336,0.34853,0.075,0.5,1.0,0.075,0.445,0.2727,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,81,O PIASTRI,McLaren,4,10,7.71805,0.04156,0.13784,0.2845,0.0599,0.5,1.0,0.0599,0.335,0.8636,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,5,G BORTOLETO,Audi,9,11,7.9723,0.03471,0.1239,0.2155,0.075,0.5,1.0,0.075,0.478,0.6364,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,10,P GASLY,Alpine,8,12,8.1141,0.02899,0.11136,0.15147,0.0857,0.5,1.0,0.0857,0.522,0.6818,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,44,L HAMILTON,Ferrari,7,13,8.2379,0.02422,0.10009,0.09979,0.0614,0.5,1.0,0.0614,0.346,0.7273,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,46,L BROWNING,Williams,,14,9.32565,0.02023,0.08997,0.06258,0.0781,0.5,1.0,0.0781,0.467,0.0455,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,67,L FORNAROLI,McLaren,,15,9.71405,0.0169,0.08086,0.03793,0.0599,0.5,1.0,0.0599,0.335,-0.1818,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,30,L LAWSON,Red Bull Racing,11,16,9.777225,0.01411,0.07268,0.02249,0.0621,0.5,1.0,0.0621,0.3515,0.5455,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,50,R HIRAKAWA,Haas F1 Team,,17,9.87335,0.01179,0.06533,0.015,0.0811,0.5,1.0,0.0811,0.489,0.0,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,72,F VESTI,Mercedes,,18,10.26275,0.00985,0.05872,0.015,0.0629,0.5,1.0,0.0629,0.357,-0.2273,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,61,P ARON,Alpine,,19,10.8651,0.00822,0.05278,0.015,0.0857,0.5,1.0,0.0857,0.522,-0.0909,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,22,Y TSUNODA,Racing Bulls,12,20,11.2122,0.00687,0.04744,0.015,0.0826,0.5,1.0,0.0826,0.5,0.5,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,41,A LINDBLAD,Racing Bulls,10,21,11.2312,0.00574,0.04264,0.015,0.0826,0.5,1.0,0.0826,0.5,0.5909,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,27,N HULKENBERG,Audi,14,22,12.6443,0.00479,0.03833,0.015,0.075,0.5,1.0,0.075,0.478,0.4091,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,43,F COLAPINTO,Alpine,13,23,13.3971,0.004,0.03445,0.015,0.0857,0.5,1.0,0.0857,0.522,0.4545,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,23,A ALBON,Williams,16,24,13.44265,0.00334,0.03096,0.015,0.0781,0.5,1.0,0.0781,0.467,0.3182,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,31,E OCON,Haas F1 Team,15,25,13.66435,0.00279,0.02783,0.015,0.0811,0.5,1.0,0.0811,0.489,0.3636,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,18,L STROLL,Aston Martin,18,26,14.12375,0.00233,0.02501,0.015,0.075,0.5,1.0,0.075,0.445,0.2273,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,11,S PEREZ,Cadillac,20,27,15.0283,0.00195,0.02248,0.015,0.075,0.5,1.0,0.075,0.478,0.1364,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,14,F ALONSO,Aston Martin,22,28,16.21975,0.00163,0.02021,0.015,0.075,0.5,1.0,0.075,0.445,0.0455,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,87,O BEARMAN,Haas F1 Team,17,29,17.17035,0.00136,0.01816,0.015,0.0811,0.5,1.0,0.0811,0.489,0.2727,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,77,V BOTTAS,Cadillac,19,30,17.9443,0.00114,0.01633,0.015,0.075,0.5,1.0,0.075,0.478,0.1818,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,race_result,stable_baseline,55,C SAINZ,Williams,21,31,18.27465,0.001,0.01467,0.015,0.0781,0.5,1.0,0.0781,0.467,0.0909,2026-09-13T16:29:02Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
