bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,12,K ANTONELLI,Mercedes,,1,,0.0662,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,3,M VERSTAPPEN,Red Bull Racing,,2,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,44,L HAMILTON,Ferrari,,3,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,16,C LECLERC,Ferrari,,4,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,1,L NORRIS,McLaren,,5,,0.063,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,25,C HERTA,Cadillac,,6,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,36,A IWASA,Red Bull Racing,,7,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,38,D BEGANOVIC,Ferrari,,8,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,6,I HADJAR,Red Bull Racing,,9,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,63,G RUSSELL,Mercedes,,10,,0.0662,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,34,J CRAWFORD,Aston Martin,,11,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1289_united_kingdom_silverstone_silverstone__post_qualifying__control_room_overlay__LOCK_READY_20260704T164649Z,forecast_source_rows_available_not_yet_locked,2026_1289_united_kingdom_silverstone_silverstone,,,United Kingdom - Silverstone - Silverstone,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-04T16:46:49Z,,,67,L FORNAROLI,McLaren,,12,,0.063,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
