bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,12,K ANTONELLI,Mercedes,,1,,0.0662,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,3,M VERSTAPPEN,Red Bull Racing,,2,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,16,C LECLERC,Ferrari,,3,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,63,G RUSSELL,Mercedes,,4,,0.0662,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,25,C HERTA,Cadillac,,5,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,36,A IWASA,Red Bull Racing,,6,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,38,D BEGANOVIC,Ferrari,,7,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,44,L HAMILTON,Ferrari,,8,,0.0646,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,34,J CRAWFORD,Aston Martin,,9,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,81,O PIASTRI,McLaren,,10,,0.063,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,5,G BORTOLETO,Audi,,11,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,67,L FORNAROLI,McLaren,,12,,0.063,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,46,L BROWNING,Williams,,13,,0.0822,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,72,F VESTI,Mercedes,,14,,0.0662,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,41,A LINDBLAD,Racing Bulls,,15,,0.087,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,50,R HIRAKAWA,Haas F1 Team,,16,,0.0854,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,1,L NORRIS,McLaren,,17,,0.063,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,10,P GASLY,Alpine,,18,,0.0902,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,30,L LAWSON,Racing Bulls,,19,,0.087,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,27,N HULKENBERG,Audi,,20,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,97,P ARON,Audi,,21,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,90,A IWASA,Racing Bulls,,22,,0.087,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,43,F COLAPINTO,Alpine,,23,,0.0902,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,23,A ALBON,Williams,,24,,0.0822,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,31,E OCON,Haas F1 Team,,25,,0.0854,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,11,S PEREZ,Cadillac,,26,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,87,O BEARMAN,Haas F1 Team,,27,,0.0854,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,6,I HADJAR,Red Bull Racing,,28,,0.0654,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,18,L STROLL,Aston Martin,,29,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,77,V BOTTAS,Cadillac,,30,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,14,F ALONSO,Aston Martin,,31,,0.079,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__post_qualifying__control_room_overlay__LOCK_READY_20260725T175038Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,post_qualifying,control_room_overlay,MethodE_ControlRoom_Overlay,2026-07-25T17:50:38Z,,,55,C SAINZ,Williams,,32,,0.0822,,,,,,0.84,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
