bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,1,L NORRIS,McLaren,,1,,0.063,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,3,M VERSTAPPEN,Red Bull Racing,,2,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,6,I HADJAR,Red Bull Racing,,3,,0.0654,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,12,K ANTONELLI,Mercedes,,4,,0.0662,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,16,C LECLERC,Ferrari,,5,,0.0646,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,38,D BEGANOVIC,Ferrari,,6,,0.0646,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,5,G BORTOLETO,Audi,,7,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,44,L HAMILTON,Ferrari,,8,,0.0646,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,14,F ALONSO,Aston Martin,,9,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,63,G RUSSELL,Mercedes,,10,,0.0662,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,81,O PIASTRI,McLaren,,11,,0.063,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,11,S PEREZ,Cadillac,,12,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,18,L STROLL,Aston Martin,,13,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,34,J CRAWFORD,Aston Martin,,14,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,10,P GASLY,Alpine,,15,,0.0902,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,23,A ALBON,Williams,,16,,0.0822,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,27,N HULKENBERG,Audi,,17,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,30,L LAWSON,Racing Bulls,,18,,0.087,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,31,E OCON,Haas F1 Team,,19,,0.0854,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,41,A LINDBLAD,Racing Bulls,,20,,0.087,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,55,C SAINZ,Williams,,21,,0.0822,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,77,V BOTTAS,Cadillac,,22,,0.079,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,43,F COLAPINTO,Alpine,,23,,0.0902,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1291_hungary_budapest_hungaroring__pre_weekend__stable_baseline__LOCK_READY_20260724T034940Z,forecast_source_rows_available_not_yet_locked,2026_1291_hungary_budapest_hungaroring,,,Hungary - Budapest - Hungaroring,pre_weekend,stable_baseline,Engine_2026-06-07_STABLE,2026-07-24T03:49:40Z,,,87,O BEARMAN,Haas F1 Team,,24,,0.0854,,,,,,0.62,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
