date,session_key,pit_duration,meeting_key,stop_duration,lap_number,driver_number,lane_duration,source_closure_retrieved_utc
2026-03-29T05:39:55.436000+00:00,11253,23.316,1281,2.5,16,1,23.316,2026-06-10T23:04:11.036085Z
2026-03-29T05:40:25.536000+00:00,11253,25.0,1281,,16,87,25.0,2026-06-10T23:04:11.036085Z
2026-03-29T05:41:28.501000+00:00,11253,22.992,1281,2.1,17,16,22.992,2026-06-10T23:04:11.036085Z
2026-03-29T05:41:59.154000+00:00,11253,23.649,1281,2.9,17,43,23.649,2026-06-10T23:04:11.036085Z
2026-03-29T05:42:58.405000+00:00,11253,23.444,1281,2.4,18,81,23.444,2026-06-10T23:04:11.036085Z
2026-03-29T05:43:35.557000+00:00,11253,26.3,1281,,18,41,26.3,2026-06-10T23:04:11.036085Z
2026-03-29T05:45:07.194000+00:00,11253,24.629,1281,3.4,19,31,24.629,2026-06-10T23:04:11.036085Z
2026-03-29T05:45:09.104000+00:00,11253,23.698,1281,2.8,19,6,23.698,2026-06-10T23:04:11.036085Z
2026-03-29T05:45:58.890000+00:00,11253,25.129,1281,4.0,19,77,25.129,2026-06-10T23:04:11.036085Z
2026-03-29T05:47:43.226000+00:00,11253,22.937,1281,3.0,21,63,22.937,2026-06-10T23:04:11.036085Z
2026-03-29T05:49:05.815000+00:00,11253,27.307,1281,6.6,21,11,27.307,2026-06-10T23:04:11.036085Z
2026-03-29T05:49:15.293000+00:00,11253,25.083,1281,4.2,21,18,25.083,2026-06-10T23:04:11.036085Z
2026-03-29T05:49:24.243000+00:00,11253,26.458,1281,4.3,21,14,26.458,2026-06-10T23:04:11.036085Z
2026-03-29T05:49:36.575000+00:00,11253,23.288,1281,2.4,22,12,23.288,2026-06-10T23:04:11.036085Z
2026-03-29T05:49:45.182000+00:00,11253,22.891,1281,2.0,22,44,22.891,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:01.959000+00:00,11253,24.304,1281,3.5,22,10,24.304,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:06.296000+00:00,11253,24.49,1281,3.3,22,3,24.49,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:28.632000+00:00,11253,24.1,1281,,22,30,24.1,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:29.968000+00:00,11253,24.63,1281,2.6,22,5,24.63,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:36.919000+00:00,11253,24.396,1281,3.5,22,55,24.396,2026-06-10T23:04:11.036085Z
2026-03-29T05:50:44.394000+00:00,11253,24.6,1281,2.9,22,23,24.6,2026-06-10T23:04:11.036085Z
2026-03-29T05:52:37.648000+00:00,11253,23.9,1281,,23,27,23.9,2026-06-10T23:04:11.036085Z
2026-03-29T05:53:39.693000+00:00,11253,24.014,1281,,23,14,24.014,2026-06-10T23:04:11.036085Z
2026-03-29T05:55:13.349000+00:00,11253,23.501,1281,2.6,24,18,23.501,2026-06-10T23:04:11.036085Z
2026-03-29T06:30:59.545000+00:00,11253,23.072,1281,2.7,45,23,23.072,2026-06-10T23:04:11.036085Z
2026-03-29T06:32:57.159000+00:00,11253,24.1,1281,,46,23,24.1,2026-06-10T23:04:11.036085Z
2026-03-29T06:34:56.701000+00:00,11253,26.0,1281,,47,23,26.0,2026-06-10T23:04:11.036085Z
2026-03-29T06:37:02.998000+00:00,11253,32.7,1281,,48,23,32.7,2026-06-10T23:04:11.036085Z
2026-03-29T06:39:01.736000+00:00,11253,24.3,1281,,49,23,24.3,2026-06-10T23:04:11.036085Z
