position,driver_number,lap_duration,meeting_key,session_key,source_closure_retrieved_utc
1,12,88.778,1281,11249,2026-09-12T15:40:05.148161Z
2,63,89.076,1281,11249,2026-09-12T15:40:05.148161Z
3,81,89.132,1281,11249,2026-09-12T15:40:05.148161Z
4,16,89.405,1281,11249,2026-09-12T15:40:05.148161Z
5,1,89.409,1281,11249,2026-09-12T15:40:05.148161Z
6,44,89.567,1281,11249,2026-09-12T15:40:05.148161Z
7,10,89.691,1281,11249,2026-09-12T15:40:05.148161Z
8,6,89.978,1281,11249,2026-09-12T15:40:05.148161Z
9,5,90.274,1281,11249,2026-09-12T15:40:05.148161Z
10,41,90.319,1281,11249,2026-09-12T15:40:05.148161Z
11,3,90.262,1281,11249,2026-09-12T15:40:05.148161Z
12,31,90.309,1281,11249,2026-09-12T15:40:05.148161Z
13,27,90.387,1281,11249,2026-09-12T15:40:05.148161Z
14,30,90.495,1281,11249,2026-09-12T15:40:05.148161Z
15,43,90.627,1281,11249,2026-09-12T15:40:05.148161Z
16,55,91.033,1281,11249,2026-09-12T15:40:05.148161Z
17,23,91.088,1281,11249,2026-09-12T15:40:05.148161Z
18,87,91.09,1281,11249,2026-09-12T15:40:05.148161Z
19,11,92.206,1281,11249,2026-09-12T15:40:05.148161Z
20,77,92.33,1281,11249,2026-09-12T15:40:05.148161Z
21,14,92.646,1281,11249,2026-09-12T15:40:05.148161Z
22,18,92.92,1281,11249,2026-09-12T15:40:05.148161Z
1,1,87.869,1284,11271,2026-09-12T15:42:10.215806Z
2,12,88.091,1284,11271,2026-09-12T15:42:10.215806Z
3,81,88.108,1284,11271,2026-09-12T15:42:10.215806Z
4,16,88.239,1284,11271,2026-09-12T15:42:10.215806Z
5,3,88.461,1284,11271,2026-09-12T15:42:10.215806Z
6,63,88.493,1284,11271,2026-09-12T15:42:10.215806Z
7,44,88.618,1284,11271,2026-09-12T15:42:10.215806Z
8,43,89.32,1284,11271,2026-09-12T15:42:10.215806Z
9,6,89.422,1284,11271,2026-09-12T15:42:10.215806Z
10,10,89.474,1284,11271,2026-09-12T15:42:10.215806Z
11,5,89.994,1284,11271,2026-09-12T15:42:10.215806Z
12,27,90.019,1284,11271,2026-09-12T15:42:10.215806Z
13,87,90.116,1284,11271,2026-09-12T15:42:10.215806Z
14,55,90.224,1284,11271,2026-09-12T15:42:10.215806Z
15,30,91.043,1284,11271,2026-09-12T15:42:10.215806Z
16,31,91.245,1284,11271,2026-09-12T15:42:10.215806Z
17,11,91.255,1284,11271,2026-09-12T15:42:10.215806Z
18,23,91.322,1284,11271,2026-09-12T15:42:10.215806Z
19,77,91.826,1284,11271,2026-09-12T15:42:10.215806Z
20,14,101.311,1284,11271,2026-09-12T15:42:10.215806Z
21,18,,1284,11271,2026-09-12T15:42:10.215806Z
22,41,90.573,1284,11271,2026-09-12T15:42:10.215806Z
1,12,72.051,1286,11295,2026-09-12T15:45:16.793410Z
2,3,72.094,1286,11295,2026-09-12T15:45:16.793410Z
3,44,72.279,1286,11295,2026-09-12T15:45:16.793410Z
4,16,72.351,1286,11295,2026-09-12T15:45:16.793410Z
5,6,72.434,1286,11295,2026-09-12T15:45:16.793410Z
6,63,72.445,1286,11295,2026-09-12T15:45:16.793410Z
7,81,72.624,1286,11295,2026-09-12T15:45:16.793410Z
8,1,72.765,1286,11295,2026-09-12T15:45:16.793410Z
9,10,73.226,1286,11295,2026-09-12T15:45:16.793410Z
10,30,73.412,1286,11295,2026-09-12T15:45:16.793410Z
11,23,73.787,1286,11295,2026-09-12T15:45:16.793410Z
12,55,73.815,1286,11295,2026-09-12T15:45:16.793410Z
13,27,73.902,1286,11295,2026-09-12T15:45:16.793410Z
14,43,73.995,1286,11295,2026-09-12T15:45:16.793410Z
15,41,74.248,1286,11295,2026-09-12T15:45:16.793410Z
16,5,,1286,11295,2026-09-12T15:45:16.793410Z
17,31,74.722,1286,11295,2026-09-12T15:45:16.793410Z
18,11,74.747,1286,11295,2026-09-12T15:45:16.793410Z
19,87,74.814,1286,11295,2026-09-12T15:45:16.793410Z
20,77,75.283,1286,11295,2026-09-12T15:45:16.793410Z
21,14,75.349,1286,11295,2026-09-12T15:45:16.793410Z
22,18,76.061,1286,11295,2026-09-12T15:45:16.793410Z
1,63,66.113,1288,11311,2026-09-12T15:48:06.976162Z
2,16,66.349,1288,11311,2026-09-12T15:48:06.976162Z
3,44,66.408,1288,11311,2026-09-12T15:48:06.976162Z
4,12,66.414,1288,11311,2026-09-12T15:48:06.976162Z
