date,session_key,driver_number,position,meeting_key
2026-06-12T14:46:11.635000+00:00,11301,1,1,1287
2026-06-12T14:46:11.635000+00:00,11301,3,2,1287
2026-06-12T14:46:11.635000+00:00,11301,5,3,1287
2026-06-12T14:46:11.635000+00:00,11301,6,4,1287
2026-06-12T14:46:11.635000+00:00,11301,10,5,1287
2026-06-12T14:46:11.635000+00:00,11301,11,6,1287
2026-06-12T14:46:11.635000+00:00,11301,12,7,1287
2026-06-12T14:46:11.635000+00:00,11301,14,8,1287
2026-06-12T14:46:11.635000+00:00,11301,16,9,1287
2026-06-12T14:46:11.635000+00:00,11301,18,10,1287
2026-06-12T14:46:11.635000+00:00,11301,23,11,1287
2026-06-12T14:46:11.635000+00:00,11301,27,12,1287
2026-06-12T14:46:11.635000+00:00,11301,30,13,1287
2026-06-12T14:46:11.635000+00:00,11301,31,14,1287
2026-06-12T14:46:11.635000+00:00,11301,41,15,1287
2026-06-12T14:46:11.635000+00:00,11301,43,16,1287
2026-06-12T14:46:11.635000+00:00,11301,44,17,1287
2026-06-12T14:46:11.635000+00:00,11301,55,18,1287
2026-06-12T14:46:11.635000+00:00,11301,63,19,1287
2026-06-12T14:46:11.635000+00:00,11301,77,20,1287
2026-06-12T14:46:11.635000+00:00,11301,81,21,1287
2026-06-12T14:46:11.635000+00:00,11301,87,22,1287
2026-06-12T15:00:02.852000+00:00,11301,1,2,1287
2026-06-12T15:00:02.852000+00:00,11301,3,3,1287
2026-06-12T15:00:02.852000+00:00,11301,5,4,1287
2026-06-12T15:00:02.852000+00:00,11301,6,5,1287
2026-06-12T15:00:02.852000+00:00,11301,10,6,1287
2026-06-12T15:00:02.852000+00:00,11301,11,1,1287
2026-06-12T15:00:04.276000+00:00,11301,1,3,1287
2026-06-12T15:00:04.276000+00:00,11301,3,4,1287
2026-06-12T15:00:04.276000+00:00,11301,5,5,1287
2026-06-12T15:00:04.276000+00:00,11301,6,6,1287
2026-06-12T15:00:04.276000+00:00,11301,10,7,1287
2026-06-12T15:00:04.276000+00:00,11301,12,8,1287
2026-06-12T15:00:04.276000+00:00,11301,14,9,1287
2026-06-12T15:00:04.276000+00:00,11301,16,10,1287
2026-06-12T15:00:04.276000+00:00,11301,18,11,1287
2026-06-12T15:00:04.276000+00:00,11301,23,12,1287
2026-06-12T15:00:04.276000+00:00,11301,27,2,1287
2026-06-12T15:00:08.172000+00:00,11301,1,4,1287
2026-06-12T15:00:08.172000+00:00,11301,3,5,1287
2026-06-12T15:00:08.172000+00:00,11301,5,6,1287
2026-06-12T15:00:08.172000+00:00,11301,6,7,1287
2026-06-12T15:00:08.172000+00:00,11301,10,8,1287
2026-06-12T15:00:08.172000+00:00,11301,12,9,1287
2026-06-12T15:00:08.172000+00:00,11301,14,10,1287
2026-06-12T15:00:08.172000+00:00,11301,16,11,1287
2026-06-12T15:00:08.172000+00:00,11301,18,12,1287
2026-06-12T15:00:08.172000+00:00,11301,23,13,1287
2026-06-12T15:00:08.172000+00:00,11301,30,14,1287
2026-06-12T15:00:08.172000+00:00,11301,31,15,1287
2026-06-12T15:00:08.172000+00:00,11301,41,16,1287
2026-06-12T15:00:08.172000+00:00,11301,43,17,1287
2026-06-12T15:00:08.172000+00:00,11301,44,18,1287
2026-06-12T15:00:08.172000+00:00,11301,55,19,1287
2026-06-12T15:00:08.172000+00:00,11301,63,20,1287
2026-06-12T15:00:08.172000+00:00,11301,77,21,1287
2026-06-12T15:00:08.172000+00:00,11301,81,22,1287
2026-06-12T15:00:08.172000+00:00,11301,87,3,1287
2026-06-12T15:00:09.774000+00:00,11301,1,5,1287
2026-06-12T15:00:09.774000+00:00,11301,3,6,1287
2026-06-12T15:00:09.774000+00:00,11301,5,4,1287
2026-06-12T15:00:12.442000+00:00,11301,1,6,1287
2026-06-12T15:00:12.442000+00:00,11301,3,7,1287
2026-06-12T15:00:12.442000+00:00,11301,6,8,1287
2026-06-12T15:00:12.442000+00:00,11301,10,5,1287
2026-06-12T15:00:14.231000+00:00,11301,1,7,1287
2026-06-12T15:00:14.231000+00:00,11301,3,8,1287
2026-06-12T15:00:14.231000+00:00,11301,6,9,1287
2026-06-12T15:00:14.231000+00:00,11301,12,10,1287
2026-06-12T15:00:14.231000+00:00,11301,14,11,1287
2026-06-12T15:00:14.231000+00:00,11301,16,12,1287
2026-06-12T15:00:14.231000+00:00,11301,18,13,1287
2026-06-12T15:00:14.231000+00:00,11301,23,14,1287
2026-06-12T15:00:14.231000+00:00,11301,30,15,1287
2026-06-12T15:00:14.231000+00:00,11301,31,6,1287
2026-06-12T15:00:19.531000+00:00,11301,1,8,1287
2026-06-12T15:00:19.531000+00:00,11301,3,9,1287
2026-06-12T15:00:19.531000+00:00,11301,6,10,1287
2026-06-12T15:00:19.531000+00:00,11301,12,11,1287
2026-06-12T15:00:19.531000+00:00,11301,14,12,1287
2026-06-12T15:00:19.531000+00:00,11301,16,13,1287
2026-06-12T15:00:19.531000+00:00,11301,18,14,1287
2026-06-12T15:00:19.531000+00:00,11301,23,15,1287
2026-06-12T15:00:19.531000+00:00,11301,30,16,1287
2026-06-12T15:00:19.531000+00:00,11301,41,17,1287
2026-06-12T15:00:19.531000+00:00,11301,43,7,1287
2026-06-12T15:00:23.015000+00:00,11301,1,9,1287
2026-06-12T15:00:23.015000+00:00,11301,3,10,1287
2026-06-12T15:00:23.015000+00:00,11301,6,11,1287
2026-06-12T15:00:23.015000+00:00,11301,12,12,1287
2026-06-12T15:00:23.015000+00:00,11301,14,13,1287
2026-06-12T15:00:23.015000+00:00,11301,16,14,1287
2026-06-12T15:00:23.015000+00:00,11301,18,15,1287
2026-06-12T15:00:23.015000+00:00,11301,23,16,1287
2026-06-12T15:00:23.015000+00:00,11301,30,17,1287
2026-06-12T15:00:23.015000+00:00,11301,41,18,1287
2026-06-12T15:00:23.015000+00:00,11301,44,8,1287
2026-06-12T15:00:28.702000+00:00,11301,1,10,1287
2026-06-12T15:00:28.702000+00:00,11301,3,11,1287
2026-06-12T15:00:28.702000+00:00,11301,6,12,1287
2026-06-12T15:00:28.702000+00:00,11301,12,13,1287
2026-06-12T15:00:28.702000+00:00,11301,14,14,1287
2026-06-12T15:00:28.702000+00:00,11301,16,15,1287
2026-06-12T15:00:28.702000+00:00,11301,18,16,1287
2026-06-12T15:00:28.702000+00:00,11301,23,9,1287
2026-06-12T15:01:13.252000+00:00,11301,1,11,1287
2026-06-12T15:01:13.252000+00:00,11301,3,12,1287
2026-06-12T15:01:13.252000+00:00,11301,6,13,1287
2026-06-12T15:01:13.252000+00:00,11301,12,14,1287
2026-06-12T15:01:13.252000+00:00,11301,14,15,1287
2026-06-12T15:01:13.252000+00:00,11301,16,10,1287
2026-06-12T15:01:19.627000+00:00,11301,1,12,1287
2026-06-12T15:01:19.627000+00:00,11301,3,11,1287
2026-06-12T15:01:27.377000+00:00,11301,1,13,1287
2026-06-12T15:01:27.377000+00:00,11301,6,12,1287
2026-06-12T15:01:52.939000+00:00,11301,1,14,1287
2026-06-12T15:01:52.939000+00:00,11301,12,13,1287
2026-06-12T15:03:13.538000+00:00,11301,11,2,1287
2026-06-12T15:03:13.538000+00:00,11301,27,3,1287
2026-06-12T15:03:13.538000+00:00,11301,87,1,1287
2026-06-12T15:03:24.221000+00:00,11301,5,5,1287
2026-06-12T15:03:24.221000+00:00,11301,10,2,1287
2026-06-12T15:03:24.221000+00:00,11301,11,3,1287
2026-06-12T15:03:24.221000+00:00,11301,27,4,1287
2026-06-12T15:03:27.483000+00:00,11301,5,6,1287
2026-06-12T15:03:27.483000+00:00,11301,10,3,1287
2026-06-12T15:03:27.483000+00:00,11301,11,4,1287
2026-06-12T15:03:27.483000+00:00,11301,27,5,1287
2026-06-12T15:03:27.483000+00:00,11301,31,1,1287
2026-06-12T15:03:27.483000+00:00,11301,87,2,1287
2026-06-12T15:03:33.505000+00:00,11301,11,5,1287
2026-06-12T15:03:33.505000+00:00,11301,27,4,1287
2026-06-12T15:03:41.113000+00:00,11301,5,7,1287
2026-06-12T15:03:41.113000+00:00,11301,10,4,1287
2026-06-12T15:03:41.113000+00:00,11301,11,6,1287
2026-06-12T15:03:41.113000+00:00,11301,27,5,1287
2026-06-12T15:03:41.113000+00:00,11301,31,2,1287
2026-06-12T15:03:41.113000+00:00,11301,43,1,1287
2026-06-12T15:03:41.113000+00:00,11301,87,3,1287
2026-06-12T15:03:46.177000+00:00,11301,5,8,1287
2026-06-12T15:03:46.177000+00:00,11301,10,5,1287
2026-06-12T15:03:46.177000+00:00,11301,11,7,1287
2026-06-12T15:03:46.177000+00:00,11301,27,6,1287
