meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1288,11310,2026-06-27T10:15:52+00:00,,,Other,,,,,RISK OF RAIN FOR F1 FREE PRACTICE 3 IS 0%
1288,11310,2026-06-27T10:30:00.025000+00:00,,,SessionStatus,,,,,SESSION STARTED
1288,11310,2026-06-27T10:30:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1288,11310,2026-06-27T10:38:29+00:00,,,Other,,,,,CAR 11 (PER) TIME 1:30.141 DELETED - TRACK LIMITS AT TURN 1 LAP 6 12:36:47
1288,11310,2026-06-27T10:47:32+00:00,,,Other,,,,,CAR 77 (BOT) TIME 1:11.269 DELETED - TRACK LIMITS AT TURN 9 LAP 3 12:46:27
1288,11310,2026-06-27T10:55:12+00:00,,,Other,,,,,CAR 55 (SAI) TIME 1:14.696 DELETED - TRACK LIMITS AT TURN 9 LAP 6 12:53:28
1288,11310,2026-06-27T10:56:31+00:00,55,,Flag,BLACK AND WHITE,Driver,,,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - DRIVING UNNECESSARILY SLOWLY (12:53:38)
1288,11310,2026-06-27T10:59:42+00:00,,,Other,,,,,CAR 1 (NOR) TIME 1:22.399 DELETED - TRACK LIMITS AT TURN 3 LAP 6 12:58:35
1288,11310,2026-06-27T11:05:46+00:00,,,Other,,,,,CAR 5 (BOR) TIME 1:10.348 DELETED - TRACK LIMITS AT TURN 3 LAP 9 13:04:44
1288,11310,2026-06-27T11:11:40+00:00,,,Other,,,,,CAR 55 (SAI) TIME 1:16.142 DELETED - TRACK LIMITS AT TURN 1 LAP 16 13:10:09
1288,11310,2026-06-27T11:11:51+00:00,,,Other,,,,,CAR 55 (SAI) TIME 1:16.142 DELETED - TRACK LIMITS AT TURN 9 LAP 16 13:11:08
1288,11310,2026-06-27T11:17:20+00:00,,,Other,,,,,CAR 27 (HUL) TIME 1:08.490 DELETED - TRACK LIMITS AT TURN 9 LAP 16 13:16:37
1288,11310,2026-06-27T11:18:16+00:00,,,Other,,,,,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 15 13:16:57 (PIT)
1288,11310,2026-06-27T11:20:13+00:00,,,Other,,,,,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 19 13:18:41 (PIT)
1288,11310,2026-06-27T11:30:00.019000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1288,11310,2026-06-27T11:30:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1288,11310,2026-06-27T11:30:15+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER)
1288,11310,2026-06-27T11:31:14+00:00,,,Other,,,,,CAR 10 (GAS) TIME 1:40.221 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:29:05
1288,11310,2026-06-27T11:35:53+00:00,,,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1288,11310,2026-06-27T11:35:58+00:00,,,Flag,YELLOW,Sector,15,,YELLOW IN TRACK SECTOR 15
1288,11310,2026-06-27T11:36:02+00:00,,,Flag,CLEAR,Sector,15,,CLEAR IN TRACK SECTOR 15
